+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |     ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   | -55.79 ± 96.63  | 11.15 ± 1.941  | -44.64 ± 96.65  |     0.1439 ± 0.04154      |    0.3733 ± 0.05445     |
| Bin2   |  1367 ± 235.1   | 69.93 ± 4.861  |  1437 ± 235.1   |      1.067 ± 0.1131       |     2.954 ± 0.1532      |
| Bin3   |  1172 ± 281.7   | 121.6 ± 6.428  |  1293 ± 281.8   |      1.619 ± 0.1393       |      5.242 ± 0.204      |
| Bin4   |  2260 ± 338.2   | 183.4 ± 7.873  |  2443 ± 338.3   |       2.326 ± 0.167       |     6.957 ± 0.2351      |
| Bin5   |  3096 ± 405.2   | 295.9 ± 10.04  |  3392 ± 405.3   |      2.314 ± 0.1666       |     7.338 ± 0.2414      |
| Bin6   |  2594 ± 431.3   |  297 ± 10.04   |  2891 ± 431.4   |      2.206 ± 0.1627       |     5.893 ± 0.2163      |
| Bin7   |  4742 ± 514.4   | 493.9 ± 12.96  |  5236 ± 514.5   |      1.787 ± 0.1464       |     5.679 ± 0.2124      |
| Bin8   |  5384 ± 528.5   | 593.3 ± 14.19  |  5977 ± 528.7   |      1.835 ± 0.1483       |     4.535 ± 0.1898      |
| Bin9   |  3599 ± 464.3   |  577 ± 14.01   |  4176 ± 464.5   |       1.103 ± 0.115       |     2.867 ± 0.1509      |
| Bin10  |  3766 ± 465.9   | 690.9 ± 15.36  |  4457 ± 466.2   |      1.007 ± 0.1099       |     2.168 ± 0.1312      |
| Bin11  |  4714 ± 524.1   | 814.9 ± 16.65  |  5529 ± 524.4   |     0.8154 ± 0.09888      |     1.565 ± 0.1115      |
| Bin12  |  4184 ± 524.9   | 781.8 ± 16.33  |  4966 ± 525.1   |     0.5756 ± 0.08308      |     1.318 ± 0.1023      |
| Bin13  |  3375 ± 504.4   | 857.8 ± 17.06  |  4233 ± 504.7   |     0.7075 ± 0.09211      |     1.295 ± 0.1014      |
| Bin14  |  4129 ± 512.9   | 796.6 ± 16.43  |  4925 ± 513.1   |      0.6355 ± 0.0873      |    0.9451 ± 0.08664     |
| Bin15  |  4742 ± 523.4   | 696.6 ± 15.46  |  5439 ± 523.6   |     0.6235 ± 0.08647      |     1.144 ± 0.0953      |
| Bin16  |  5077 ± 520.4   | 723.3 ± 15.71  |  5800 ± 520.6   |     0.4557 ± 0.07392      |    0.9213 ± 0.08554     |
| Bin17  |  3905 ± 515.9   | 794.9 ± 16.45  |  4700 ± 516.1   |     0.5036 ± 0.07771      |      1.04 ± 0.0909      |
| Bin18  |  4993 ± 524.1   | 864.5 ± 17.16  |  5858 ± 524.4   |     0.6595 ± 0.08893      |    0.9769 ± 0.08808     |
| Bin19  |  4882 ± 538.8   | 818.6 ± 16.75  |   5700 ± 539    |      0.6355 ± 0.0873      |     1.318 ± 0.1023      |
| Bin20  |  4017 ± 520.4   | 827.4 ± 16.81  |  4844 ± 520.7   |     0.8154 ± 0.09888      |     1.739 ± 0.1175      |
| Bin21  |  4380 ± 518.1   | 694.6 ± 15.38  |  5074 ± 518.4   |      0.9353 ± 0.1059      |     2.367 ± 0.1371      |
| Bin22  |  4631 ± 481.6   | 567.6 ± 13.91  |  5198 ± 481.8   |      1.211 ± 0.1205       |     2.788 ± 0.1488      |
| Bin23  |  5551 ± 547.4   | 584.1 ± 14.14  |  6135 ± 547.5   |      1.559 ± 0.1367       |     4.352 ± 0.1859      |
| Bin24  |  5049 ± 518.1   | 504.1 ± 13.08  |  5553 ± 518.3   |      2.194 ± 0.1622       |      5.821 ± 0.215      |
| Bin25  |  3292 ± 413.8   | 310.5 ± 10.29  |  3602 ± 413.9   |       2.242 ± 0.164       |     5.806 ± 0.2147      |
| Bin26  |  2566 ± 411.9   | 260.8 ± 9.484  |   2827 ± 412    |      2.458 ± 0.1717       |     7.704 ± 0.2474      |
| Bin27  |  2287 ± 359.4   | 175.7 ± 7.704  |  2463 ± 359.5   |      1.919 ± 0.1517       |     7.378 ± 0.2421      |
| Bin28  |  1116 ± 284.5   |  114.5 ± 6.22  |  1230 ± 284.5   |      1.511 ± 0.1346       |     5.488 ± 0.2088      |
| Bin29  |   1004 ± 230    | 62.16 ± 4.583  |  1066 ± 230.1   |      1.007 ± 0.1099       |     3.677 ± 0.1709      |
| Bin30  | -83.69 ± 48.32  | 8.784 ± 1.723  |  -74.9 ± 48.35  |     0.07195 ± 0.02937     |    0.3892 ± 0.05559     |
| Bin31  |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
