+--------+----------------+----------------+--------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |     ttbar      |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+----------------+--------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin2   |     0 ± 0      |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin3   |     0 ± 0      |     0 ± 0      |       0 ± 0        |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin4   |  27.9 ± 27.9   | 5.405 ± 1.351  |    33.3 ± 27.93    |     0.08394 ± 0.03173     |    0.05559 ± 0.02101    |
| Bin5   |  27.9 ± 83.69  | 30.07 ± 3.187  |   57.96 ± 83.75    |     0.4796 ± 0.07584      |    0.4765 ± 0.06152     |
| Bin6   |  613.7 ± 172   | 111.2 ± 6.165  |   724.9 ± 172.1    |      1.151 ± 0.1175       |     1.382 ± 0.1048      |
| Bin7   | 892.7 ± 255.7  |  219.3 ± 8.66  |    1112 ± 255.8    |      1.703 ± 0.1429       |     1.993 ± 0.1258      |
| Bin8   |  2483 ± 360.5  |  415.9 ± 11.9  |    2899 ± 360.7    |      2.194 ± 0.1622       |      3.066 ± 0.156      |
| Bin9   |  3766 ± 465.9  | 644.3 ± 14.82  |    4410 ± 466.2    |      1.943 ± 0.1526       |     2.994 ± 0.1542      |
| Bin10  |  5495 ± 547.4  | 784.8 ± 16.36  |    6280 ± 547.6    |      1.871 ± 0.1498       |      3.812 ± 0.174      |
| Bin11  |  4965 ± 598.3  | 918.6 ± 17.68  |    5884 ± 598.6    |      1.775 ± 0.1459       |     4.527 ± 0.1896      |
| Bin12  |  6751 ± 650.6  | 967.2 ± 18.15  |    7718 ± 650.9    |      1.679 ± 0.1419       |     5.845 ± 0.2155      |
| Bin13  |  7755 ± 668.3  |  1007 ± 18.54  |    8762 ± 668.6    |      1.679 ± 0.1419       |     7.878 ± 0.2501      |
| Bin14  |  8982 ± 732.8  |  1096 ± 19.29  |  1.008e+04 ± 733   |      2.074 ± 0.1577       |      9.046 ± 0.268      |
| Bin15  |  9233 ± 725.8  |  1096 ± 19.33  | 1.033e+04 ± 726.1  |       2.05 ± 0.1568       |     10.42 ± 0.2877      |
| Bin16  |   7671 ± 715   |  1101 ± 19.35  |    8772 ± 715.3    |       2.003 ± 0.155       |     10.11 ± 0.2834      |
| Bin17  |  8146 ± 693.5  |  1067 ± 19.05  |    9213 ± 693.7    |      1.811 ± 0.1474       |      9.316 ± 0.272      |
| Bin18  |  7392 ± 659.5  |  1032 ± 18.76  |    8424 ± 659.8    |      1.655 ± 0.1409       |      7.934 ± 0.251      |
| Bin19  |  7030 ± 636.1  | 968.6 ± 18.17  |    7998 ± 636.4    |      1.583 ± 0.1378       |     5.591 ± 0.2107      |
| Bin20  |   6862 ± 597   | 932.1 ± 17.82  |    7794 ± 597.3    |      1.715 ± 0.1434       |     4.312 ± 0.1851      |
| Bin21  |  5133 ± 552.3  | 772.3 ± 16.22  |    5905 ± 552.5    |      1.919 ± 0.1517       |      3.471 ± 0.166      |
| Bin22  |  4184 ± 451.5  | 645.6 ± 14.86  |    4830 ± 451.8    |      2.098 ± 0.1586       |     2.978 ± 0.1538      |
| Bin23  |  2343 ± 355.1  | 416.6 ± 11.93  |    2760 ± 355.3    |      2.206 ± 0.1627       |     2.835 ± 0.1501      |
| Bin24  |  1060 ± 258.7  | 216.9 ± 8.587  |    1277 ± 258.8    |      1.583 ± 0.1378       |     1.993 ± 0.1258      |
| Bin25  | 502.1 ± 176.4  | 111.5 ± 6.137  |   613.6 ± 176.5    |      1.211 ± 0.1205       |      1.43 ± 0.1066      |
| Bin26  | 390.5 ± 104.4  | 30.07 ± 3.187  |   420.6 ± 104.4    |     0.3837 ± 0.06783      |    0.5003 ± 0.06304     |
| Bin27  |  27.9 ± 27.9   |  4.73 ± 1.264  |   32.63 ± 27.92    |     0.09593 ± 0.03392     |    0.05559 ± 0.02101    |
| Bin28  |     0 ± 0      |     0 ± 0      |       0 ± 0        |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin29  |     0 ± 0      |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin30  |     0 ± 0      |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin31  |     0 ± 0      |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
+--------+----------------+----------------+--------------------+---------------------------+-------------------------+
