+--------+-------------------+--------------------+-------------------+---------------------------+-------------------------+
| Bin#   |      DYJETS       |       ttbar        |       Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-------------------+--------------------+-------------------+---------------------------+-------------------------+
| Bin0   |   6249 ± 578.5    |   898.7 ± 17.51    |   7147 ± 578.7    |      2.878 ± 0.1858       |      4.05 ± 0.1794      |
| Bin1   | 1.884e+05 ± 3323  | 2.016e+04 ± 82.84  | 2.085e+05 ± 3324  |       54.58 ± 0.809       |     125.3 ± 0.9976      |
| Bin2   |   3961 ± 521.9    |    2336 ± 28.24    |   6297 ± 522.6    |      3.465 ± 0.2038       |     11.71 ± 0.3049      |
| Bin3   |   1869 ± 338.2    |    1314 ± 21.16    |   3183 ± 338.9    |      1.763 ± 0.1454       |     6.671 ± 0.2302      |
| Bin4   |   1144 ± 285.8    |   810.8 ± 16.65    |   1955 ± 286.3    |      1.355 ± 0.1275       |     4.432 ± 0.1876      |
| Bin5   |    669.5 ± 205    |   542.6 ± 13.59    |   1212 ± 205.4    |      0.9113 ± 0.1045      |     3.447 ± 0.1655      |
| Bin6   |    669.5 ± 205    |   429.4 ± 12.12    |   1099 ± 205.3    |     0.5636 ± 0.08221      |     2.621 ± 0.1443      |
| Bin7   |     530 ± 165     |   321.3 ± 10.52    |   851.3 ± 165.4   |     0.6955 ± 0.09132      |     2.144 ± 0.1305      |
| Bin8   |   251.1 ± 133.8   |   282.8 ± 9.797    |   533.8 ± 134.1   |     0.5396 ± 0.08044      |     1.739 ± 0.1175      |
| Bin9   |   390.5 ± 130.8   |   232.1 ± 8.945    |   622.6 ± 131.1   |     0.4437 ± 0.07294      |      1.62 ± 0.1134      |
| Bin10  |    195.3 ± 115    |   219.6 ± 8.666    |   414.9 ± 115.3   |     0.3837 ± 0.06783      |     1.326 ± 0.1026      |
| Bin11  |   390.5 ± 136.7   |   208.4 ± 8.473    |    599 ± 136.9    |     0.4317 ± 0.07195      |     1.422 ± 0.1063      |
| Bin12  |   167.4 ± 88.21   |   181.4 ± 7.887    |   348.8 ± 88.57   |     0.2398 ± 0.05363      |     1.136 ± 0.09497     |
| Bin13  |   55.79 ± 111.6   |   167.6 ± 7.554    |   223.4 ± 111.8   |     0.2758 ± 0.05751      |     1.318 ± 0.1023      |
| Bin14  |   111.6 ± 104.4   |   170.9 ± 7.615    |   282.5 ± 104.7   |     0.2758 ± 0.05751      |    0.9848 ± 0.08844     |
| Bin15  |   167.4 ± 96.63   |   155.4 ± 7.293    |   322.8 ± 96.91   |     0.2878 ± 0.05874      |     1.017 ± 0.08985     |
| Bin16  |    251.1 ± 108    |   142.9 ± 6.997    |    394 ± 108.3    |     0.1799 ± 0.04644      |    0.8816 ± 0.08367     |
| Bin17  |   167.4 ± 78.9    |   138.9 ± 6.866    |   306.2 ± 79.2    |     0.2518 ± 0.05495      |    0.9292 ± 0.08591     |
| Bin18  |   223.2 ± 104.4   |   136.5 ± 6.841    |   359.7 ± 104.6   |     0.3837 ± 0.06783      |      1.04 ± 0.0909      |
| Bin19  |   111.6 ± 78.9    |   138.5 ± 6.891    |   250.1 ± 79.2    |     0.2038 ± 0.04944      |    0.9769 ± 0.08808     |
| Bin20  |   195.3 ± 92.52   |   137.8 ± 6.841    |   333.1 ± 92.77   |     0.2878 ± 0.05874      |    0.9213 ± 0.08554     |
| Bin21  |   195.3 ± 73.8    |   137.8 ± 6.824    |   333.1 ± 74.12   |     0.2638 ± 0.05624      |     1.001 ± 0.08915     |
| Bin22  |     0 ± 68.33     |   137.5 ± 6.832    |   137.5 ± 68.67   |     0.2518 ± 0.05495      |    0.9372 ± 0.08627     |
| Bin23  |   195.3 ± 73.8    |   136.8 ± 6.816    |   332.1 ± 74.12   |     0.3118 ± 0.06114      |     1.136 ± 0.09497     |
| Bin24  |     0 ± 55.79     |   146.6 ± 7.038    |   146.6 ± 56.23   |     0.2158 ± 0.05087      |     1.183 ± 0.09694     |
| Bin25  |   27.9 ± 62.38    |   138.9 ± 6.882    |   166.7 ± 62.75   |     0.2878 ± 0.05874      |     1.072 ± 0.09228     |
| Bin26  |   83.69 ± 92.52   |   143.6 ± 6.997    |   227.3 ± 92.78   |     0.1679 ± 0.04487      |     1.302 ± 0.1017      |
| Bin27  |   83.69 ± 62.38   |   140.2 ± 6.899    |   223.9 ± 62.76   |     0.3358 ± 0.06345      |      1.58 ± 0.112       |
| Bin28  |   55.79 ± 88.21   |   140.5 ± 6.924    |   196.3 ± 88.48   |     0.3837 ± 0.06783      |     2.136 ± 0.1303      |
| Bin29  |   139.5 ± 92.52   |   155.7 ± 7.254    |   295.2 ± 92.8    |     0.3717 ± 0.06676      |     3.272 ± 0.1612      |
| Bin30  |    279 ± 96.63    |   209.1 ± 8.419    |    488.1 ± 97     |      5.756 ± 0.2627       |      30.8 ± 0.4946      |
| Bin31  |       0 ± 0       |       0 ± 0        |       0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+-------------------+--------------------+-------------------+---------------------------+-------------------------+
