+--------+-------------------+----------------+-------------------+---------------------------+-------------------------+
| Bin#   |      DYJETS       |     ttbar      |       Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-------------------+----------------+-------------------+---------------------------+-------------------------+
| Bin0   |   167.4 ± 88.21   | 14.53 ± 2.215  |   181.9 ± 88.24   |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin1   | 8.968e+04 ± 2285  |  6456 ± 46.86  | 9.614e+04 ± 2286  |      17.36 ± 0.4563       |     28.51 ± 0.4759      |
| Bin2   |   3654 ± 495.1    |  1676 ± 23.92  |   5330 ± 495.7    |      2.866 ± 0.1854       |     6.647 ± 0.2298      |
| Bin3   |   1618 ± 325.3    |  1029 ± 18.73  |   2647 ± 325.9    |      1.463 ± 0.1324       |     4.289 ± 0.1846      |
| Bin4   |   1088 ± 277.6    |  667.2 ± 15.1  |    1755 ± 278     |      1.175 ± 0.1187       |      2.796 ± 0.149      |
| Bin5   |   697.4 ± 203.1   | 461.8 ± 12.52  |   1159 ± 203.5    |     0.7315 ± 0.09365      |     2.232 ± 0.1331      |
| Bin6   |   641.6 ± 199.2   |  374 ± 11.31   |   1016 ± 199.5    |     0.5036 ± 0.07771      |     1.803 ± 0.1197      |
| Bin7   |     530 ± 165     | 288.2 ± 9.959  |   818.2 ± 165.3   |     0.6475 ± 0.08812      |     1.445 ± 0.1071      |
| Bin8   |   195.3 ± 127.8   | 253.4 ± 9.277  |   448.7 ± 128.2   |     0.5276 ± 0.07954      |     1.231 ± 0.09888     |
| Bin9   |   418.4 ± 127.8   |  208.8 ± 8.48  |   627.2 ± 128.1   |     0.3957 ± 0.06888      |     1.175 ± 0.09662     |
| Bin10  |    195.3 ± 115    |  199 ± 8.241   |   394.3 ± 115.3   |     0.3597 ± 0.06568      |    0.9689 ± 0.08772     |
| Bin11  |   390.5 ± 136.7   |  192.6 ± 8.15  |   583.1 ± 136.9   |     0.3837 ± 0.06783      |    0.9848 ± 0.08844     |
| Bin12  |   167.4 ± 88.21   |  170.3 ± 7.63  |   337.6 ± 88.54   |     0.2278 ± 0.05227      |     0.818 ± 0.0806      |
| Bin13  |   55.79 ± 111.6   | 156.1 ± 7.293  |   211.9 ± 111.8   |     0.2278 ± 0.05227      |     1.017 ± 0.08985     |
| Bin14  |   111.6 ± 104.4   | 161.5 ± 7.386  |   273.1 ± 104.6   |     0.2758 ± 0.05751      |    0.7148 ± 0.07534     |
| Bin15  |   139.5 ± 92.52   |  148 ± 7.119   |   287.5 ± 92.79   |     0.2398 ± 0.05363      |    0.8339 ± 0.08138     |
| Bin16  |    251.1 ± 108    | 135.8 ± 6.824  |   386.9 ± 108.3   |     0.1799 ± 0.04644      |     0.691 ± 0.07408     |
| Bin17  |   167.4 ± 78.9    | 132.8 ± 6.714  |   300.1 ± 79.19   |     0.2398 ± 0.05363      |     0.6989 ± 0.0745     |
| Bin18  |   195.3 ± 100.6   |  132.4 ± 6.74  |   327.7 ± 100.8   |     0.3717 ± 0.06676      |     0.818 ± 0.0806      |
| Bin19  |   111.6 ± 78.9    | 133.4 ± 6.765  |    245 ± 79.19    |     0.1919 ± 0.04796      |    0.7783 ± 0.07862     |
| Bin20  |   195.3 ± 92.52   | 133.1 ± 6.723  |   328.4 ± 92.76   |     0.2758 ± 0.05751      |     0.7465 ± 0.077      |
| Bin21  |   195.3 ± 73.8    | 136.5 ± 6.791  |   331.8 ± 74.12   |     0.2518 ± 0.05495      |    0.7942 ± 0.07942     |
| Bin22  |     0 ± 68.33     | 134.5 ± 6.757  |   134.5 ± 68.66   |     0.2518 ± 0.05495      |     0.826 ± 0.08099     |
| Bin23  |   195.3 ± 73.8    | 133.1 ± 6.723  |   328.4 ± 74.11   |     0.3118 ± 0.06114      |    0.9213 ± 0.08554     |
| Bin24  |     0 ± 55.79     | 144.3 ± 6.981  |   144.3 ± 56.23   |     0.2038 ± 0.04944      |      1.04 ± 0.0909      |
| Bin25  |   27.9 ± 62.38    | 137.2 ± 6.841  |   165.1 ± 62.75   |     0.2758 ± 0.05751      |     0.9054 ± 0.0848     |
| Bin26  |   83.69 ± 92.52   | 140.9 ± 6.932  |   224.6 ± 92.78   |     0.1679 ± 0.04487      |     1.136 ± 0.09497     |
| Bin27  |   83.69 ± 62.38   | 139.5 ± 6.882  |   223.2 ± 62.75   |     0.3358 ± 0.06345      |      1.469 ± 0.108      |
| Bin28  |   55.79 ± 88.21   | 139.9 ± 6.907  |   195.7 ± 88.48   |     0.3837 ± 0.06783      |     2.001 ± 0.1261      |
| Bin29  |   139.5 ± 92.52   | 155.4 ± 7.246  |   294.9 ± 92.8    |     0.3597 ± 0.06568      |     3.042 ± 0.1554      |
| Bin30  |    279 ± 96.63    | 208.1 ± 8.399  |    487.1 ± 97     |      5.756 ± 0.2627       |     30.67 ± 0.4936      |
| Bin31  |       0 ± 0       |     0 ± 0      |       0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+-------------------+----------------+-------------------+---------------------------+-------------------------+
