+--------+-------------------+----------------+-------------------+---------------------------+-------------------------+
| Bin#   |      DYJETS       |     ttbar      |       Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-------------------+----------------+-------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0       |     0 ± 0      |       0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |       0 ± 0       | 42.23 ± 3.777  |   42.23 ± 3.777   |     0.6475 ± 0.08812      |    0.2859 ± 0.04765     |
| Bin2   |   -27.9 ± 48.32   | 106.8 ± 6.006  |   78.86 ± 48.69   |      1.055 ± 0.1125       |    0.8657 ± 0.08292     |
| Bin3   |    27.9 ± 27.9    |  216.9 ± 8.56  |   244.8 ± 29.18   |      1.703 ± 0.1429       |     1.318 ± 0.1023      |
| Bin4   |   55.79 ± 39.45   | 267.6 ± 9.556  |   323.4 ± 40.59   |      2.206 ± 0.1627       |     1.652 ± 0.1145      |
| Bin5   |   251.1 ± 92.52   | 323.7 ± 10.47  |   574.7 ± 93.11   |      1.895 ± 0.1507       |     1.938 ± 0.1241      |
| Bin6   |   167.4 ± 96.63   | 392.9 ± 11.52  |   560.3 ± 97.32   |      1.607 ± 0.1388       |      1.525 ± 0.11       |
| Bin7   |   836.9 ± 216.1   | 485.1 ± 12.85  |   1322 ± 216.5    |      1.463 ± 0.1324       |     1.501 ± 0.1092      |
| Bin8   |    809 ± 221.4    | 554.7 ± 13.73  |   1364 ± 221.8    |      1.223 ± 0.1211       |     1.279 ± 0.1008      |
| Bin9   |   1506 ± 295.2    | 662.5 ± 14.99  |   2169 ± 295.6    |      0.8993 ± 0.1038      |     1.549 ± 0.1109      |
| Bin10  |   4854 ± 549.5    | 743.9 ± 15.93  |   5598 ± 549.7    |     0.7554 ± 0.09518      |     3.161 ± 0.1584      |
| Bin11  | 5.325e+04 ± 1772  |  820.6 ± 16.7  | 5.407e+04 ± 1772  |      1.583 ± 0.1378       |     68.62 ± 0.7382      |
| Bin12  | 3.113e+04 ± 1361  | 850.3 ± 16.98  | 3.198e+04 ± 1361  |      0.8754 ± 0.1025      |     31.64 ± 0.5013      |
| Bin13  |   2957 ± 404.2    | 841.6 ± 16.88  |   3798 ± 404.6    |     0.5396 ± 0.08044      |    0.3494 ± 0.05268     |
| Bin14  |   1702 ± 283.1    | 791.2 ± 16.38  |   2493 ± 283.6    |     0.5876 ± 0.08394      |    0.1985 ± 0.03971     |
| Bin15  |   585.8 ± 191.2   | 713.9 ± 15.58  |   1300 ± 191.9    |     0.6115 ± 0.08563      |    0.3733 ± 0.05445     |
| Bin16  |    530 ± 182.9    | 697.3 ± 15.44  |   1227 ± 183.6    |     0.8154 ± 0.09888      |    0.2621 ± 0.04562     |
| Bin17  |   585.8 ± 155.3   | 615.5 ± 14.44  |    1201 ± 156     |     0.4916 ± 0.07678      |    0.1271 ± 0.03177     |
| Bin18  |   446.3 ± 142.2   | 580.4 ± 14.04  |   1027 ± 142.9    |     0.3837 ± 0.06783      |    0.1191 ± 0.03076     |
| Bin19  |    279 ± 111.6    | 501.4 ± 13.08  |   780.3 ± 112.3   |     0.4677 ± 0.07488      |    0.1032 ± 0.02864     |
| Bin20  |    362.6 ± 115    | 465.9 ± 12.58  |   828.5 ± 115.7   |     0.3717 ± 0.06676      |    0.08736 ± 0.02634    |
| Bin21  |   -27.9 ± 83.69   | 425.7 ± 12.06  |   397.8 ± 84.55   |     0.4197 ± 0.07094      |    0.06354 ± 0.02246    |
| Bin22  |   83.69 ± 92.52   | 357.8 ± 11.09  |   441.5 ± 93.18   |     0.3957 ± 0.06888      |    0.07942 ± 0.02511    |
| Bin23  |   139.5 ± 62.38   | 332.8 ± 10.64  |   472.3 ± 63.28   |     0.3597 ± 0.06568      |    0.1509 ± 0.03462     |
| Bin24  |   -55.79 ± 78.9   | 302.7 ± 10.19  |   246.9 ± 79.56   |     0.4916 ± 0.07678      |    0.1668 ± 0.03639     |
| Bin25  |   83.69 ± 73.8    | 275.3 ± 9.716  |    359 ± 74.44    |     0.3957 ± 0.06888      |    0.1112 ± 0.02972     |
| Bin26  |   195.3 ± 92.52   | 220.9 ± 8.679  |   416.2 ± 92.93   |     0.3717 ± 0.06676      |     0.135 ± 0.03275     |
| Bin27  |   55.79 ± 55.79   | 194.9 ± 8.227  |   250.7 ± 56.39   |     0.5516 ± 0.08133      |    0.07942 ± 0.02511    |
| Bin28  |     0 ± 55.79     | 167.9 ± 7.637  |   167.9 ± 56.31   |     0.3597 ± 0.06568      |    0.05559 ± 0.02101    |
| Bin29  |   83.69 ± 62.38   | 180.1 ± 7.829  |   263.8 ± 62.87   |     0.3477 ± 0.06457      |    0.1112 ± 0.02972     |
| Bin30  |   55.79 ± 55.79   | 146.3 ± 7.095  |   202.1 ± 56.24   |     0.4197 ± 0.07094      |    0.1032 ± 0.02864     |
| Bin31  |   836.9 ± 193.3   |  1382 ± 21.8   |   2219 ± 194.5    |      14.05 ± 0.4105       |     3.796 ± 0.1736      |
+--------+-------------------+----------------+-------------------+---------------------------+-------------------------+
