+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |     ttbar      |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin0   |  2.07e+04 ± 1123   |  3618 ± 35.13  |  2.432e+04 ± 1123  |      3.178 ± 0.1952       |      5.766 ± 0.214      |
| Bin1   |  2.555e+04 ± 1179  |  2903 ± 31.49  |  2.846e+04 ± 1179  |      4.641 ± 0.2359       |     11.36 ± 0.3003      |
| Bin2   | 1.046e+04 ± 780.6  |  1311 ± 21.12  | 1.177e+04 ± 780.9  |      1.319 ± 0.1258       |     3.796 ± 0.1736      |
| Bin3   |    5830 ± 576.4    | 656.8 ± 14.97  |    6487 ± 576.6    |     0.5996 ± 0.08479      |     1.938 ± 0.1241      |
| Bin4   |    4407 ± 511.3    | 510.1 ± 13.16  |    4918 ± 511.5    |     0.5636 ± 0.08221      |     1.16 ± 0.09596      |
| Bin5   |    4101 ± 477.5    | 435.1 ± 12.19  |    4536 ± 477.7    |     0.3477 ± 0.06457      |     1.287 ± 0.1011      |
| Bin6   |    3822 ± 445.5    |  423 ± 11.98   |    4245 ± 445.6    |     0.4796 ± 0.07584      |     1.048 ± 0.09125     |
| Bin7   |    2929 ± 436.6    | 427.7 ± 12.05  |    3357 ± 436.8    |     0.3957 ± 0.06888      |     1.271 ± 0.1005      |
| Bin8   |    3096 ± 452.4    | 447.6 ± 12.33  |    3544 ± 452.6    |     0.6475 ± 0.08812      |     1.342 ± 0.1032      |
| Bin9   |    3822 ± 454.1    | 485.8 ± 12.85  |    4308 ± 454.3    |     0.7315 ± 0.09365      |     1.644 ± 0.1143      |
| Bin10  |    2985 ± 436.6    | 481.1 ± 12.78  |    3466 ± 436.8    |      1.031 ± 0.1112       |     2.176 ± 0.1315      |
| Bin11  |    2343 ± 392.5    | 458.1 ± 12.49  |    2801 ± 392.7    |      1.655 ± 0.1409       |     3.741 ± 0.1724      |
| Bin12  |    2315 ± 389.5    | 442.6 ± 12.27  |    2758 ± 389.7    |      4.101 ± 0.2218       |     6.957 ± 0.2351      |
| Bin13  |     1423 ± 345     | 377.7 ± 11.37  |    1800 ± 345.2    |      4.533 ± 0.2331       |     8.546 ± 0.2605      |
| Bin14  |    1534 ± 321.7    | 323.7 ± 10.48  |    1858 ± 321.9    |      3.178 ± 0.1952       |     7.362 ± 0.2418      |
| Bin15  |    1339 ± 276.2    |  262.8 ± 9.46  |    1602 ± 276.3    |      1.571 ± 0.1372       |     5.123 ± 0.2017      |
| Bin16  |    1004 ± 264.6    |  214.9 ± 8.52  |    1219 ± 264.8    |      1.199 ± 0.1199       |     5.194 ± 0.2031      |
| Bin17  |   976.3 ± 214.3    | 167.9 ± 7.532  |    1144 ± 214.4    |      1.139 ± 0.1169       |     5.901 ± 0.2165      |
| Bin18  |   613.7 ± 193.3    | 127.4 ± 6.594  |   741.1 ± 193.4    |      1.499 ± 0.1341       |     6.767 ± 0.2318      |
| Bin19  |   418.4 ± 169.7    | 116.6 ± 6.275  |    535 ± 169.8     |      1.391 ± 0.1291       |     7.148 ± 0.2383      |
| Bin20  |   585.8 ± 160.2    | 73.65 ± 4.988  |   659.5 ± 160.3    |      1.151 ± 0.1175       |     5.575 ± 0.2104      |
| Bin21  |    279 ± 147.6     | 75.68 ± 5.101  |   354.6 ± 147.7    |     0.6235 ± 0.08647      |     3.018 ± 0.1548      |
| Bin22  |    279 ± 104.4     | 54.73 ± 4.326  |   333.7 ± 104.5    |     0.4197 ± 0.07094      |      1.469 ± 0.108      |
| Bin23  |   223.2 ± 111.6    | 32.09 ± 3.293  |   255.3 ± 111.6    |     0.05996 ± 0.02681     |    0.5321 ± 0.06501     |
| Bin24  |    139.5 ± 73.8    |  27.7 ± 3.096  |   167.2 ± 73.87    |     0.04796 ± 0.02398     |     0.2065 ± 0.0405     |
| Bin25  |   167.4 ± 96.63    | 24.66 ± 2.887  |    192 ± 96.68     |     0.05996 ± 0.02681     |     0.143 ± 0.03369     |
| Bin26  |   55.79 ± 55.79    | 16.55 ± 2.365  |   72.35 ± 55.84    |     0.05996 ± 0.02681     |    0.1271 ± 0.03177     |
| Bin27  |      0 ± 78.9      | 13.85 ± 2.163  |   13.85 ± 78.93    |     0.02398 ± 0.01696     |    0.1509 ± 0.03462     |
| Bin28  |   55.79 ± 55.79    | 12.16 ± 2.083  |   67.95 ± 55.83    |     0.01199 ± 0.01199     |     0.143 ± 0.03369     |
| Bin29  |   55.79 ± 68.33    | 11.82 ± 1.999  |   67.62 ± 68.36    |     0.05996 ± 0.02681     |    0.08736 ± 0.02634    |
| Bin30  |     0 ± 39.45      | 6.419 ± 1.473  |   6.419 ± 39.48    |     0.02398 ± 0.01696     |    0.07942 ± 0.02511    |
| Bin31  |   223.2 ± 104.4    | 53.04 ± 4.233  |   276.2 ± 104.5    |     0.2038 ± 0.04944      |    0.9848 ± 0.08844     |
+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
