+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar       |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |  2.644e+04 ± 1245  |   3366 ± 33.91   |  2.981e+04 ± 1245  |      1.787 ± 0.1464       |     1.422 ± 0.1063      |
| Bin2   |  2.709e+04 ± 1280  |   5986 ± 45.14   |  3.307e+04 ± 1281  |      5.828 ± 0.2644       |     5.019 ± 0.1997      |
| Bin3   |  1.908e+04 ± 1036  |   3055 ± 32.22   |  2.214e+04 ± 1037  |       6.02 ± 0.2687       |     7.775 ± 0.2485      |
| Bin4   | 1.149e+04 ± 817.1  |   1295 ± 20.98   | 1.279e+04 ± 817.4  |      5.684 ± 0.2611       |     9.379 ± 0.2729      |
| Bin5   |    6528 ± 631.2    |  542.9 ± 13.63   |    7070 ± 631.4    |      4.485 ± 0.2319       |     9.149 ± 0.2696      |
| Bin6   |    4770 ± 519.6    |   231.8 ± 8.9    |    5002 ± 519.7    |      3.441 ± 0.2031       |     9.856 ± 0.2798      |
| Bin7   |    2650 ± 401.3    |  97.64 ± 5.743   |    2748 ± 401.4    |      2.722 ± 0.1807       |     8.879 ± 0.2656      |
| Bin8   |    1730 ± 297.8    |  43.24 ± 3.822   |    1773 ± 297.9    |      1.883 ± 0.1502       |      8.776 ± 0.264      |
| Bin9   |   641.6 ± 224.9    |  19.59 ± 2.573   |   661.2 ± 224.9    |      1.523 ± 0.1351       |     7.958 ± 0.2514      |
| Bin10  |   697.4 ± 174.2    |  11.15 ± 1.941   |   708.5 ± 174.2    |      1.235 ± 0.1217       |      7.37 ± 0.2419      |
| Bin11  |   251.1 ± 121.6    |  7.095 ± 1.548   |   258.2 ± 121.6    |     0.6955 ± 0.09132      |     6.528 ± 0.2277      |
| Bin12  |   55.79 ± 96.63    |  2.703 ± 0.9556  |   58.49 ± 96.64    |     0.6595 ± 0.08893      |     6.155 ± 0.2211      |
| Bin13  |   -83.69 ± 73.8    |  1.351 ± 0.6757  |   -82.34 ± 73.81   |     0.6235 ± 0.08647      |     5.528 ± 0.2095      |
| Bin14  |   83.69 ± 48.32    |      0 ± 0       |   83.69 ± 48.32    |     0.4077 ± 0.06992      |     4.781 ± 0.1949      |
| Bin15  |    167.4 ± 78.9    | 0.6757 ± 0.4778  |     168 ± 78.9     |     0.3957 ± 0.06888      |     3.876 ± 0.1754      |
| Bin16  |   111.6 ± 55.79    |  1.014 ± 0.5852  |   112.6 ± 55.79    |     0.2638 ± 0.05624      |     3.558 ± 0.1681      |
| Bin17  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378   |     0.1919 ± 0.04796      |     2.557 ± 0.1425      |
| Bin18  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.1559 ± 0.04323      |     2.232 ± 0.1331      |
| Bin19  |    27.9 ± 48.32    | 0.3378 ± 0.3378  |   28.23 ± 48.32    |     0.07195 ± 0.02937     |     2.017 ± 0.1266      |
| Bin20  |    27.9 ± 27.9     | 0.3378 ± 0.3378  |    28.23 ± 27.9    |     0.05996 ± 0.02681     |      1.66 ± 0.1148      |
| Bin21  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.05996 ± 0.02681     |     1.366 ± 0.1042      |
| Bin22  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.01199 ± 0.01199     |     1.112 ± 0.09397     |
| Bin23  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.02398 ± 0.01696     |     1.088 ± 0.09296     |
| Bin24  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.01199 ± 0.01199     |     0.683 ± 0.07365     |
| Bin25  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.04796 ± 0.02398     |    0.7863 ± 0.07902     |
| Bin26  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.01199 ± 0.01199     |    0.4765 ± 0.06152     |
| Bin27  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |    0.4527 ± 0.05996     |
| Bin28  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.02398 ± 0.01696     |    0.2303 ± 0.04277     |
| Bin29  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |    0.2303 ± 0.04277     |
| Bin30  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |    0.1588 ± 0.03552     |
| Bin31  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.02398 ± 0.01696     |     0.7465 ± 0.077      |
+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
