+--------+--------------------+-----------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar      |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+-----------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |      0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |       0 ± 0        |      0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin2   |       0 ± 0        |      0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin3   |  2.29e+04 ± 1188   |  2978 ± 31.85   |  2.588e+04 ± 1189  |      1.751 ± 0.1449       |     2.176 ± 0.1315      |
| Bin4   |  2.293e+04 ± 1134  |  3209 ± 33.08   |  2.614e+04 ± 1134  |      2.566 ± 0.1754       |     3.201 ± 0.1594      |
| Bin5   | 1.339e+04 ± 872.4  |  2504 ± 29.16   | 1.589e+04 ± 872.9  |       2.53 ± 0.1742       |      3.185 ± 0.159      |
| Bin6   |    9429 ± 751.6    |  1799 ± 24.73   |  1.123e+04 ± 752   |      2.374 ± 0.1687       |     4.098 ± 0.1804      |
| Bin7   |    6862 ± 636.1    |  1210 ± 20.29   |    8072 ± 636.4    |      2.518 ± 0.1738       |     4.352 ± 0.1859      |
| Bin8   |     4575 ± 538     |  848.7 ± 16.97  |    5424 ± 538.3    |       2.11 ± 0.1591       |      4.13 ± 0.1811      |
| Bin9   |    4073 ± 481.6    |  589.5 ± 14.19  |    4662 ± 481.8    |      1.991 ± 0.1545       |     4.114 ± 0.1808      |
| Bin10  |    3599 ± 445.5    |  408.5 ± 11.81  |    4007 ± 445.6    |      1.835 ± 0.1483       |      4.59 ± 0.1909      |
| Bin11  |    2817 ± 425.8    |  286.5 ± 9.976  |    3104 ± 425.9    |      1.871 ± 0.1498       |      4.17 ± 0.182       |
| Bin12  |    2064 ± 322.9    |  204.4 ± 8.337  |     2269 ± 323     |      1.583 ± 0.1378       |     4.559 ± 0.1903      |
| Bin13  |    1255 ± 321.7    |  157.8 ± 7.363  |    1413 ± 321.8    |      1.595 ± 0.1383       |     4.511 ± 0.1893      |
| Bin14  |    2036 ± 331.2    |  102.4 ± 5.939  |    2139 ± 331.3    |      1.391 ± 0.1291       |     4.312 ± 0.1851      |
| Bin15  |    1478 ± 247.9    |  83.78 ± 5.342  |     1562 ± 248     |      1.019 ± 0.1106       |     4.432 ± 0.1876      |
| Bin16  |    1004 ± 243.2    |  65.88 ± 4.79   |    1070 ± 243.2    |      1.115 ± 0.1156       |     3.828 ± 0.1744      |
| Bin17  |   195.3 ± 195.3    |  52.03 ± 4.22   |   247.3 ± 195.3    |      0.9713 ± 0.1079      |     3.629 ± 0.1698      |
| Bin18  |    251.1 ± 165     |  40.54 ± 3.732  |   291.6 ± 165.1    |      0.8634 ± 0.1017      |     3.669 ± 0.1707      |
| Bin19  |   781.1 ± 189.2    |  27.03 ± 3.022  |   808.1 ± 189.2    |     0.6475 ± 0.08812      |     3.693 ± 0.1713      |
| Bin20  |   362.6 ± 139.5    |  21.28 ± 2.724  |   383.9 ± 139.5    |     0.7435 ± 0.09442      |      3.264 ± 0.161      |
| Bin21  |   334.7 ± 111.6    |  17.23 ± 2.413  |    352 ± 111.6     |     0.6475 ± 0.08812      |      2.946 ± 0.153      |
| Bin22  |   195.3 ± 100.6    |  13.18 ± 2.11   |   208.4 ± 100.6    |     0.8034 ± 0.09815      |     3.701 ± 0.1714      |
| Bin23  |    362.6 ± 115     |  11.15 ± 1.941  |    373.8 ± 115     |     0.6955 ± 0.09132      |     3.161 ± 0.1584      |
| Bin24  |   251.1 ± 92.52    | 2.703 ± 0.9556  |   253.8 ± 92.52    |      0.6355 ± 0.0873      |     2.764 ± 0.1482      |
| Bin25  |   195.3 ± 83.69    |  2.365 ± 1.014  |   197.6 ± 83.69    |     0.4197 ± 0.07094      |      2.43 ± 0.1389      |
| Bin26  |     0 ± 68.33      |  5.068 ± 1.308  |   5.068 ± 68.34    |     0.5156 ± 0.07863      |     2.565 ± 0.1427      |
| Bin27  |   -27.9 ± 48.32    |  5.405 ± 1.351  |   -22.49 ± 48.34   |     0.3358 ± 0.06345      |      2.24 ± 0.1334      |
| Bin28  |   83.69 ± 83.69    |  3.378 ± 1.068  |   87.07 ± 83.69    |     0.2878 ± 0.05874      |     2.136 ± 0.1303      |
| Bin29  |   55.79 ± 39.45    |  3.378 ± 1.068  |   59.17 ± 39.46    |     0.3717 ± 0.06676      |     2.208 ± 0.1324      |
| Bin30  |     0 ± 39.45      | 1.351 ± 0.6757  |   1.351 ± 39.46    |     0.5396 ± 0.08044      |     2.256 ± 0.1338      |
| Bin31  |   306.9 ± 133.8    |  7.095 ± 1.548  |   313.9 ± 133.8    |      3.621 ± 0.2084       |     25.49 ± 0.4499      |
+--------+--------------------+-----------------+--------------------+---------------------------+-------------------------+
