+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar       |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin2   |  3.42e+04 ± 1445   |   4718 ± 40.08   |  3.892e+04 ± 1446  |       5.6 ± 0.2591        |     10.06 ± 0.2827      |
| Bin3   |  3.844e+04 ± 1481  |   5611 ± 43.72   |  4.405e+04 ± 1482  |      8.226 ± 0.3141       |      16.8 ± 0.3652      |
| Bin4   | 1.314e+04 ± 880.8  |   2403 ± 28.6    | 1.554e+04 ± 881.3  |       5.24 ± 0.2507       |     13.68 ± 0.3296      |
| Bin5   |    7002 ± 610.5    |   1024 ± 18.72   |    8026 ± 610.8    |       4.221 ± 0.225       |     11.39 ± 0.3007      |
| Bin6   |    3069 ± 448.1    |  453.4 ± 12.39   |    3522 ± 448.2    |      2.998 ± 0.1896       |     10.25 ± 0.2852      |
| Bin7   |    2706 ± 342.8    |  219.6 ± 8.627   |    2925 ± 342.9    |      2.398 ± 0.1696       |      8.125 ± 0.254      |
| Bin8   |    809 ± 277.6     |   103 ± 5.939    |    912 ± 277.6     |      1.655 ± 0.1409       |     6.949 ± 0.2349      |
| Bin9   |   892.7 ± 233.4    |   53.72 ± 4.26   |   946.4 ± 233.4    |      1.535 ± 0.1357       |     6.925 ± 0.2345      |
| Bin10  |   362.6 ± 174.2    |  31.08 ± 3.275   |   393.7 ± 174.2    |      0.9833 ± 0.1086      |     5.536 ± 0.2097      |
| Bin11  |   418.4 ± 144.9    |  13.51 ± 2.189   |    431.9 ± 145     |     0.7674 ± 0.09593      |     4.146 ± 0.1815      |
| Bin12  |    195.3 ± 108     |  14.87 ± 2.241   |   210.1 ± 108.1    |     0.6715 ± 0.08973      |     3.804 ± 0.1738      |
| Bin13  |   223.2 ± 111.6    |  6.081 ± 1.433   |   229.2 ± 111.6    |     0.7674 ± 0.09593      |     3.002 ± 0.1544      |
| Bin14  |    83.69 ± 73.8    |  5.743 ± 1.393   |   89.43 ± 73.82    |     0.5756 ± 0.08308      |      3.01 ± 0.1546      |
| Bin15  |     0 ± 68.33      |  1.689 ± 0.7554  |   1.689 ± 68.33    |     0.3477 ± 0.06457      |     2.851 ± 0.1505      |
| Bin16  |   139.5 ± 62.38    |  1.351 ± 0.8275  |   140.8 ± 62.38    |     0.2398 ± 0.05363      |     2.176 ± 0.1315      |
| Bin17  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.2758 ± 0.05751      |     2.184 ± 0.1317      |
| Bin18  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378   |     0.3957 ± 0.06888      |     1.366 ± 0.1042      |
| Bin19  |   55.79 ± 39.45    |      0 ± 0       |   55.79 ± 39.45    |     0.2038 ± 0.04944      |     1.437 ± 0.1068      |
| Bin20  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.1919 ± 0.04796      |     1.199 ± 0.09759     |
| Bin21  |    27.9 ± 27.9     |      0 ± 0       |    27.9 ± 27.9     |     0.1559 ± 0.04323      |    0.9213 ± 0.08554     |
| Bin22  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.1679 ± 0.04487      |     1.056 ± 0.09159     |
| Bin23  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.1559 ± 0.04323      |     0.6989 ± 0.0745     |
| Bin24  |    27.9 ± 27.9     |      0 ± 0       |    27.9 ± 27.9     |     0.1079 ± 0.03597      |     0.691 ± 0.07408     |
| Bin25  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378   |     0.08394 ± 0.03173     |    0.5321 ± 0.06501     |
| Bin26  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.04796 ± 0.02398     |    0.4448 ± 0.05943     |
| Bin27  |    -27.9 ± 27.9    |      0 ± 0       |    -27.9 ± 27.9    |     0.03597 ± 0.02077     |    0.3733 ± 0.05445     |
| Bin28  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.03597 ± 0.02077     |    0.2541 ± 0.04493     |
| Bin29  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.02398 ± 0.01696     |     0.27 ± 0.04631      |
| Bin30  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.03597 ± 0.02077     |    0.2303 ± 0.04277     |
| Bin31  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.2038 ± 0.04944      |     1.453 ± 0.1074      |
+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
