+--------+--------------------+-----------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar      |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+-----------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |      0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |       0 ± 0        |      0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin2   |    9094 ± 751.6    |  412.2 ± 11.86  |    9506 ± 751.7    |      1.151 ± 0.1175       |     2.565 ± 0.1427      |
| Bin3   |  3.702e+04 ± 1504  |  2520 ± 29.29   |  3.954e+04 ± 1504  |      7.195 ± 0.2937       |     18.29 ± 0.3811      |
| Bin4   |  2.363e+04 ± 1151  |  2461 ± 28.94   |  2.609e+04 ± 1151  |        7.506 ± 0.3        |      20.3 ± 0.4015      |
| Bin5   | 1.197e+04 ± 836.4  |  2169 ± 27.17   | 1.414e+04 ± 836.8  |       5.552 ± 0.258       |     17.07 ± 0.3682      |
| Bin6   |    6695 ± 636.1    |  1787 ± 24.71   |    8482 ± 636.6    |       4.844 ± 0.241       |     13.35 ± 0.3256      |
| Bin7   |    5105 ± 537.3    |  1463 ± 22.31   |    6568 ± 537.8    |      3.405 ± 0.2021       |     10.55 ± 0.2894      |
| Bin8   |    3069 ± 442.8    |  1127 ± 19.59   |    4196 ± 443.3    |       2.95 ± 0.1881       |     7.728 ± 0.2477      |
| Bin9   |    2315 ± 342.8    |  895.6 ± 17.47  |    3211 ± 343.2    |      1.895 ± 0.1507       |     5.964 ± 0.2176      |
| Bin10  |    1311 ± 231.7    |  519.9 ± 13.3   |    1831 ± 232.1    |      1.307 ± 0.1252       |     3.645 ± 0.1702      |
| Bin11  |    279 ± 104.4     |  232.1 ± 8.881  |   511.1 ± 104.8    |     0.2278 ± 0.05227      |    0.7386 ± 0.07659     |
| Bin12  |   111.6 ± 68.33    |  177.7 ± 7.778  |   289.3 ± 68.77    |     0.1319 ± 0.03977      |    0.2144 ± 0.04127     |
| Bin13  |   111.6 ± 55.79    |  156.4 ± 7.285  |    268 ± 56.26     |     0.1079 ± 0.03597      |    0.1588 ± 0.03552     |
| Bin14  |   195.3 ± 83.69    |   126 ± 6.542   |   321.3 ± 83.94    |     0.09593 ± 0.03392     |     0.135 ± 0.03275     |
| Bin15  |   139.5 ± 62.38    |  105.4 ± 6.044  |   244.9 ± 62.67    |     0.08394 ± 0.03173     |     0.143 ± 0.03369     |
| Bin16  |    27.9 ± 62.38    |  86.49 ± 5.405  |   114.4 ± 62.61    |     0.02398 ± 0.01696     |    0.08736 ± 0.02634    |
| Bin17  |     0 ± 55.79      |  75.34 ± 5.068  |   75.34 ± 56.02    |     0.04796 ± 0.02398     |    0.05559 ± 0.02101    |
| Bin18  |    279 ± 88.21     |   52.7 ± 4.3    |   331.7 ± 88.32    |     0.01199 ± 0.01199     |    0.07942 ± 0.02511    |
| Bin19  |    27.9 ± 27.9     |  42.57 ± 3.792  |   70.46 ± 28.15    |     0.02398 ± 0.01696     |    0.08736 ± 0.02634    |
| Bin20  |   83.69 ± 62.38    |  42.57 ± 3.822  |   126.3 ± 62.49    |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin21  |    27.9 ± 27.9     |  28.72 ± 3.151  |   56.61 ± 28.07    |     0.05996 ± 0.02681     |    0.04765 ± 0.01945    |
| Bin22  |    27.9 ± 27.9     |  16.55 ± 2.365  |     44.45 ± 28     |     0.02398 ± 0.01696     |    0.04765 ± 0.01945    |
| Bin23  |    27.9 ± 27.9     |  24.32 ± 2.867  |   52.22 ± 28.04    |     0.04796 ± 0.02398     |    0.03177 ± 0.01588    |
| Bin24  |    27.9 ± 48.32    |  14.53 ± 2.215  |   42.42 ± 48.37    |     0.02398 ± 0.01696     |    0.06354 ± 0.02246    |
| Bin25  |    27.9 ± 27.9     |  13.85 ± 2.163  |   41.75 ± 27.98    |     0.03597 ± 0.02077     |    0.03177 ± 0.01588    |
| Bin26  |       0 ± 0        |  9.122 ± 1.755  |   9.122 ± 1.755    |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin27  |       0 ± 0        |  9.46 ± 1.788   |    9.46 ± 1.788    |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin28  |    27.9 ± 27.9     |  5.405 ± 1.351  |    33.3 ± 27.93    |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin29  |   55.79 ± 39.45    |  3.378 ± 1.068  |   59.17 ± 39.46    |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin30  |     0 ± 39.45      | 2.365 ± 0.8938  |   2.365 ± 39.46    |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin31  |    55.79 ± 78.9    |  14.19 ± 2.241  |   69.98 ± 78.93    |     0.1799 ± 0.04644      |    0.4527 ± 0.05996     |
+--------+--------------------+-----------------+--------------------+---------------------------+-------------------------+
