+--------+------------------+------------------+-------------------+---------------------------+-------------------------+
| Bin#   |      DYJETS      |      ttbar       |       Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+------------------+------------------+-------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |       0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0       |      0 ± 0       |       0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   | 1.73e+04 ± 1024  |   1915 ± 25.52   | 1.921e+04 ± 1025  |      4.005 ± 0.2191       |     12.88 ± 0.3199      |
| Bin3   | 4.46e+04 ± 1650  |   5297 ± 42.47   |  4.99e+04 ± 1651  |      13.92 ± 0.4086       |     39.96 ± 0.5634      |
| Bin4   |  1.9e+04 ± 1030  |   2627 ± 29.92   | 2.162e+04 ± 1030  |       7.53 ± 0.3005       |     21.41 ± 0.4124      |
| Bin5   |   8034 ± 682.2   |   1570 ± 23.13   |   9604 ± 682.6    |       4.221 ± 0.225       |      11.94 ± 0.308      |
| Bin6   |   4686 ± 523.4   |   1047 ± 18.88   |   5733 ± 523.7    |        3.01 ± 0.19        |     6.234 ± 0.2225      |
| Bin7   |   3208 ± 405.2   |  705.4 ± 15.51   |   3913 ± 405.5    |      1.451 ± 0.1319       |     4.162 ± 0.1818      |
| Bin8   |   1757 ± 328.9   |  493.6 ± 13.02   |   2251 ± 329.1    |      1.379 ± 0.1286       |      2.43 ± 0.1389      |
| Bin9   |   1255 ± 241.6   |  343.2 ± 10.82   |   1599 ± 241.8    |     0.8034 ± 0.09815      |      1.525 ± 0.11       |
| Bin10  |   1004 ± 193.3   |  192.2 ± 8.073   |   1196 ± 193.4    |     0.3837 ± 0.06783      |    0.9292 ± 0.08591     |
| Bin11  |   139.5 ± 73.8   |   77.7 ± 5.124   |   217.2 ± 73.98   |     0.02398 ± 0.01696     |    0.1985 ± 0.03971     |
| Bin12  |  83.69 ± 48.32   |  61.15 ± 4.545   |   144.8 ± 48.53   |     0.01199 ± 0.01199     |    0.05559 ± 0.02101    |
| Bin13  |  55.79 ± 39.45   |  46.96 ± 4.012   |   102.8 ± 39.65   |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin14  |  111.6 ± 68.33   |  40.54 ± 3.732   |   152.1 ± 68.43   |     0.02398 ± 0.01696     |    0.01588 ± 0.01123    |
| Bin15  |  83.69 ± 48.32   |  32.77 ± 3.395   |   116.5 ± 48.44   |     0.02398 ± 0.01696     |    0.03177 ± 0.01588    |
| Bin16  |  83.69 ± 48.32   |  28.72 ± 3.115   |   112.4 ± 48.42   |     0.01199 ± 0.01199     |          0 ± 0          |
| Bin17  |    0 ± 39.45     |  26.01 ± 2.965   |   26.01 ± 39.56   |     0.02398 ± 0.01696     |    0.01588 ± 0.01123    |
| Bin18  |  111.6 ± 55.79   |  21.28 ± 2.682   |   132.9 ± 55.86   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin19  |   27.9 ± 27.9    |   11.49 ± 1.97   |   39.38 ± 27.97   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin20  |  55.79 ± 39.45   |  14.53 ± 2.266   |   70.32 ± 39.52   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin21  |   27.9 ± 27.9    |  9.122 ± 1.755   |   37.02 ± 27.95   |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin22  |   27.9 ± 27.9    |  4.392 ± 1.218   |   32.29 ± 27.92   |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin23  |      0 ± 0       |  6.081 ± 1.433   |   6.081 ± 1.433   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin24  |   27.9 ± 27.9    |   3.716 ± 1.12   |   31.61 ± 27.92   |     0.01199 ± 0.01199     |   0.007942 ± 0.007942   |
| Bin25  |   27.9 ± 27.9    |  4.392 ± 1.218   |   32.29 ± 27.92   |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin26  |      0 ± 0       |  2.365 ± 0.8938  |  2.365 ± 0.8938   |           0 ± 0           |          0 ± 0          |
| Bin27  |      0 ± 0       |  3.041 ± 1.014   |   3.041 ± 1.014   |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin28  |      0 ± 0       |  2.365 ± 0.8938  |  2.365 ± 0.8938   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin29  |   27.9 ± 27.9    |  1.014 ± 0.5852  |   28.91 ± 27.9    |           0 ± 0           |          0 ± 0          |
| Bin30  |    0 ± 39.45     | 0.3378 ± 0.3378  |  0.3378 ± 39.45   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin31  |    0 ± 55.79     |  6.081 ± 1.433   |   6.081 ± 55.81   |     0.02398 ± 0.01696     |    0.1112 ± 0.02972     |
+--------+------------------+------------------+-------------------+---------------------------+-------------------------+
