+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |     ttbar      |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |       0 ± 0        |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin2   |       0 ± 0        |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin3   |       0 ± 0        |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin4   |  3.133e+04 ± 1389  |  2135 ± 26.97  |  3.346e+04 ± 1390  |      6.403 ± 0.2771       |     17.28 ± 0.3705      |
| Bin5   |  2.017e+04 ± 1107  |  1815 ± 24.84  |  2.198e+04 ± 1107  |      5.312 ± 0.2524       |      14.64 ± 0.341      |
| Bin6   | 1.573e+04 ± 929.4  |  1596 ± 23.33  | 1.733e+04 ± 929.7  |      4.856 ± 0.2413       |     13.29 ± 0.3249      |
| Bin7   |    8285 ± 721.5    |  1397 ± 21.81  |    9682 ± 721.8    |      4.125 ± 0.2224       |       11 ± 0.2956       |
| Bin8   |    6332 ± 589.8    |  1217 ± 20.36  |    7550 ± 590.1    |      2.926 ± 0.1873       |     8.808 ± 0.2645      |
| Bin9   |    4547 ± 501.3    |  1033 ± 18.78  |    5580 ± 501.7    |      2.386 ± 0.1692       |     7.545 ± 0.2448      |
| Bin10  |    3515 ± 456.7    | 903.1 ± 17.57  |     4418 ± 457     |       2.326 ± 0.167       |     5.893 ± 0.2163      |
| Bin11  |    3041 ± 393.5    | 779.4 ± 16.28  |    3820 ± 393.9    |      1.967 ± 0.1536       |     5.131 ± 0.2019      |
| Bin12  |    2622 ± 376.3    | 664.2 ± 15.03  |    3286 ± 376.6    |      1.343 ± 0.1269       |     4.487 ± 0.1888      |
| Bin13  |    1311 ± 321.7    | 580.4 ± 14.05  |     1892 ± 322     |      1.511 ± 0.1346       |     3.582 ± 0.1687      |
| Bin14  |    1144 ± 247.9    | 501.7 ± 13.08  |    1645 ± 248.3    |      0.9593 ± 0.1073      |     2.772 ± 0.1484      |
| Bin15  |    1032 ± 241.6    | 438.5 ± 12.24  |    1471 ± 241.9    |     0.7554 ± 0.09518      |     2.486 ± 0.1405      |
| Bin16  |   948.4 ± 193.3    |  299.3 ± 10.1  |    1248 ± 193.5    |     0.6475 ± 0.08812      |     1.962 ± 0.1248      |
| Bin17  |   362.6 ± 121.6    | 164.9 ± 7.478  |   527.5 ± 121.8    |     0.3358 ± 0.06345      |    0.8498 ± 0.08215     |
| Bin18  |   55.79 ± 55.79    | 119.3 ± 6.347  |    175 ± 56.15     |     0.07195 ± 0.02937     |    0.3971 ± 0.05616     |
| Bin19  |    139.5 ± 73.8    | 111.2 ± 6.146  |   250.6 ± 74.06    |     0.1799 ± 0.04644      |    0.1827 ± 0.03809     |
| Bin20  |   83.69 ± 48.32    | 96.96 ± 5.743  |   180.6 ± 48.66    |     0.08394 ± 0.03173     |    0.1747 ± 0.03725     |
| Bin21  |   83.69 ± 48.32    | 88.51 ± 5.489  |   172.2 ± 48.63    |     0.04796 ± 0.02398     |    0.03177 ± 0.01588    |
| Bin22  |   111.6 ± 55.79    |  82.1 ± 5.266  |   193.7 ± 56.04    |     0.03597 ± 0.02077     |    0.08736 ± 0.02634    |
| Bin23  |    -27.9 ± 27.9    | 57.43 ± 4.405  |   29.54 ± 28.24    |     0.1079 ± 0.03597      |    0.08736 ± 0.02634    |
| Bin24  |   111.6 ± 55.79    | 58.11 ± 4.482  |   169.7 ± 55.97    |     0.05996 ± 0.02681     |    0.07148 ± 0.02383    |
| Bin25  |   139.5 ± 62.38    |  48.65 ± 4.11  |   188.1 ± 62.51    |     0.02398 ± 0.01696     |    0.07942 ± 0.02511    |
| Bin26  |   55.79 ± 39.45    |  48.31 ± 4.04  |   104.1 ± 39.66    |     0.02398 ± 0.01696     |    0.05559 ± 0.02101    |
| Bin27  |   -55.79 ± 39.45   | 49.66 ± 4.096  |   -6.128 ± 39.66   |     0.03597 ± 0.02077     |    0.02383 ± 0.01376    |
| Bin28  |   55.79 ± 39.45    | 38.18 ± 3.623  |   93.97 ± 39.62    |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin29  |       0 ± 0        | 34.46 ± 3.412  |   34.46 ± 3.412    |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin30  |    195.3 ± 73.8    |  27.7 ± 3.133  |    223 ± 73.87     |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin31  |   418.4 ± 139.5    | 207.8 ± 8.405  |   626.2 ± 139.7    |     0.3717 ± 0.06676      |    0.9927 ± 0.08879     |
+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
