+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar       |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin2   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin3   | 1.091e+04 ± 792.4  |   1684 ± 23.98   | 1.259e+04 ± 792.8  |       3.25 ± 0.1974       |     4.551 ± 0.1901      |
| Bin4   |  3.707e+04 ± 1518  |   5563 ± 43.57   |  4.264e+04 ± 1519  |      12.06 ± 0.3803       |      20.6 ± 0.4045      |
| Bin5   |  2.441e+04 ± 1150  |   2871 ± 31.26   |  2.728e+04 ± 1150  |      6.247 ± 0.2737       |     12.41 ± 0.3139      |
| Bin6   | 1.269e+04 ± 874.6  |   1698 ± 24.04   | 1.439e+04 ± 874.9  |      3.621 ± 0.2084       |     9.832 ± 0.2794      |
| Bin7   |    7755 ± 645.8    |   1014 ± 18.55   |    8768 ± 646.1    |       2.134 ± 0.16        |      7.72 ± 0.2476      |
| Bin8   |    2929 ± 460.9    |  660.5 ± 14.98   |    3590 ± 461.2    |      1.811 ± 0.1474       |     6.711 ± 0.2309      |
| Bin9   |    2176 ± 348.4    |  390.5 ± 11.51   |    2566 ± 348.6    |      1.607 ± 0.1388       |     6.163 ± 0.2212      |
| Bin10  |    1562 ± 276.2    |  242.2 ± 9.084   |    1804 ± 276.3    |      1.211 ± 0.1205       |     5.266 ± 0.2045      |
| Bin11  |    781.1 ± 205     |  147.6 ± 7.062   |   928.7 ± 205.1    |      0.9473 ± 0.1066      |     4.551 ± 0.1901      |
| Bin12  |   557.9 ± 162.7    |   102 ± 5.871    |   659.9 ± 162.8    |     0.7435 ± 0.09442      |     4.003 ± 0.1783      |
| Bin13  |   111.6 ± 136.7    |  77.03 ± 5.124   |   188.6 ± 136.8    |     0.5876 ± 0.08394      |     3.256 ± 0.1608      |
| Bin14  |   334.7 ± 111.6    |  51.01 ± 4.151   |   385.8 ± 111.7    |     0.3477 ± 0.06457      |     2.724 ± 0.1471      |
| Bin15  |   139.5 ± 100.6    |  29.39 ± 3.187   |   168.9 ± 100.6    |     0.4437 ± 0.07294      |      2.2 ± 0.1322       |
| Bin16  |      0 ± 78.9      |  18.92 ± 2.528   |   18.92 ± 78.94    |     0.3597 ± 0.06568      |     1.962 ± 0.1248      |
| Bin17  |   83.69 ± 48.32    |  15.88 ± 2.316   |   99.57 ± 48.37    |     0.3957 ± 0.06888      |      1.636 ± 0.114      |
| Bin18  |   55.79 ± 55.79    |  9.122 ± 1.755   |   64.91 ± 55.82    |     0.2158 ± 0.05087      |     1.422 ± 0.1063      |
| Bin19  |   55.79 ± 39.45    |  6.419 ± 1.473   |   62.21 ± 39.48    |     0.1799 ± 0.04644      |     1.263 ± 0.1001      |
| Bin20  |    27.9 ± 27.9     |  4.392 ± 1.218   |   32.29 ± 27.92    |     0.1439 ± 0.04154      |     0.9054 ± 0.0848     |
| Bin21  |    27.9 ± 27.9     |  5.068 ± 1.308   |   32.96 ± 27.93    |     0.1199 ± 0.03792      |    0.8021 ± 0.07982     |
| Bin22  |    27.9 ± 27.9     | 0.6757 ± 0.4778  |    28.57 ± 27.9    |     0.08394 ± 0.03173     |    0.7545 ± 0.07741     |
| Bin23  |    27.9 ± 27.9     |  1.014 ± 0.5852  |    28.91 ± 27.9    |     0.1079 ± 0.03597      |    0.5956 ± 0.06878     |
| Bin24  |       0 ± 0        |  1.014 ± 0.5852  |   1.014 ± 0.5852   |     0.08394 ± 0.03173     |     0.4368 ± 0.0589     |
| Bin25  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378   |     0.05996 ± 0.02681     |    0.3971 ± 0.05616     |
| Bin26  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.08394 ± 0.03173     |    0.3574 ± 0.05328     |
| Bin27  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |     0.3097 ± 0.0496     |
| Bin28  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378   |     0.02398 ± 0.01696     |    0.2462 ± 0.04422     |
| Bin29  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |    0.2303 ± 0.04277     |
| Bin30  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |    0.1827 ± 0.03809     |
| Bin31  |       0 ± 0        |      0 ± 0       |       0 ± 0        |     0.07195 ± 0.02937     |    0.5559 ± 0.06645     |
+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
