+--------+-------------------+------------------+-------------------+---------------------------+-------------------------+
| Bin#   |      DYJETS       |      ttbar       |       Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-------------------+------------------+-------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0       |      0 ± 0       |       0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   | 7.175e+04 ± 2043  |   6259 ± 46.21   | 7.801e+04 ± 2043  |      17.03 ± 0.4519       |     34.21 ± 0.5213      |
| Bin2   |   2232 ± 376.3    |  534.1 ± 13.52   |   2766 ± 376.6    |     0.5756 ± 0.08308      |    0.8418 ± 0.08177     |
| Bin3   |   2511 ± 382.5    |  591.9 ± 14.21   |   3102 ± 382.7    |     0.4557 ± 0.07392      |    0.9213 ± 0.08554     |
| Bin4   |   2120 ± 374.3    |  634.1 ± 14.68   |   2754 ± 374.5    |     0.4557 ± 0.07392      |     0.9054 ± 0.0848     |
| Bin5   |    2762 ± 369     |  678.4 ± 15.16   |   3440 ± 369.3    |     0.3717 ± 0.06676      |    0.8895 ± 0.08405     |
| Bin6   |   2511 ± 378.4    |  664.9 ± 15.03   |   3175 ± 378.7    |     0.5156 ± 0.07863      |     1.056 ± 0.09159     |
| Bin7   |   1841 ± 337.1    |  642.6 ± 14.77   |   2484 ± 337.4    |     0.5396 ± 0.08044      |     1.112 ± 0.09397     |
| Bin8   |   2036 ± 342.8    |  622.6 ± 14.57   |   2659 ± 343.1    |     0.4677 ± 0.07488      |     1.223 ± 0.09856     |
| Bin9   |   1813 ± 338.2    |  586.8 ± 14.12   |   2400 ± 338.5    |     0.7315 ± 0.09365      |     1.549 ± 0.1109      |
| Bin10  |   1646 ± 333.6    |  556.1 ± 13.78   |   2202 ± 333.9    |      0.9113 ± 0.1045      |     1.501 ± 0.1092      |
| Bin11  |   1534 ± 314.4    |  517.6 ± 13.29   |   2052 ± 314.6    |      1.091 ± 0.1144       |     1.803 ± 0.1197      |
| Bin12  |   2036 ± 304.3    |  458.1 ± 12.49   |   2494 ± 304.6    |      1.043 ± 0.1118       |     2.152 ± 0.1307      |
| Bin13  |   1590 ± 288.6    |  407.4 ± 11.75   |   1997 ± 288.8    |      0.8394 ± 0.1003      |      2.51 ± 0.1412      |
| Bin14  |   1144 ± 277.6    |  355.7 ± 11.01   |   1499 ± 277.8    |      1.067 ± 0.1131       |     2.597 ± 0.1436      |
| Bin15  |   1004 ± 252.6    |  258.1 ± 9.363   |   1262 ± 252.8    |      1.211 ± 0.1205       |     3.097 ± 0.1568      |
| Bin16  |    809 ± 228.3    |  231.1 ± 8.849   |   1040 ± 228.5    |      1.043 ± 0.1118       |     3.844 ± 0.1747      |
| Bin17  |   753.2 ± 214.3   |  169.6 ± 7.585   |   922.8 ± 214.4   |      1.223 ± 0.1211       |     4.646 ± 0.1921      |
| Bin18  |   669.5 ± 193.3   |  138.2 ± 6.832   |   807.7 ± 193.4   |      1.271 ± 0.1235       |     4.773 ± 0.1947      |
| Bin19  |    362.6 ± 165    |  109.1 ± 6.072   |   471.8 ± 165.1   |      1.187 ± 0.1193       |     5.615 ± 0.2112      |
| Bin20  |   -27.9 ± 139.5   |   59.8 ± 4.495   |   31.9 ± 139.6    |      1.199 ± 0.1199       |      5.25 ± 0.2042      |
| Bin21  |    83.69 ± 108    |  51.01 ± 4.151   |   134.7 ± 108.1   |      0.9953 ± 0.1092      |     5.631 ± 0.2115      |
| Bin22  |   195.3 ± 121.6   |  29.73 ± 3.169   |    225 ± 121.6    |      0.8394 ± 0.1003      |     5.131 ± 0.2019      |
| Bin23  |   111.6 ± 78.9    |  15.54 ± 2.291   |   127.1 ± 78.93   |     0.8274 ± 0.09961      |     4.154 ± 0.1816      |
| Bin24  |   111.6 ± 55.79   |  11.15 ± 1.999   |   122.7 ± 55.83   |     0.5156 ± 0.07863      |     3.113 ± 0.1572      |
| Bin25  |   55.79 ± 39.45   |   4.73 ± 1.264   |   60.52 ± 39.47   |     0.2998 ± 0.05996      |     1.922 ± 0.1235      |
| Bin26  |    27.9 ± 27.9    |   4.054 ± 1.17   |   31.95 ± 27.92   |     0.1559 ± 0.04323      |     1.017 ± 0.08985     |
| Bin27  |    27.9 ± 27.9    |  1.351 ± 0.6757  |   29.25 ± 27.9    |     0.04796 ± 0.02398     |    0.4527 ± 0.05996     |
| Bin28  |    27.9 ± 27.9    |      0 ± 0       |    27.9 ± 27.9    |     0.03597 ± 0.02077     |    0.1112 ± 0.02972     |
| Bin29  |       0 ± 0       | 0.3378 ± 0.3378  |  0.3378 ± 0.3378  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin30  |       0 ± 0       |      0 ± 0       |       0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin31  |       0 ± 0       |      0 ± 0       |       0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+-------------------+------------------+-------------------+---------------------------+-------------------------+
