+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |     ttbar      |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin0   |  4.664e+04 ± 1653  |  7985 ± 52.2   |  5.463e+04 ± 1654  |      18.44 ± 0.4703       |     28.34 ± 0.4745      |
| Bin1   |  3.763e+04 ± 1453  |  3365 ± 33.88  |   4.1e+04 ± 1453   |      8.826 ± 0.3253       |     20.95 ± 0.4079      |
| Bin2   |  2.943e+04 ± 1280  |  3981 ± 36.86  |  3.341e+04 ± 1281  |      5.624 ± 0.2597       |     13.99 ± 0.3333      |
| Bin3   | 1.439e+04 ± 914.2  |  2013 ± 26.17  | 1.641e+04 ± 914.6  |      1.955 ± 0.1531       |     6.234 ± 0.2225      |
| Bin4   |     9819 ± 738     |  1212 ± 20.32  | 1.103e+04 ± 738.3  |      1.535 ± 0.1357       |     4.392 ± 0.1868      |
| Bin5   |    8062 ± 666.6    | 905.8 ± 17.58  |    8968 ± 666.8    |      1.163 ± 0.1181       |      3.026 ± 0.155      |
| Bin6   |    4212 ± 535.9    | 738.2 ± 15.84  |    4950 ± 536.1    |     0.8274 ± 0.09961      |     2.263 ± 0.1341      |
| Bin7   |    4519 ± 517.4    | 609.8 ± 14.39  |    5129 ± 517.6    |      0.8754 ± 0.1025      |     1.771 ± 0.1186      |
| Bin8   |    3710 ± 495.1    | 553.7 ± 13.74  |    4264 ± 495.3    |     0.5036 ± 0.07771      |      1.469 ± 0.108      |
| Bin9   |    4463 ± 471.8    | 511.5 ± 13.19  |    4975 ± 471.9    |     0.4796 ± 0.07584      |     1.406 ± 0.1057      |
| Bin10  |    2817 ± 433.1    | 455.4 ± 12.45  |    3273 ± 433.2    |     0.5396 ± 0.08044      |     1.453 ± 0.1074      |
| Bin11  |    2957 ± 406.2    | 433.8 ± 12.12  |    3391 ± 406.3    |     0.5036 ± 0.07771      |     1.199 ± 0.09759     |
| Bin12  |    2985 ± 395.5    | 395.3 ± 11.59  |    3380 ± 395.7    |     0.5636 ± 0.08221      |     1.318 ± 0.1023      |
| Bin13  |    2260 ± 395.5    | 390.9 ± 11.51  |    2650 ± 395.7    |     0.4796 ± 0.07584      |     1.406 ± 0.1057      |
| Bin14  |    1869 ± 379.4    | 383.5 ± 11.41  |    2252 ± 379.6    |     0.5876 ± 0.08394      |     1.255 ± 0.09983     |
| Bin15  |    2148 ± 381.5    | 381.4 ± 11.38  |    2529 ± 381.6    |     0.5396 ± 0.08044      |     1.247 ± 0.09951     |
| Bin16  |    2232 ± 390.5    | 375.7 ± 11.29  |    2607 ± 390.7    |     0.5876 ± 0.08394      |     1.628 ± 0.1137      |
| Bin17  |    2594 ± 385.5    | 393.9 ± 11.56  |    2988 ± 385.7    |     0.5516 ± 0.08133      |      1.723 ± 0.117      |
| Bin18  |    2260 ± 377.4    |  402 ± 11.68   |    2662 ± 377.5    |     0.5036 ± 0.07771      |      1.843 ± 0.121      |
| Bin19  |    2148 ± 342.8    | 385.8 ± 11.45  |     2534 ± 343     |     0.7914 ± 0.09742      |     2.263 ± 0.1341      |
| Bin20  |     1785 ± 368     | 361.5 ± 11.09  |    2147 ± 368.1    |      0.9113 ± 0.1045      |     2.692 ± 0.1462      |
| Bin21  |    1478 ± 309.4    | 362.5 ± 11.12  |    1841 ± 309.6    |      1.151 ± 0.1175       |     3.852 ± 0.1749      |
| Bin22  |    1590 ± 338.2    | 339.5 ± 10.73  |    1930 ± 338.4    |      1.583 ± 0.1378       |      5.48 ± 0.2086      |
| Bin23  |    1925 ± 338.2    | 337.5 ± 10.73  |    2262 ± 338.4    |       2.77 ± 0.1823       |      7.64 ± 0.2463      |
| Bin24  |    1478 ± 291.2    |  323.7 ± 10.5  |    1802 ± 291.4    |      3.382 ± 0.2014       |      9.872 ± 0.28       |
| Bin25  |    1255 ± 291.2    | 294.6 ± 10.03  |    1550 ± 291.4    |      3.837 ± 0.2145       |     11.06 ± 0.2963      |
| Bin26  |   474.2 ± 271.9    |  264.5 ± 9.49  |   738.8 ± 272.1    |      3.214 ± 0.1963       |      10.37 ± 0.287      |
| Bin27  |    1004 ± 264.6    | 252.7 ± 9.252  |    1257 ± 264.8    |       2.854 ± 0.185       |     9.006 ± 0.2674      |
| Bin28  |   864.8 ± 238.3    | 222.3 ± 8.692  |    1087 ± 238.5    |      1.799 ± 0.1469       |     6.965 ± 0.2352      |
| Bin29  |   920.6 ± 206.9    | 195.9 ± 8.164  |     1117 ± 207     |       1.367 ± 0.128       |     4.765 ± 0.1945      |
| Bin30  |   781.1 ± 233.4    | 181.4 ± 7.843  |   962.5 ± 233.5    |     0.8034 ± 0.09815      |     4.027 ± 0.1788      |
| Bin31  |    6472 ± 627.5    |  1607 ± 23.36  |    8079 ± 627.9    |      9.197 ± 0.3321       |      45.2 ± 0.5991      |
+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
