+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |     ttbar      |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin0   |  2.282e+04 ± 1176  |  4347 ± 38.5   |  2.717e+04 ± 1177  |      4.545 ± 0.2334       |     7.958 ± 0.2514      |
| Bin1   |    6277 ± 635.5    |  1322 ± 21.2   |    7598 ± 635.9    |      3.058 ± 0.1915       |     11.52 ± 0.3024      |
| Bin2   | 1.135e+04 ± 818.5  |  1968 ± 25.87  | 1.332e+04 ± 818.9  |      2.374 ± 0.1687       |     8.133 ± 0.2541      |
| Bin3   | 1.261e+04 ± 825.6  |  1824 ± 24.91  |  1.443e+04 ± 826   |       2.05 ± 0.1568       |     7.045 ± 0.2365      |
| Bin4   | 1.172e+04 ± 784.1  |  1641 ± 23.62  | 1.336e+04 ± 784.4  |      2.194 ± 0.1622       |     6.211 ± 0.2221      |
| Bin5   |  1.13e+04 ± 773.6  |  1489 ± 22.52  | 1.279e+04 ± 773.9  |      1.919 ± 0.1517       |     5.702 ± 0.2128      |
| Bin6   |     9233 ± 747     |  1344 ± 21.4   | 1.058e+04 ± 747.3  |      1.643 ± 0.1404       |     5.639 ± 0.2116      |
| Bin7   |    7504 ± 708.5    |  1218 ± 20.38  |    8722 ± 708.8    |      1.931 ± 0.1522       |     4.908 ± 0.1974      |
| Bin8   |    8452 ± 695.2    |  1138 ± 19.68  |    9590 ± 695.4    |      1.739 ± 0.1444       |     4.956 ± 0.1984      |
| Bin9   |    7141 ± 651.8    |  1055 ± 18.96  |    8197 ± 652.1    |      1.655 ± 0.1409       |     4.741 ± 0.1941      |
| Bin10  |    7420 ± 654.2    | 966.2 ± 18.16  |    8386 ± 654.5    |      1.739 ± 0.1444       |     5.107 ± 0.2014      |
| Bin11  |    6667 ± 621.9    |  878.1 ± 17.3  |    7545 ± 622.1    |      1.679 ± 0.1419       |     4.575 ± 0.1906      |
| Bin12  |    7169 ± 616.9    |  847 ± 16.96   |    8016 ± 617.1    |      1.379 ± 0.1286       |     4.495 ± 0.1889      |
| Bin13  |    5746 ± 574.4    | 756.4 ± 16.04  |    6503 ± 574.6    |      1.799 ± 0.1469       |     5.051 ± 0.2003      |
| Bin14  |    6109 ± 573.7    |  728 ± 15.73   |    6837 ± 573.9    |      1.703 ± 0.1429       |     4.853 ± 0.1963      |
| Bin15  |    4463 ± 530.7    |  670.6 ± 15.1  |     5134 ± 531     |      1.787 ± 0.1464       |     4.773 ± 0.1947      |
| Bin16  |    3682 ± 524.9    | 629.4 ± 14.67  |    4312 ± 525.1    |      1.451 ± 0.1319       |     4.972 ± 0.1987      |
| Bin17  |    4407 ± 533.7    | 585.8 ± 14.15  |    4993 ± 533.9    |       1.367 ± 0.128       |     4.868 ± 0.1966      |
| Bin18  |    4240 ± 500.6    | 532.4 ± 13.44  |    4773 ± 500.7    |      1.643 ± 0.1404       |      4.837 ± 0.196      |
| Bin19  |    4435 ± 485.6    |  498 ± 13.04   |    4933 ± 485.8    |      1.607 ± 0.1388       |     4.948 ± 0.1982      |
| Bin20  |    3738 ± 460.1    |  427 ± 12.06   |    4165 ± 460.2    |      1.595 ± 0.1383       |      5.289 ± 0.205      |
| Bin21  |    2873 ± 436.6    | 406.1 ± 11.77  |    3279 ± 436.8    |      1.847 ± 0.1488       |     5.567 ± 0.2103      |
| Bin22  |    2957 ± 415.6    | 360.1 ± 11.06  |    3317 ± 415.8    |      1.607 ± 0.1388       |     5.615 ± 0.2112      |
| Bin23  |    2538 ± 416.6    |   357.8 ± 11   |    2896 ± 416.7    |      2.266 ± 0.1649       |     6.242 ± 0.2227      |
| Bin24  |    2399 ± 376.3    | 282.4 ± 9.826  |    2681 ± 376.5    |      1.955 ± 0.1531       |     6.584 ± 0.2287      |
| Bin25  |    2148 ± 397.5    | 260.1 ± 9.423  |    2408 ± 397.6    |      1.835 ± 0.1483       |      7.18 ± 0.2388      |
| Bin26  |    1674 ± 320.5    | 219.6 ± 8.627  |    1893 ± 320.6    |      2.422 ± 0.1704       |      7.315 ± 0.241      |
| Bin27  |    1144 ± 299.1    | 185.8 ± 7.923  |    1330 ± 299.3    |      2.398 ± 0.1696       |     8.593 ± 0.2612      |
| Bin28  |   976.3 ± 257.2    | 143.9 ± 6.973  |    1120 ± 257.3    |       3.106 ± 0.193       |     9.403 ± 0.2733      |
| Bin29  |   948.4 ± 226.6    | 92.91 ± 5.643  |    1041 ± 226.7    |      3.633 ± 0.2087       |     10.34 ± 0.2866      |
| Bin30  | 1.046e+04 ± 814.7  |  1664 ± 23.83  | 1.212e+04 ± 815.1  |      14.38 ± 0.4152       |      27.46 ± 0.467      |
| Bin31  | 1.258e+04 ± 802.2  |  1780 ± 24.65  | 1.436e+04 ± 802.6  |      2.446 ± 0.1713       |     5.226 ± 0.2037      |
+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
