>>> Hostname is uaf-10.t2.ucsd.edu
inputs : /home/users/joytzphysics//DYJETSbkg/output4.root

                                                                                                    
RooUtil:: Adding /home/users/joytzphysics//DYJETSbkg/output4.root

                                                                                                    
RooUtil:: Start EventLooping

                                                                                                    
RooUtil:: System info:
uaf-10.t2.ucsd.edu
Linux uaf-10.t2.ucsd.edu 5.14.13-1.el7.elrepo.x86_64 #1 SMP Fri Oct 15 13:26:13 EDT 2021 x86_64 x86_64 x86_64 GNU/Linux
Fri Jul 29 18:55:13 PDT 2022
joytzphysics
/home/users/joytzphysics/NanoLooper

                                                                                                    
RooUtil::  _

                                                                                                    
RooUtil:: /\\

                                                                                                    
RooUtil:: \ \\  \__/ \__/

                                                                                                    
RooUtil::  \ \\ (oo) (oo)  Here we come!

                                                                                                    
RooUtil::   \_\\/~~\_/~~\_

                                                                                                    
RooUtil::  _.-~===========~-._

                                                                                                    
RooUtil:: (___________________)

                                                                                                    
RooUtil::       \_______/

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil::  Your friendly aliens

                                                                                                    
RooUtil::      Surf & Turf

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil:: Total Events in this Chain to process = 96680

                                                                                                    
RooUtil:: TTreeCache enabled

                                                                                                    
RooUtil:: Looping /home/users/joytzphysics//DYJETSbkg/output4.root/TTree:Events
RooUtil:: \|....................| 0.4 % (433/96680) with  [199 Hz]   ETA 00:08:02         
RooUtil:: ||....................| 0.5 % (441/96680) with  [203 Hz]   ETA 00:07:53         
RooUtil:: /|....................| 0.5 % (452/96680) with  [208 Hz]   ETA 00:07:41         
RooUtil:: -|....................| 0.5 % (463/96680) with  [213 Hz]   ETA 00:07:30         
RooUtil:: \|....................| 0.5 % (474/96680) with  [218 Hz]   ETA 00:07:20         
RooUtil:: ||....................| 0.5 % (485/96680) with  [223 Hz]   ETA 00:07:10         
RooUtil:: /|....................| 0.5 % (496/96680) with  [228 Hz]   ETA 00:07:00         
RooUtil:: -|....................| 0.5 % (507/96680) with  [233 Hz]   ETA 00:06:51         
RooUtil:: \|....................| 0.5 % (518/96680) with  [238 Hz]   ETA 00:06:42         
RooUtil:: ||....................| 0.5 % (529/96680) with  [243 Hz]   ETA 00:06:34         
RooUtil:: /|....................| 0.6 % (540/96680) with  [248 Hz]   ETA 00:06:26         
RooUtil:: -|....................| 0.6 % (551/96680) with  [253 Hz]   ETA 00:06:18         
RooUtil:: \|....................| 0.6 % (562/96680) with  [258 Hz]   ETA 00:06:11         
RooUtil:: ||....................| 0.6 % (573/96680) with  [263 Hz]   ETA 00:06:04         
RooUtil:: /|....................| 0.6 % (584/96680) with  [268 Hz]   ETA 00:05:57         
RooUtil:: -|....................| 0.6 % (595/96680) with  [273 Hz]   ETA 00:05:50         
RooUtil:: \|....................| 0.6 % (606/96680) with  [279 Hz]   ETA 00:05:44         
RooUtil:: ||....................| 0.6 % (617/96680) with  [284 Hz]   ETA 00:05:38         
RooUtil:: /|....................| 0.6 % (628/96680) with  [289 Hz]   ETA 00:05:32         
RooUtil:: -|....................| 0.7 % (639/96680) with  [294 Hz]   ETA 00:05:26         
RooUtil:: \|....................| 0.7 % (650/96680) with  [299 Hz]   ETA 00:05:20         
RooUtil:: ||....................| 0.7 % (661/96680) with  [304 Hz]   ETA 00:05:15         
RooUtil:: /|....................| 0.7 % (672/96680) with  [309 Hz]   ETA 00:05:10         
RooUtil:: -|....................| 0.7 % (683/96680) with  [314 Hz]   ETA 00:05:05         
RooUtil:: \|....................| 0.7 % (694/96680) with  [319 Hz]   ETA 00:05:00         
RooUtil:: ||....................| 0.7 % (705/96680) with  [324 Hz]   ETA 00:04:55         
RooUtil:: /|....................| 0.7 % (716/96680) with  [329 Hz]   ETA 00:04:51         
RooUtil:: -|....................| 0.8 % (727/96680) with  [334 Hz]   ETA 00:04:46         
RooUtil:: \|....................| 0.8 % (738/96680) with  [339 Hz]   ETA 00:04:42         
RooUtil:: ||....................| 0.8 % (749/96680) with  [344 Hz]   ETA 00:04:38         
RooUtil:: /|....................| 0.8 % (760/96680) with  [349 Hz]   ETA 00:04:34         
RooUtil:: -|....................| 0.8 % (771/96680) with  [354 Hz]   ETA 00:04:30         
RooUtil:: \|....................| 0.8 % (782/96680) with  [359 Hz]   ETA 00:04:26         
RooUtil:: ||....................| 0.8 % (793/96680) with  [364 Hz]   ETA 00:04:23         
RooUtil:: /|....................| 0.8 % (804/96680) with  [369 Hz]   ETA 00:04:19         
RooUtil:: -|....................| 0.8 % (815/96680) with  [374 Hz]   ETA 00:04:15         
RooUtil:: \|....................| 0.9 % (826/96680) with  [379 Hz]   ETA 00:04:12         
RooUtil:: ||....................| 0.9 % (837/96680) with  [384 Hz]   ETA 00:04:09         
RooUtil:: /|....................| 0.9 % (848/96680) with  [389 Hz]   ETA 00:04:05         
RooUtil:: -|....................| 0.9 % (859/96680) with  [394 Hz]   ETA 00:04:02         
RooUtil:: \|....................| 0.9 % (870/96680) with  [399 Hz]   ETA 00:03:59         
RooUtil:: ||....................| 0.9 % (881/96680) with  [404 Hz]   ETA 00:03:56         
RooUtil:: /|....................| 0.9 % (892/96680) with  [409 Hz]   ETA 00:03:53         
RooUtil:: -|....................| 0.9 % (903/96680) with  [414 Hz]   ETA 00:03:50         
RooUtil:: \|....................| 0.9 % (914/96680) with  [419 Hz]   ETA 00:03:48         
RooUtil:: ||....................| 1.0 % (925/96680) with  [424 Hz]   ETA 00:03:45         
RooUtil:: /|....................| 1.0 % (936/96680) with  [429 Hz]   ETA 00:03:42         
RooUtil:: -|....................| 1.0 % (947/96680) with  [434 Hz]   ETA 00:03:40         
RooUtil:: \|....................| 1.0 % (958/96680) with  [439 Hz]   ETA 00:03:37         
RooUtil:: ||....................| 1.0 % (969/96680) with  [444 Hz]   ETA 00:03:35         
RooUtil:: /|....................| 1.0 % (980/96680) with  [449 Hz]   ETA 00:03:32         
RooUtil:: -|....................| 1.0 % (991/96680) with  [454 Hz]   ETA 00:03:30         
RooUtil:: \|....................| 1.0 % (1002/96680) with  [459 Hz]   ETA 00:03:28         
RooUtil:: ||....................| 1.0 % (1013/96680) with  [464 Hz]   ETA 00:03:25         
RooUtil:: /|....................| 1.1 % (1024/96680) with  [469 Hz]   ETA 00:03:23         
RooUtil:: -|....................| 1.1 % (1035/96680) with  [474 Hz]   ETA 00:03:21         
RooUtil:: \|....................| 1.1 % (1046/96680) with  [479 Hz]   ETA 00:03:19         
RooUtil:: ||....................| 1.1 % (1057/96680) with  [484 Hz]   ETA 00:03:17         
RooUtil:: /|....................| 1.1 % (1068/96680) with  [489 Hz]   ETA 00:03:15         
RooUtil:: -|....................| 1.1 % (1079/96680) with  [494 Hz]   ETA 00:03:13         
RooUtil:: \|....................| 1.1 % (1090/96680) with  [499 Hz]   ETA 00:03:11         
RooUtil:: ||....................| 1.1 % (1101/96680) with  [504 Hz]   ETA 00:03:09         
RooUtil:: /|....................| 1.1 % (1112/96680) with  [509 Hz]   ETA 00:03:07         
RooUtil:: -|....................| 1.2 % (1123/96680) with  [514 Hz]   ETA 00:03:05         
RooUtil:: \|....................| 1.2 % (1134/96680) with  [519 Hz]   ETA 00:03:03         
RooUtil:: ||....................| 1.2 % (1145/96680) with  [524 Hz]   ETA 00:03:02         
RooUtil:: /|....................| 1.2 % (1156/96680) with  [529 Hz]   ETA 00:03:00         
RooUtil:: -|....................| 1.2 % (1167/96680) with  [534 Hz]   ETA 00:02:58         
RooUtil:: \|....................| 1.2 % (1178/96680) with  [539 Hz]   ETA 00:02:56         
RooUtil:: ||....................| 1.2 % (1189/96680) with  [544 Hz]   ETA 00:02:55         
RooUtil:: /|....................| 1.2 % (1200/96680) with  [549 Hz]   ETA 00:02:53         
RooUtil:: -|....................| 1.3 % (1211/96680) with  [554 Hz]   ETA 00:02:52         
RooUtil:: \|....................| 1.3 % (1222/96680) with  [559 Hz]   ETA 00:02:50         
RooUtil:: ||....................| 1.3 % (1233/96680) with  [564 Hz]   ETA 00:02:49         
RooUtil:: /|....................| 1.3 % (1244/96680) with  [569 Hz]   ETA 00:02:47         
RooUtil:: -|....................| 1.3 % (1255/96680) with  [574 Hz]   ETA 00:02:46         
RooUtil:: \|....................| 1.3 % (1266/96680) with  [579 Hz]   ETA 00:02:44         
RooUtil:: ||....................| 1.3 % (1277/96680) with  [584 Hz]   ETA 00:02:43         
RooUtil:: /|....................| 1.3 % (1288/96680) with  [589 Hz]   ETA 00:02:41         
RooUtil:: -|....................| 1.3 % (1299/96680) with  [594 Hz]   ETA 00:02:40         
RooUtil:: \|....................| 1.4 % (1310/96680) with  [599 Hz]   ETA 00:02:39         
RooUtil:: ||....................| 1.4 % (1321/96680) with  [604 Hz]   ETA 00:02:37         
RooUtil:: /|....................| 1.4 % (1332/96680) with  [609 Hz]   ETA 00:02:36         
RooUtil:: -|....................| 1.4 % (1343/96680) with  [614 Hz]   ETA 00:02:35         
RooUtil:: \|....................| 1.4 % (1354/96680) with  [619 Hz]   ETA 00:02:33         
RooUtil:: ||....................| 1.4 % (1365/96680) with  [624 Hz]   ETA 00:02:32         
RooUtil:: /|....................| 1.4 % (1376/96680) with  [629 Hz]   ETA 00:02:31         
RooUtil:: -|....................| 1.4 % (1387/96680) with  [634 Hz]   ETA 00:02:30         
RooUtil:: \|....................| 1.4 % (1398/96680) with  [639 Hz]   ETA 00:02:29         
RooUtil:: ||....................| 1.5 % (1409/96680) with  [632 Hz]   ETA 00:02:30         
RooUtil:: /|....................| 1.6 % (1525/96680) with  [674 Hz]   ETA 00:02:21         
RooUtil:: -|....................| 1.7 % (1621/96680) with  [715 Hz]   ETA 00:02:12         
RooUtil:: \|....................| 1.8 % (1729/96680) with  [762 Hz]   ETA 00:02:04         
RooUtil:: ||....................| 1.9 % (1837/96680) with  [809 Hz]   ETA 00:01:57         
RooUtil:: /|....................| 2.0 % (1945/96680) with  [856 Hz]   ETA 00:01:50         
RooUtil:: -|....................| 2.1 % (2065/96680) with  [908 Hz]   ETA 00:01:44         
RooUtil:: \|....................| 2.3 % (2185/96680) with  [959 Hz]   ETA 00:01:38         
RooUtil:: ||....................| 2.4 % (2305/96680) with  [983 Hz]   ETA 00:01:35         
RooUtil:: /|....................| 2.4 % (2365/96680) with  [988 Hz]   ETA 00:01:35         
RooUtil:: -|....................| 2.5 % (2377/96680) with  [993 Hz]   ETA 00:01:34         
RooUtil:: \|....................| 2.5 % (2389/96680) with  [998 Hz]   ETA 00:01:34         
RooUtil:: ||....................| 2.5 % (2401/96680) with  [1003 Hz]   ETA 00:01:33         
RooUtil:: /|....................| 2.5 % (2413/96680) with  [1007 Hz]   ETA 00:01:33         
RooUtil:: -|....................| 2.5 % (2425/96680) with  [1012 Hz]   ETA 00:01:33         
RooUtil:: \|....................| 2.5 % (2437/96680) with  [1017 Hz]   ETA 00:01:32         
RooUtil:: ||....................| 2.5 % (2449/96680) with  [1022 Hz]   ETA 00:01:32         
RooUtil:: /|....................| 2.5 % (2461/96680) with  [1027 Hz]   ETA 00:01:31         
RooUtil:: -|....................| 2.6 % (2473/96680) with  [1032 Hz]   ETA 00:01:31         
RooUtil:: \|....................| 2.6 % (2485/96680) with  [1037 Hz]   ETA 00:01:30         
RooUtil:: ||....................| 2.6 % (2497/96680) with  [1042 Hz]   ETA 00:01:30         
RooUtil:: /|....................| 2.6 % (2509/96680) with  [1047 Hz]   ETA 00:01:29         
RooUtil:: -|....................| 2.6 % (2521/96680) with  [1052 Hz]   ETA 00:01:29         
RooUtil:: \|....................| 2.6 % (2533/96680) with  [1056 Hz]   ETA 00:01:29         
RooUtil:: ||....................| 2.6 % (2545/96680) with  [1061 Hz]   ETA 00:01:28         
RooUtil:: /|....................| 2.6 % (2557/96680) with  [1066 Hz]   ETA 00:01:28         
RooUtil:: -|....................| 2.7 % (2569/96680) with  [1071 Hz]   ETA 00:01:27         
RooUtil:: \|....................| 2.7 % (2581/96680) with  [1076 Hz]   ETA 00:01:27         
RooUtil:: ||....................| 2.7 % (2593/96680) with  [1081 Hz]   ETA 00:01:27         
RooUtil:: /|....................| 2.7 % (2605/96680) with  [1086 Hz]   ETA 00:01:26         
RooUtil:: -|....................| 2.7 % (2617/96680) with  [1091 Hz]   ETA 00:01:26         
RooUtil:: \|....................| 2.7 % (2629/96680) with  [1095 Hz]   ETA 00:01:25         
RooUtil:: ||....................| 2.7 % (2641/96680) with  [1100 Hz]   ETA 00:01:25         
RooUtil:: /|....................| 2.7 % (2653/96680) with  [1105 Hz]   ETA 00:01:25         
RooUtil:: -|....................| 2.8 % (2665/96680) with  [1110 Hz]   ETA 00:01:24         
RooUtil:: \|....................| 2.8 % (2677/96680) with  [1115 Hz]   ETA 00:01:24         
RooUtil:: ||....................| 2.8 % (2689/96680) with  [1120 Hz]   ETA 00:01:23         
RooUtil:: /|....................| 2.8 % (2701/96680) with  [1125 Hz]   ETA 00:01:23         
RooUtil:: -|....................| 2.8 % (2713/96680) with  [1130 Hz]   ETA 00:01:23         
RooUtil:: \|....................| 2.8 % (2725/96680) with  [1134 Hz]   ETA 00:01:22         
RooUtil:: ||....................| 3.1 % (2952/96680) with  [1226 Hz]   ETA 00:01:16         
RooUtil:: /|....................| 3.1 % (2953/96680) with  [1227 Hz]   ETA 00:01:16         
RooUtil:: -|....................| 3.3 % (3199/96680) with  [1326 Hz]   ETA 00:01:10         
RooUtil:: \|....................| 3.6 % (3459/96680) with  [1417 Hz]   ETA 00:01:05         
RooUtil:: ||....................| 3.8 % (3693/96680) with  [1509 Hz]   ETA 00:01:01         
RooUtil:: /|....................| 4.1 % (3927/96680) with  [1563 Hz]   ETA 00:00:59         
RooUtil:: -|....................| 4.2 % (4070/96680) with  [1618 Hz]   ETA 00:00:57         
RooUtil:: \|....................| 4.4 % (4213/96680) with  [1673 Hz]   ETA 00:00:55         
RooUtil:: ||....................| 4.5 % (4356/96680) with  [1728 Hz]   ETA 00:00:53         
RooUtil:: /|....................| 4.7 % (4499/96680) with  [1782 Hz]   ETA 00:00:51         
RooUtil:: -|....................| 4.8 % (4642/96680) with  [1751 Hz]   ETA 00:00:52         
RooUtil:: \|=...................| 5.1 % (4915/96680) with  [1849 Hz]   ETA 00:00:49         
RooUtil:: ||=...................| 5.4 % (5181/96680) with  [1946 Hz]   ETA 00:00:47         
RooUtil:: /|=...................| 5.6 % (5461/96680) with  [2046 Hz]   ETA 00:00:44         
RooUtil:: -|=...................| 5.9 % (5741/96680) with  [2147 Hz]   ETA 00:00:42         
RooUtil:: \|=...................| 6.2 % (6021/96680) with  [2219 Hz]   ETA 00:00:40         
RooUtil:: ||=...................| 6.4 % (6217/96680) with  [2288 Hz]   ETA 00:00:39         
RooUtil:: /|=...................| 6.6 % (6413/96680) with  [2356 Hz]   ETA 00:00:38         
RooUtil:: -|=...................| 6.8 % (6609/96680) with  [2333 Hz]   ETA 00:00:38         
RooUtil:: \|=...................| 7.2 % (7006/96680) with  [2466 Hz]   ETA 00:00:36         
RooUtil:: ||=...................| 7.7 % (7411/96680) with  [2601 Hz]   ETA 00:00:34         
RooUtil:: /|=...................| 8.1 % (7816/96680) with  [2722 Hz]   ETA 00:00:32         
RooUtil:: -|=...................| 8.5 % (8176/96680) with  [2767 Hz]   ETA 00:00:31         
RooUtil:: \|=...................| 8.6 % (8311/96680) with  [2810 Hz]   ETA 00:00:31         
RooUtil:: ||=...................| 8.7 % (8446/96680) with  [2853 Hz]   ETA 00:00:30         
RooUtil:: /|=...................| 8.9 % (8566/96680) with  [2891 Hz]   ETA 00:00:30         
RooUtil:: -|=...................| 9.0 % (8686/96680) with  [2930 Hz]   ETA 00:00:30         
RooUtil:: \|=...................| 9.1 % (8806/96680) with  [2844 Hz]   ETA 00:00:30         
RooUtil:: ||=...................| 9.4 % (9105/96680) with  [2934 Hz]   ETA 00:00:29         
RooUtil:: /|=...................| 9.7 % (9393/96680) with  [3021 Hz]   ETA 00:00:28         
RooUtil:: -|==..................| 10.0 % (9681/96680) with  [3108 Hz]   ETA 00:00:27         
RooUtil:: \|==..................| 10.3 % (9953/96680) with  [3151 Hz]   ETA 00:00:27         
RooUtil:: ||==..................| 10.4 % (10097/96680) with  [3193 Hz]   ETA 00:00:27         
RooUtil:: /|==..................| 10.6 % (10225/96680) with  [3231 Hz]   ETA 00:00:26         
RooUtil:: -|==..................| 10.7 % (10353/96680) with  [3269 Hz]   ETA 00:00:26         
RooUtil:: \|==..................| 10.8 % (10465/96680) with  [3298 Hz]   ETA 00:00:26         
RooUtil:: ||==..................| 10.9 % (10561/96680) with  [3327 Hz]   ETA 00:00:25         
RooUtil:: /|==..................| 11.0 % (10657/96680) with  [3356 Hz]   ETA 00:00:25         
RooUtil:: -|==..................| 11.1 % (10753/96680) with  [3385 Hz]   ETA 00:00:25         
RooUtil:: \|==..................| 11.2 % (10849/96680) with  [3340 Hz]   ETA 00:00:25         
RooUtil:: ||==..................| 11.8 % (11374/96680) with  [3494 Hz]   ETA 00:00:24         
RooUtil:: /|==..................| 12.3 % (11884/96680) with  [3643 Hz]   ETA 00:00:23         
RooUtil:: -|==..................| 12.8 % (12394/96680) with  [3762 Hz]   ETA 00:00:22         
RooUtil:: \|==..................| 13.2 % (12802/96680) with  [3804 Hz]   ETA 00:00:22         
RooUtil:: ||==..................| 13.4 % (12938/96680) with  [3843 Hz]   ETA 00:00:21         
RooUtil:: /|==..................| 13.5 % (13074/96680) with  [3881 Hz]   ETA 00:00:21         
RooUtil:: -|==..................| 13.7 % (13210/96680) with  [3919 Hz]   ETA 00:00:21         
RooUtil:: \|==..................| 13.8 % (13329/96680) with  [3953 Hz]   ETA 00:00:21         
RooUtil:: ||==..................| 13.9 % (13448/96680) with  [3986 Hz]   ETA 00:00:20         
RooUtil:: /|==..................| 14.0 % (13567/96680) with  [4019 Hz]   ETA 00:00:20         
RooUtil:: -|==..................| 14.1 % (13669/96680) with  [3985 Hz]   ETA 00:00:20         
RooUtil:: \|==..................| 14.9 % (14365/96680) with  [4176 Hz]   ETA 00:00:19         
RooUtil:: ||===.................| 15.6 % (15049/96680) with  [4247 Hz]   ETA 00:00:19         
RooUtil:: /|===.................| 15.8 % (15301/96680) with  [4314 Hz]   ETA 00:00:18         
RooUtil:: -|===.................| 16.1 % (15535/96680) with  [4376 Hz]   ETA 00:00:18         
RooUtil:: \|===.................| 16.3 % (15769/96680) with  [4438 Hz]   ETA 00:00:18         
RooUtil:: ||===.................| 16.5 % (15985/96680) with  [4466 Hz]   ETA 00:00:18         
RooUtil:: /|===.................| 16.6 % (16093/96680) with  [4494 Hz]   ETA 00:00:17         
RooUtil:: -|===.................| 16.7 % (16183/96680) with  [4517 Hz]   ETA 00:00:17         
RooUtil:: \|===.................| 16.8 % (16273/96680) with  [4541 Hz]   ETA 00:00:17         
RooUtil:: ||===.................| 16.9 % (16363/96680) with  [4565 Hz]   ETA 00:00:17         
RooUtil:: /|===.................| 17.0 % (16453/96680) with  [4588 Hz]   ETA 00:00:17         
RooUtil:: -|===.................| 17.1 % (16525/96680) with  [4607 Hz]   ETA 00:00:17         
RooUtil:: \|===.................| 17.2 % (16597/96680) with  [4626 Hz]   ETA 00:00:17         
RooUtil:: ||===.................| 17.2 % (16669/96680) with  [4645 Hz]   ETA 00:00:17         
RooUtil:: /|===.................| 17.3 % (16741/96680) with  [4581 Hz]   ETA 00:00:17         
RooUtil:: -|===.................| 18.0 % (17424/96680) with  [4756 Hz]   ETA 00:00:16         
RooUtil:: \|===.................| 18.7 % (18089/96680) with  [4843 Hz]   ETA 00:00:16         
RooUtil:: ||===.................| 19.0 % (18412/96680) with  [4923 Hz]   ETA 00:00:15         
RooUtil:: /|===.................| 19.4 % (18716/96680) with  [4999 Hz]   ETA 00:00:15         
RooUtil:: -|===.................| 19.7 % (19001/96680) with  [5069 Hz]   ETA 00:00:15         
RooUtil:: \|===.................| 19.9 % (19267/96680) with  [5023 Hz]   ETA 00:00:15         
RooUtil:: ||====................| 20.8 % (20101/96680) with  [5225 Hz]   ETA 00:00:14         
RooUtil:: /|====................| 21.6 % (20921/96680) with  [5386 Hz]   ETA 00:00:14         
RooUtil:: -|====................| 22.3 % (21561/96680) with  [5455 Hz]   ETA 00:00:13         
RooUtil:: \|====................| 22.6 % (21841/96680) with  [5520 Hz]   ETA 00:00:13         
RooUtil:: ||====................| 22.9 % (22101/96680) with  [5581 Hz]   ETA 00:00:13         
RooUtil:: /|====................| 23.1 % (22341/96680) with  [5523 Hz]   ETA 00:00:13         
