index     maxhbbscore         N3B1      
1         0.0004547           -1        
1         0.001753            -1        
1         0.001017            -1        
1         0.003012            1.4       
1         0.001007            -1        
1         0.3005              -1        
1         0.001153            -1        
1         0.002331            -1        
1         0.001004            1.471     
1         0.001103            -1        
1         0.002562            -1        
1         0.002996            1.771     
1         0.007175            -1        
1         0.001271            -1        
1         0.001674            -1        
1         0.002275            -1        
1         0.0004604           2.652     
1         0.001056            -1        
1         0.03081             1.804     
1         0.003813            -1        
1         0.002653            -1        
1         0.04169             -1        
1         0.002205            -1        
1         0.002768            -1        
1         0.09668             -1        
1         0.001141            -1        
1         0.07214             -1        
1         0.0004163           -1        
1         0.001864            -1        
1         0.0001911           1.268     
1         0.0006742           -1        
1         0.01764             1.4       
1         0.005768            1.525     
1         7.015e-05           1.58      
1         0.00247             1.953     
1         0.0001068           2.277     
1         0.004402            -1        
1         0.00222             -1        
1         0.04877             1.443     
1         0.0005541           -1        
1         0.001048            -1        
1         0.002174            -1        
1         0.009697            -1        
1         0.00219             -1        
1         0.001067            1.574     
1         0.002811            -1        
1         0.003014            -1        
1         0.1633              2.074     
1         0.0003207           -1        
1         0.04733             1.415     
1         0.6323              1.356     
1         7.147e-05           1.97      
1         0.02954             1.853     
1         0.017               -1        
1         0.000267            1.53      
1         0.001598            -1        
1         0.9331              1.538     
1         0.002701            1.513     
1         0.003746            -1        
1         0.003855            -1        
1         0.001465            2.318     
1         0.0002366           1.587     
1         0.1304              -1        
1         0.001256            -1        
1         0.002907            2.07      
1         0.002707            1.944     
1         0.04767             -1        
1         0.0009604           1.503     
1         0.0004592           1.635     
1         0.0005555           2.088     
1         0.003813            -1        
1         0.002359            -1        
1         0.002529            -1        
1         0.0003221           -1        
1         0.0004234           -1        
1         0.003595            2.02      
1         0.8506              1.923     
1         0.000119            2.906     
1         0.09406             2.094     
1         0.0008664           -1        
1         0.009048            1.483     
1         0.1102              -1        
1         0.0009265           -1        
1         0.000814            -1        
1         0.0001496           -1        
1         0.003706            -1        
1         0.001469            -1        
1         0.003305            -1        
1         0.00351             -1        
1         0.001966            1.651     
1         0.008423            1.572     
1         0.000468            -1        
1         0.7432              1.91      
1         0.0002304           1.719     
1         0.001328            -1        
1         0.0008774           2.299     
1         0.005802            -1        
1         0.005386            -1        
1         0.4297              -1        
1         0.0002542           1.815     
1         0.008789            -1        
1         0.0005884           2.543     
1         0.00761             1.418     
1         0.6787              -1        
1         0.06805             -1        
1         0.002029            -1        
1         0.5762              -1        
1         0.0003245           2.137     
1         0.002886            1.483     
1         0.0006819           1.44      
1         0.2856              1.617     
1         0.0003159           -1        
1         0.0002396           -1        
1         0.001343            -1        
1         0.01292             1.457     
1         0.04947             1.874     
1         0.002316            -1        
1         0.00036             -1        
1         0.0006237           2.082     
1         0.001851            -1        
1         0.0003593           -1        
1         0.002174            -1        
1         0.03616             -1        
1         0.2617              1.528     
1         0.002909            -1        
1         0.002836            -1        
1         0.004498            -1        
1         0.2825              -1        
1         0.0006337           1.729     
1         0.01539             -1        
1         0.0006866           -1        
1         0.007587            -1        
1         0.01083             -1        
1         0.01175             1.796     
1         0.001758            -1        
1         0.0021              -1        
1         0.01154             -1        
1         0.0009704           1.44      
1         0.002058            -1        
1         0.004307            1.442     
1         0.0173              -1        
1         0.8242              1.757     
1         0.01912             -1        
1         0.001665            -1        
1         0.01025             -1        
1         0.007111            1.594     
1         0.003998            -1        
1         0.001488            -1        
1         0.0005589           -1        
1         0.0005932           -1        
1         0.004452            1.697     
1         0.0007524           1.758     
1         0.001323            2.131     
1         0.07532             -1        
1         0.0347              -1        
1         0.0006328           1.423     
1         0.0008054           1.75      
1         0.006443            1.681     
1         0.0008631           -1        
1         0.00111             -1        
1         0.01839             -1        
1         0.0004079           1.602     
1         0.0002356           -1        
1         0.0006895           -1        
1         0.0134              -1        
1         0.0005288           1.511     
1         0.0007024           1.431     
1         0.563               -1        
1         0.001704            1.747     
1         0.002876            1.491     
1         0.001142            2.352     
1         0.0005412           1.909     
1         0.024               -1        
1         0.01044             1.497     
1         0.1686              2.668     
1         0.04276             2.385     
1         0.008957            -1        
1         0.008087            1.465     
1         0.6685              -1        
1         0.008659            1.563     
1         0.998               1.484     
1         0.003719            1.409     
1         0.00248             -1        
1         0.0005703           -1        
1         0.188               1.457     
1         0.003094            -1        
1         0.002445            1.374     
1         0.01042             -1        
1         0.003098            -1        
1         0.001906            -1        
1         0.0005841           -1        
1         0.0009155           -1        
1         0.001191            1.454     
1         7.862e-05           1.385     
1         0.002787            -1        
1         0.0006967           1.566     
1         0.006527            -1        
1         0.0008211           -1        
1         0.003902            -1        
1         0.02364             -1        
1         0.2095              1.412     
1         0.004852            -1        
1         0.0008588           -1        
1         0.05777             -1        
1         0.003473            1.526     
1         0.001095            -1        
1         0.007389            1.563     
1         0.0005975           -1        
1         0.001283            1.456     
1         0.003578            1.32      
1         0.002445            -1        
1         0.003302            -1        
1         0.004158            -1        
1         0.004528            -1        
1         0.0004792           -1        
1         0.006786            1.251     
1         0.0006189           -1        
1         0.005817            1.473     
1         0.001447            -1        
1         0.0005021           1.412     
1         0.001055            1.33      
1         0.0007076           -1        
1         0.002569            -1        
1         0.0001698           -1        
1         0.002592            1.481     
1         0.001252            -1        
1         0.0009127           -1        
1         0.02078             1.578     
1         0.0003092           2.471     
1         0.09375             -1        
1         0.00142             1.968     
1         0.0004706           1.649     
1         0.02202             -1        
1         0.0004787           -1        
1         5.198e-05           1.552     
1         0.001204            -1        
1         0.001024            1.98      
1         0.0004461           1.302     
1         0.00141             -1        
1         0.001774            2.428     
1         0.0003965           1.515     
1         0.006939            -1        
1         0.003025            -1        
1         0.006084            -1        
1         0.001204            -1        
1         0.07526             2.109     
1         0.004543            1.378     
1         0.06824             -1        
1         0.0146              1.47      
1         0.005562            -1        
1         0.00626             -1        
1         0.03671             1.423     
1         0.004002            -1        
1         0.001329            -1        
1         0.007786            -1        
1         0.0006752           -1        
1         0.16                -1        
1         0.0004973           1.493     
1         0.02946             -1        
1         0.00518             -1        
1         0.0006347           -1        
1         0.9414              2.346     
1         0.003662            -1        
1         0.000294            -1        
1         0.0006523           -1        
1         0.0145              2.271     
1         0.1654              1.423     
1         0.0007405           -1        
1         0.0004303           1.618     
1         0.00597             2.045     
1         0.000344            -1        
1         0.02036             2.199     
1         0.0009341           -1        
1         0.001795            -1        
1         0.004856            -1        
1         0.2125              -1        
1         0.001               -1        
1         0.000156            2.426     
1         0.1298              -1        
1         0.02237             1.845     
1         0.04089             -1        
1         0.008171            -1        
1         0.04523             -1        
1         0.0001113           1.523     
1         0.01267             -1        
1         0.002523            1.535     
1         0.01414             -1        
1         0.003267            2.088     
1         0.001703            -1        
1         0.0002425           2.615     
1         0.01381             1.693     
1         0.001592            1.437     
1         0.1619              -1        
1         0.007683            -1        
1         0.0001302           2.773     
1         0.001178            -1        
1         0.001204            1.72      
1         0.0011              1.735     
1         0.004387            1.404     
1         0.07501             -1        
1         0.0918              1.463     
1         0.02278             1.487     
1         0.00152             1.48      
1         0.0001245           1.798     
1         0.0168              1.739     
1         0.001237            -1        
1         0.0007205           1.521     
1         0.003788            -1        
1         0.001963            -1        
1         0.01886             1.778     
1         0.748               1.388     
1         0.0006709           1.582     
1         0.0003345           2.607     
1         0.003815            1.708     
1         0.004009            -1        
1         0.003632            -1        
1         0.01913             -1        
1         0.001629            -1        
1         0.004219            1.623     
1         0.008492            1.697     
1         0.0002035           2.736     
1         0.004066            -1        
1         0.0004537           -1        
1         0.06317             -1        
1         0.0002091           -1        
1         0.003136            -1        
1         0.0008149           2.199     
1         0.001231            2.359     
1         0.003302            -1        
1         0.2786              -1        
1         0.004841            -1        
1         0.007225            1.57      
1         0.001382            1.353     
1         0.002731            -1        
1         0.008736            -1        
1         0.003836            1.398     
1         0.004021            -1        
1         0.00263             1.367     
1         0.01477             -1        
1         0.003139            1.539     
1         0.01407             1.786     
1         0.007286            -1        
1         0.7266              -1        
1         0.0007048           -1        
1         0.0002438           1.721     
1         0.003761            -1        
1         0.0372              -1        
1         0.0002937           -1        
1         0.005276            2.426     
