index     maxhbbscore         N3B1      
1         0.003971            1.465     
1         0.0003085           2.617     
1         0.9771              1.312     
1         0.05493             1.312     
1         0.02925             1.347     
1         0.08209             1.414     
1         0.0007157           1.408     
1         0.003838            1.335     
1         0.000412            -1        
1         0.001822            -1        
1         0.8115              1.47      
1         0.9951              1.492     
1         0.001101            1.745     
1         0.771               -1        
1         0.9976              1.909     
1         0.2354              2.055     
1         0.02415             1.542     
1         0.3896              1.618     
1         0.998               2.209     
1         0.9658              1.559     
1         0.9888              1.394     
1         0.02554             1.501     
1         0.006977            -1        
1         0.7207              -1        
1         0.0005074           -1        
1         0.0009089           -1        
1         0.0006852           1.495     
1         0.001978            2.182     
1         0.01543             1.757     
1         0.003418            1.45      
1         0.9775              1.254     
1         5.111e-05           2.732     
1         0.0004659           1.44      
1         0.0005393           1.584     
1         0.9585              1.306     
1         0.998               1.678     
1         0.01059             -1        
1         0.8789              1.495     
1         0.2311              2.842     
1         0.003134            1.616     
1         0.01718             1.454     
1         0.003862            1.582     
1         0.03275             1.59      
1         0.04022             1.535     
1         0.01524             -1        
1         0.1661              2.781     
1         0.9956              1.564     
1         0.008705            2.385     
1         0.0004282           1.639     
1         0.008163            1.771     
1         0.02217             3.865     
1         0.02724             1.775     
1         0.9985              1.538     
1         0.01665             -1        
1         0.4971              1.663     
1         0.6465              1.389     
1         0.02957             1.372     
1         0.9961              1.472     
1         0.05719             -1        
1         0.3586              -1        
1         0.0003469           2.148     
1         0.999               1.859     
1         0.1996              1.475     
1         0.006977            1.74      
1         0.9995              2.42      
1         0.004364            -1        
1         0.9873              1.53      
1         0.02826             1.591     
1         0.001563            -1        
1         0.1255              1.55      
1         0.002432            1.886     
1         0.06372             1.31      
1         0.0125              1.029     
1         0.0004411           -1        
1         0.5981              1.708     
1         0.9058              1.316     
1         0.2303              2.711     
1         0.9824              2.066     
1         0.1747              1.435     
1         0.001183            -1        
1         0.009422            1.63      
1         0.9609              1.769     
1         0.004391            1.328     
1         0.959               -1        
1         0.001742            1.859     
1         0.1062              1.716     
1         0.4893              1.75      
1         0.078               1.514     
1         0.999               1.722     
1         0.05026             1.977     
1         0.007439            -1        
1         0.0008144           1.477     
1         0.7583              1.769     
1         0.003592            -1        
1         0.9995              1.73      
1         0.01886             0.8809    
1         0.002644            1.441     
1         0.9907              2.059     
1         0.1306              -1        
1         0.06708             1.41      
1         0.001375            2.721     
1         0.999               1.519     
1         0.6675              1.29      
1         0.1141              1.439     
1         0.999               1.55      
1         0.00436             2.25      
1         0.9966              1.823     
1         0.998               -1        
1         0.043               1.394     
1         0.002365            -1        
1         0.002031            1.955     
1         0.04053             1.413     
1         0.09174             1.379     
1         0.08722             1.534     
1         0.3623              1.697     
1         0.001407            1.634     
1         0.9634              1.313     
1         0.999               1.303     
1         0.9941              1.539     
1         0.008995            1.708     
1         0.04306             1.973     
1         0.9946              1.687     
1         0.1715              -1        
1         0.8315              -1        
1         0.0001886           1.562     
1         0.0002341           2.482     
1         0.2162              1.372     
1         0.7979              1.613     
1         0.7383              1.501     
1         0.01086             2.955     
1         0.9985              2.854     
1         0.003277            2.092     
1         0.6045              1.497     
1         0.999               1.361     
1         0.5322              1.376     
1         0.02278             1.561     
1         0.9897              2.457     
1         0.9268              1.513     
1         0.01025             -1        
1         0.9966              1.295     
1         0.9995              1.593     
1         0.998               1.763     
1         0.024               1.553     
1         0.0849              1.595     
1         0.1892              1.283     
1         0.003754            1.84      
1         0.04208             -1        
1         0.3992              1.165     
1         0.02635             -1        
1         0.03876             1.574     
1         0.005814            1.307     
1         0.0009222           1.504     
1         0.001804            1.59      
1         0.998               1.622     
1         0.1637              1.665     
1         0.8398              1.379     
1         0.00423             1.58      
1         0.217               1.475     
1         0.04935             1.523     
1         3.463e-05           1.348     
1         0.4343              1.774     
1         0.9941              1.608     
1         0.7476              1.507     
1         0.28                1.555     
1         0.9995              1.276     
1         0.2244              2.277     
1         0.01168             1.841     
1         0.008293            -1        
1         0.002653            -1        
1         0.9312              -1        
1         0.05972             1.582     
1         0.7959              -1        
1         0.05099             -1        
1         0.0001091           1.574     
1         0.004429            1.866     
1         0.9946              1.324     
1         0.0006757           -1        
1         0.0004082           1.365     
1         0.1328              2.291     
1         0.03391             1.656     
1         0.9995              1.425     
1         0.6997              1.544     
1         0.008682            1.753     
1         0.4941              -1        
1         0.09888             -1        
1         0.002008            1.68      
1         0.009689            -1        
1         0.999               1.707     
1         0.03223             1.52      
1         0.999               -1        
1         0.8662              2.518     
1         0.9946              -1        
1         0.001269            1.505     
1         0.0005445           2.088     
1         0.002682            1.758     
1         0.998               2.113     
1         2.228e-05           -1        
1         0.09625             1.634     
1         0.313               1.37      
1         0.04483             2.006     
1         0.9976              -1        
1         0.001418            1.914     
1         0.999               2.172     
1         0.03574             1.61      
1         0.009888            -1        
1         0.08551             -1        
1         0.004318            1.472     
1         0.09729             1.146     
1         0.001575            2.455     
1         0.9995              1.48      
1         0.02544             2.186     
1         0.009193            1.564     
1         0.9941              1.697     
1         0.999               2.102     
1         0.0009255           1.698     
1         0.01891             -1        
1         0.9971              1.535     
1         0.0009518           -1        
1         0.08545             1.498     
1         0.9995              1.735     
1         0.01025             2.535     
1         0.000988            1.602     
1         0.01656             1.41      
1         0.00243             1.513     
1         0.02451             1.486     
1         0.998               2.006     
1         0.05276             1.515     
1         0.3442              1.597     
1         0.5176              1.734     
1         0.01616             1.433     
1         0.999               1.6       
1         0.2039              1.793     
1         0.00142             -1        
1         0.03183             -1        
1         0.03577             1.636     
1         0.3223              2.139     
1         0.001163            2.928     
1         0.0005326           1.4       
1         0.0005593           1.695     
1         0.1064              1.448     
1         0.9995              1.723     
1         0.01227             1.864     
1         0.1113              1.444     
1         0.07037             1.521     
1         0.998               1.819     
1         0.0002749           1.743     
1         0.1581              2.109     
1         0.03381             1.682     
1         0.1936              1.577     
1         0.8706              1.793     
1         0.1868              1.681     
1         0.9995              1.552     
1         0.001071            1.338     
1         0.3967              2.182     
1         0.1316              1.765     
1         0.0006175           1.148     
1         0.9595              1.486     
1         0.005371            0.835     
1         0.9702              -1        
