index     maxhbbscore         N3B1      
1         0.9995              1.631     
1         0.7129              -1        
1         0.006847            1.497     
1         0.003672            -1        
1         0.009857            1.583     
1         0.0001277           1.527     
1         0.003138            1.095     
1         0.0005765           -1        
1         0.000108            2.15      
1         0.0003932           1.729     
1         0.9995              1.546     
1         0.1185              1.67      
1         0.003365            1.682     
1         0.01706             1.716     
1         0.9995              1.52      
1         0.03137             1.569     
1         0.06683             1.619     
1         0.9766              -1        
1         0.006775            1.618     
1         0.998               1.495     
1         0.003246            -1        
1         0.998               1.748     
1         0.9995              1.493     
1         0.1071              2.287     
1         0.9858              -1        
1         0.9941              1.534     
1         0.02834             1.308     
1         0.4021              1.846     
1         0.03845             1.768     
1         0.1592              -1        
1         0.07428             1.362     
1         0.003363            -1        
1         0.4216              -1        
1         0.9902              1.646     
1         0.3308              1.877     
1         0.02927             -1        
1         0.07123             1.562     
1         0.3496              1.559     
1         0.9487              1.492     
1         0.751               -1        
1         0.9961              -1        
1         0.9976              3.23      
1         0.6567              1.427     
1         0.9038              1.64      
1         0.9976              1.685     
1         0.9985              2.322     
1         0.9326              1.33      
1         0.03348             1.6       
1         0.2778              1.354     
1         0.002003            1.729     
1         0.0009594           -1        
1         0.9917              2.584     
1         0.4819              1.668     
1         0.3765              1.683     
1         0.08667             1.425     
1         0.9849              -1        
1         0.9995              1.572     
1         0.2395              -1        
1         0.002052            1.45      
1         0.6685              1.567     
1         0.4475              1.948     
1         0.1555              1.836     
1         0.9741              -1        
1         0.8662              1.392     
1         0.4487              2.129     
1         0.05759             2.602     
1         5.516e-05           1.921     
1         0.9609              1.509     
1         0.006382            1.625     
1         0.4714              2.16      
1         0.0006671           3.197     
1         0.0004292           1.531     
1         0.4949              -1        
1         0.9937              1.438     
1         0.0007277           1.658     
1         0.004997            1.611     
1         0.003664            1.424     
1         0.09088             1.399     
1         0.8003              -1        
1         0.9775              1.532     
1         0.9956              1.812     
1         0.9956              1.552     
1         0.9971              1.169     
1         0.9883              1.552     
1         0.96                1.517     
1         0.02499             1.179     
1         0.04913             1.238     
1         0.7817              2.305     
1         0.06732             1.436     
1         0.2803              1.556     
1         0.001051            1.339     
1         0.9458              2.113     
1         0.04117             1.543     
1         0.998               1.597     
1         0.9961              1.759     
1         0.1337              1.275     
1         0.004581            2.047     
1         0.999               1.358     
1         0.3391              1.556     
1         0.9995              1.319     
1         0.1781              1.478     
1         0.01196             1.445     
