index     maxhbbscore         N3B1      
1         0.000586            -1        
1         0.001681            2.895     
1         0.003656            -1        
1         0.8979              -1        
1         0.0607              -1        
1         0.0002412           1.743     
1         0.01556             -1        
1         0.003584            -1        
1         0.001107            1.535     
1         0.004326            1.894     
1         0.01282             1.729     
1         0.007679            1.391     
1         0.004055            -1        
1         0.001751            1.698     
1         0.001121            -1        
1         0.1582              1.839     
1         0.5229              2.303     
1         0.02499             -1        
1         0.001754            -1        
1         0.004509            -1        
1         0.5039              -1        
1         0.0009813           2.316     
1         0.003294            -1        
1         0.0154              -1        
1         0.000473            -1        
1         0.00914             -1        
1         0.0004945           2.717     
1         0.000228            -1        
1         0.000488            1.447     
1         0.01228             -1        
1         0.5972              -1        
1         0.009201            -1        
1         0.01779             -1        
1         0.02518             -1        
1         0.001564            -1        
1         0.001313            -1        
1         0.0002997           -1        
1         0.04645             -1        
1         0.0004907           -1        
1         0.005573            -1        
1         0.002028            1.52      
1         6.282e-05           -1        
1         0.000823            1.934     
1         0.008018            -1        
1         0.00223             1.416     
1         0.03464             -1        
1         0.001152            -1        
1         0.006111            -1        
1         0.006523            -1        
1         0.004356            1.663     
1         0.2095              1.529     
1         0.002171            -1        
1         0.0003135           1.594     
1         0.0005412           1.807     
1         0.001763            1.554     
1         0.002024            -1        
1         0.1021              1.343     
1         0.001909            -1        
1         0.002628            -1        
1         0.005718            -1        
1         0.0002302           1.73      
1         0.01854             -1        
1         0.0003181           1.396     
1         0.002823            1.572     
1         0.03069             1.427     
1         0.004787            -1        
1         0.003277            -1        
1         0.005463            -1        
1         0.0009031           1.472     
1         0.6089              -1        
1         0.0004394           1.379     
1         0.005554            1.603     
1         0.001043            1.621     
1         0.001526            1.815     
1         0.00798             -1        
1         0.02173             1.402     
1         0.0006337           -1        
1         0.003002            1.313     
1         0.004173            -1        
1         0.0002844           2.311     
1         0.001794            -1        
1         0.2817              -1        
1         0.008965            1.372     
1         0.02118             1.557     
1         0.000803            -1        
1         0.0002277           1.107     
1         0.004139            1.894     
1         0.0005841           1.462     
1         0.003796            -1        
1         0.01678             1.812     
1         0.00465             1.92      
1         0.02216             1.8       
1         0.001039            -1        
1         0.0002036           1.841     
1         0.05823             -1        
1         0.0002207           1.473     
1         0.02692             1.905     
1         0.0008216           3.215     
1         0.001657            -1        
1         0.01682             1.69      
1         0.01524             -1        
1         0.000659            1.456     
1         0.01182             1.523     
1         0.01532             -1        
1         0.001284            1.5       
1         0.0173              -1        
1         0.0008354           -1        
1         0.0002061           1.462     
1         8.631e-05           1.532     
1         0.0001761           3.086     
1         0.001392            1.621     
1         0.01462             -1        
1         0.00473             1.641     
1         0.0005336           -1        
1         0.3308              -1        
1         0.02875             1.547     
1         0.006279            -1        
1         0.0002007           1.9       
1         0.01015             -1        
1         0.002871            1.666     
1         0.0006323           1.438     
1         0.1129              1.64      
1         0.03824             1.918     
1         0.0002508           1.535     
1         0.008415            -1        
1         0.1431              1.928     
1         0.03351             1.583     
1         0.0001534           -1        
1         0.008057            -1        
1         0.004982            -1        
1         0.08893             2.787     
1         0.166               2.221     
1         0.000457            1.531     
1         0.000845            -1        
1         0.0001597           2.043     
1         0.002653            1.475     
1         0.001296            1.603     
1         0.002235            -1        
1         0.03589             1.554     
1         0.0008678           -1        
1         0.0002055           1.479     
1         0.005676            1.635     
1         0.09229             1.804     
1         0.04471             2.389     
1         0.01432             -1        
1         0.4773              1.309     
1         0.05527             -1        
1         0.05475             -1        
1         0.00634             1.518     
1         0.0003893           -1        
1         0.001659            -1        
1         6.312e-05           1.861     
1         0.0001434           1.436     
1         0.01996             1.527     
1         0.02744             1.391     
1         0.0003178           -1        
1         0.002714            1.408     
1         0.006859            -1        
1         0.000313            -1        
1         0.00175             1.667     
1         0.007607            1.529     
1         0.0005126           1.743     
1         0.006329            -1        
1         8.279e-05           1.413     
1         0.0002173           1.412     
1         0.0003572           2.135     
1         0.0005765           -1        
1         0.0006728           1.431     
1         9.221e-05           1.954     
1         0.0004151           2.791     
1         0.006828            1.445     
1         0.04819             1.482     
1         0.04703             -1        
1         0.0003695           1.69      
1         0.01122             -1        
1         0.043               -1        
1         0.03378             1.748     
1         0.0003693           1.571     
1         0.03357             1.736     
1         0.003174            -1        
1         0.0002618           -1        
1         0.0007734           -1        
1         0.0008297           -1        
1         0.01487             1.979     
1         0.002104            -1        
1         0.004192            1.436     
1         0.002859            2.816     
1         0.01007             -1        
1         0.005535            -1        
1         0.06204             -1        
1         0.005299            1.625     
1         0.01093             1.498     
1         0.0009298           -1        
1         0.004726            1.552     
1         0.05206             2.494     
1         0.001938            1.54      
1         8.863e-05           1.741     
1         0.01147             -1        
1         0.02937             -1        
1         0.03693             1.34      
1         0.00211             1.441     
1         0.001966            1.239     
1         0.001647            1.42      
1         0.003057            1.954     
1         0.0002433           1.81      
1         0.0161              -1        
1         0.00345             -1        
1         5.665e-05           1.649     
1         0.002098            1.393     
1         0.001769            1.631     
1         0.01711             1.688     
1         0.0007391           1.705     
1         0.001172            -1        
1         0.002466            1.758     
1         0.08594             -1        
1         0.01389             -1        
1         0.001732            -1        
1         0.005302            1.616     
1         0.1438              -1        
1         0.0005317           2.469     
1         0.7617              1.369     
1         0.0004656           1.872     
1         0.00189             1.594     
1         0.0005393           -1        
1         0.001554            -1        
1         0.003454            -1        
1         0.06903             2.105     
1         0.0001591           1.51      
1         0.2284              2.186     
1         0.01398             -1        
1         0.005421            1.304     
1         0.00141             -1        
1         0.002783            -1        
1         0.002689            1.372     
1         0.0003841           1.777     
1         0.005104            1.452     
1         5.6e-05             -1        
1         0.002771            1.863     
1         0.001249            1.443     
1         0.001085            2.191     
1         0.0008178           -1        
1         0.0001405           1.842     
1         0.02231             -1        
1         0.001502            1.837     
1         0.001024            -1        
1         0.004856            1.557     
1         0.00371             -1        
1         0.000628            -1        
1         0.9937              1.825     
1         0.05298             -1        
1         0.01259             -1        
1         0.0001395           1.827     
1         0.00219             -1        
1         0.003571            1.742     
1         0.009743            1.269     
1         0.0003276           -1        
1         0.0004604           1.675     
1         0.1054              -1        
1         0.006016            -1        
1         0.004314            -1        
1         0.00581             -1        
1         0.007347            -1        
1         0.004456            1.497     
1         0.0002172           -1        
1         0.001431            -1        
1         0.6445              2.189     
1         0.0007868           1.919     
1         0.001325            -1        
1         0.008316            2.459     
1         0.01793             1.667     
1         0.0002739           1.462     
1         0.001414            1.579     
1         0.0002384           -1        
1         0.05209             1.332     
1         0.01234             -1        
1         0.01102             1.724     
1         0.0004601           1.626     
1         0.002342            -1        
1         0.001296            1.774     
1         0.005043            1.388     
1         0.000459            -1        
1         1.099e-05           1.545     
1         0.0007348           2.805     
1         0.6704              -1        
1         0.0008373           -1        
1         0.01121             1.422     
1         0.001079            1.607     
1         0.3921              1.425     
1         0.5913              1.475     
1         0.009819            1.486     
1         0.05545             1.658     
1         0.0004702           1.391     
1         0.0004091           1.362     
1         0.01135             -1        
1         0.002945            1.604     
1         3.341e-05           2.752     
1         0.007896            -1        
1         0.000339            -1        
1         0.06366             -1        
1         0.0009432           1.69      
1         0.0001887           2.215     
1         0.7715              1.491     
1         0.002235            -1        
1         0.01793             2.035     
1         0.3428              -1        
1         0.1205              1.781     
1         0.001081            1.562     
1         0.0006833           1.381     
1         0.002422            1.335     
1         0.07318             1.728     
1         0.001476            3.658     
1         0.0003102           -1        
1         0.007114            1.455     
1         0.06732             -1        
1         0.001937            -1        
1         0.006516            2.061     
1         0.001906            -1        
1         0.0007873           1.475     
1         0.002176            -1        
1         0.006554            1.512     
1         0.0005713           -1        
1         0.0005999           1.522     
1         0.07837             -1        
1         0.07544             -1        
1         0.001947            -1        
1         0.004791            2.4       
1         0.6733              -1        
1         0.0008855           -1        
1         0.001077            -1        
1         0.005722            1.928     
1         0.0008683           -1        
1         0.001617            1.499     
1         0.01238             1.831     
1         0.0006552           -1        
1         0.002518            1.534     
1         0.01246             2.234     
1         0.0003521           -1        
1         0.000315            2.314     
1         0.004822            -1        
1         0.0001545           1.516     
1         0.0005512           -1        
1         0.003716            1.585     
1         0.01142             1.363     
1         0.00449             2.088     
1         0.00102             1.406     
1         0.1743              -1        
1         0.0285              -1        
1         0.001396            -1        
1         0.01223             -1        
1         0.2374              -1        
1         0.0002378           1.983     
1         0.0007219           1.913     
1         0.0001248           1.461     
1         0.004211            2.332     
1         0.003576            1.392     
1         0.0231              2.273     
1         0.008171            1.611     
1         0.01038             1.829     
1         0.0002216           -1        
1         0.003242            1.487     
