index     maxhbbscore         N3B1      
1         0.003548            -1        
1         0.009018            1.44      
1         0.01465             1.478     
1         0.00284             2.053     
1         0.0001367           -1        
1         0.5464              1.539     
1         0.001696            -1        
1         0.00449             -1        
1         0.0006576           -1        
1         0.0008397           -1        
1         0.003382            1.522     
1         0.00737             -1        
1         0.0001614           1.98      
1         0.01604             -1        
1         0.03613             1.589     
1         0.001747            -1        
1         0.002544            1.307     
1         0.0008998           -1        
1         0.1261              1.535     
1         0.004837            -1        
1         0.008545            2.016     
1         0.05313             -1        
1         0.02818             -1        
1         0.001202            -1        
1         0.1461              1.389     
1         0.01279             -1        
1         0.02307             1.678     
1         0.5996              -1        
1         0.08722             -1        
1         0.0567              -1        
1         0.0003474           2.629     
1         0.005711            -1        
1         0.9434              1.575     
1         0.001162            -1        
1         0.5596              1.57      
1         0.0003741           1.688     
1         0.2458              -1        
1         0.001437            1.667     
1         0.07428             1.561     
1         0.002119            -1        
1         0.0003638           1.764     
1         0.0005317           -1        
1         0.007046            -1        
1         0.00404             1.471     
1         0.001515            1.561     
1         0.001968            -1        
1         0.01162             -1        
1         0.1202              -1        
1         0.001038            -1        
1         0.01295             -1        
1         0.001136            -1        
1         0.03183             -1        
1         0.0007348           1.399     
1         0.0614              1.471     
1         0.004955            2.566     
1         0.004005            1.456     
1         0.001743            -1        
1         0.003454            -1        
1         0.0006337           -1        
1         0.003868            -1        
1         0.07452             -1        
1         0.003914            1.92      
1         0.000247            1.478     
1         0.001654            -1        
1         0.0004654           2.996     
1         0.0007653           1.791     
1         0.05014             1.75      
1         0.001762            -1        
1         0.003841            -1        
1         0.3479              1.546     
1         0.00452             2.201     
1         0.0007672           2.254     
1         0.3933              1.562     
1         0.0267              -1        
1         5.132e-05           2.035     
1         0.001546            -1        
1         0.001722            1.604     
1         0.0002156           -1        
1         0.002676            -1        
1         0.0002341           1.95      
1         0.003151            1.662     
1         0.002085            1.721     
1         0.005016            1.459     
1         0.001961            -1        
1         0.007721            -1        
1         0.5938              1.802     
1         0.0002701           2.6       
1         0.0006518           -1        
1         0.003469            -1        
1         0.0005975           1.648     
1         0.009171            1.567     
1         0.000169            2.676     
1         0.03299             -1        
1         0.00197             1.589     
1         0.03491             -1        
1         0.008324            2.74      
1         0.01511             1.722     
1         0.0005541           2.213     
1         0.00584             1.984     
1         0.0004315           2.602     
1         0.04977             -1        
1         0.5264              -1        
1         0.02327             1.453     
1         0.000731            -1        
1         0.001457            1.327     
1         0.01104             2.316     
1         0.005638            1.51      
1         0.004101            -1        
1         0.0001311           1.777     
1         0.001034            2.248     
1         0.003138            1.433     
1         0.04773             -1        
1         0.5845              2.455     
1         0.002058            1.559     
1         0.002008            2.381     
1         0.000577            2.197     
1         0.0004728           1.716     
1         0.3394              1.625     
1         0.01663             1.938     
