index     maxhbbscore         N3B1      
1         0.2426              -1        
1         0.0001422           1.771     
1         0.9878              1.34      
1         0.01012             -1        
1         0.0004017           1.513     
1         0.08887             -1        
1         0.00193             1.67      
1         0.8062              -1        
1         0.7988              -1        
1         0.006714            -1        
1         0.0001919           1.548     
1         0.002146            -1        
1         0.5596              -1        
1         0.1499              1.888     
1         0.002781            1.562     
1         0.4556              -1        
1         0.008163            1.562     
1         0.0006061           2.166     
1         0.0002642           2.07      
1         0.1065              -1        
1         0.6245              -1        
1         0.0008512           -1        
1         0.4712              -1        
1         0.04788             1.476     
1         0.001217            1.937     
1         0.0003042           1.812     
1         0.001978            1.5       
1         0.4062              1.882     
1         0.8809              -1        
1         0.4734              1.791     
1         0.03525             -1        
1         0.0007315           -1        
1         0.002672            -1        
1         0.2103              -1        
1         0.3718              2.166     
1         0.001379            -1        
1         0.1124              -1        
1         0.006084            -1        
1         0.4785              -1        
1         0.0009375           -1        
1         0.002741            -1        
1         0.1046              -1        
1         0.8062              -1        
1         0.02927             -1        
1         0.005791            1.4       
1         0.02814             -1        
1         0.6646              -1        
1         0.005344            1.476     
1         0.0273              -1        
1         0.003803            1.572     
1         0.2415              -1        
1         0.000721            -1        
1         0.6768              -1        
1         0.3103              -1        
1         0.0006113           1.647     
1         0.9639              -1        
1         0.0003769           1.422     
1         0.04938             -1        
1         0.0001632           1.323     
1         0.6274              -1        
1         0.001688            1.842     
1         0.004662            -1        
1         0.01633             1.719     
1         0.005726            -1        
1         0.8091              -1        
1         0.001832            -1        
1         0.0002551           2.316     
1         0.02029             1.845     
1         0.2032              1.332     
1         0.001311            -1        
1         0.0008554           1.352     
1         0.008713            1.476     
1         0.4241              -1        
1         0.001423            -1        
1         0.03998             1.479     
1         0.004902            1.377     
1         0.009918            1.538     
1         0.003586            -1        
1         0.5234              1.423     
1         0.001175            1.734     
1         0.1658              -1        
1         0.003412            1.439     
1         0.002729            2.426     
1         0.1268              1.479     
1         0.08746             1.762     
1         0.09827             -1        
1         0.5684              1.472     
1         0.000195            1.405     
1         0.0009236           1.455     
1         0.004436            -1        
1         0.001206            1.389     
1         0.0005245           1.514     
1         0.7148              -1        
1         0.5605              1.685     
1         0.002697            1.401     
1         0.001415            -1        
1         0.01258             -1        
1         0.0008931           1.44      
1         0.261               -1        
1         0.0008354           1.772     
1         0.001837            -1        
1         0.002451            -1        
1         0.09998             1.57      
1         0.0008078           1.821     
1         0.001948            1.635     
1         0.9849              -1        
1         0.0979              -1        
1         0.001904            -1        
1         0.002636            -1        
1         0.002022            1.14      
1         0.8169              1.878     
1         0.001321            1.783     
1         0.003601            1.685     
1         0.02654             -1        
1         0.0003932           -1        
1         0.0004787           -1        
1         0.2729              -1        
1         0.04565             1.321     
1         0.03128             2.016     
1         0.001359            1.61      
1         0.0003779           -1        
1         0.003784            1.368     
1         0.7739              -1        
1         0.01715             2.209     
1         0.00214             -1        
1         0.6621              -1        
1         0.03                1.438     
1         0.3496              -1        
1         0.03766             -1        
1         0.07153             1.604     
1         0.003149            1.607     
1         0.8696              1.238     
1         0.002098            2.375     
1         0.3792              -1        
1         0.3452              1.925     
1         0.1018              -1        
1         0.9307              -1        
1         0.0008006           -1        
1         0.0007153           -1        
1         0.7729              -1        
1         0.0003192           1.647     
1         0.4539              -1        
1         0.8984              -1        
1         0.02881             -1        
1         0.0004361           1.396     
1         0.9067              -1        
1         0.0001719           2.314     
1         0.0003262           1.632     
1         0.005157            -1        
1         0.0002542           1.765     
1         0.008308            -1        
1         2.709e-05           1.745     
1         0.1808              -1        
1         0.1508              1.614     
1         0.03903             -1        
1         0.003033            -1        
1         0.003555            -1        
1         0.05481             -1        
1         0.00264             -1        
1         0.003952            -1        
1         0.001508            -1        
1         0.5337              -1        
1         0.02357             -1        
1         0.5815              -1        
1         0.003527            1.516     
1         0.8218              1.53      
1         0.0006299           2.498     
1         0.1854              1.468     
1         0.001225            1.66      
1         0.00197             -1        
1         0.00154             -1        
1         0.6323              -1        
1         0.03891             1.879     
1         0.02724             -1        
1         0.05264             -1        
1         0.0008945           -1        
1         0.0005007           1.832     
1         0.01001             -1        
1         0.0007439           -1        
1         0.003971            -1        
1         0.4502              -1        
1         0.06702             -1        
1         0.0002378           1.734     
1         0.002861            1.402     
1         0.01764             1.507     
1         0.0004785           -1        
1         0.0003002           2.213     
1         0.6499              1.433     
1         0.006596            -1        
1         0.8667              -1        
1         0.2766              1.539     
1         0.001616            -1        
1         0.6533              -1        
1         0.4763              -1        
1         0.9321              -1        
1         0.4998              1.502     
1         0.7534              -1        
1         0.02519             1.482     
1         0.0005035           -1        
1         0.01988             -1        
1         0.00193             1.752     
1         0.1022              -1        
1         0.7104              -1        
1         0.0114              -1        
1         0.001238            -1        
1         0.03333             1.532     
1         0.006165            -1        
1         0.001774            1.641     
1         0.05371             -1        
1         0.0008297           -1        
1         0.6909              -1        
1         0.5054              -1        
1         0.006073            1.927     
1         0.007538            1.589     
1         0.1057              -1        
1         0.001437            1.486     
1         0.004612            -1        
1         0.002676            1.512     
1         0.002342            -1        
1         0.0005732           1.905     
1         0.003487            -1        
1         0.001044            -1        
1         7.379e-05           1.967     
1         0.0008917           -1        
1         0.0001545           2.381     
1         0.0005841           -1        
1         0.0005341           -1        
1         0.003704            -1        
1         0.0003712           2.029     
1         0.9062              -1        
1         0.9058              -1        
1         0.8442              -1        
1         0.8809              1.438     
1         0.05518             1.685     
1         7.397e-05           -1        
1         0.04953             1.394     
1         0.002262            -1        
1         0.1255              -1        
1         0.3149              -1        
1         0.0004272           1.538     
1         0.0004327           -1        
1         0.04672             -1        
1         0.00943             1.521     
1         0.08649             -1        
1         0.0007882           -1        
1         0.8188              -1        
1         0.8267              -1        
1         0.02071             1.446     
1         0.05716             -1        
1         0.00695             1.563     
1         0.004227            1.787     
1         0.01895             1.855     
1         0.4578              -1        
1         0.0008636           1.39      
1         0.0007443           -1        
1         0.001321            -1        
1         0.02657             -1        
1         0.1581              1.498     
1         0.00163             1.533     
1         0.0006514           1.571     
1         0.6968              1.601     
1         0.1686              -1        
1         0.01578             -1        
1         0.1307              -1        
1         0.0008135           1.437     
1         0.01773             1.573     
1         0.08557             -1        
1         0.1274              -1        
1         0.0007458           2.342     
1         0.3884              -1        
1         0.8735              -1        
1         0.2488              1.367     
1         0.4438              -1        
1         0.009331            -1        
1         9.817e-05           -1        
1         0.00187             1.51      
1         4.184e-05           1.999     
1         0.5664              -1        
1         0.4275              -1        
1         0.5591              1.503     
1         0.004112            -1        
1         0.8076              1.61      
1         0.1086              -1        
1         0.02666             -1        
1         0.01356             -1        
1         0.0002675           -1        
1         0.002586            -1        
1         0.0003457           2.521     
1         0.0111              1.574     
1         0.7222              1.69      
1         0.2642              -1        
1         0.007244            1.57      
1         0.02858             -1        
1         0.0003085           -1        
1         0.04556             -1        
1         0.003498            -1        
1         0.0005412           -1        
1         0.0003912           1.455     
1         0.001683            -1        
1         0.3105              -1        
1         0.9619              -1        
1         0.002035            1.453     
1         0.7793              -1        
1         0.73                2.309     
1         0.003122            -1        
1         0.0001153           1.747     
1         0.001555            -1        
1         0.2355              -1        
1         0.5879              1.921     
1         0.8369              1.721     
1         0.4856              -1        
1         0.1225              -1        
1         0.01228             1.688     
1         0.02441             -1        
1         0.000216            1.683     
1         0.0006084           -1        
1         0.00441             -1        
1         0.009369            -1        
1         0.06384             -1        
