+--------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |      ttbar       |      Total       | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |   7305 ± 49.92   |   7305 ± 49.92   |      18.21 ± 0.4673       |     36.02 ± 0.5349      |
| Bin2   |   2799 ± 30.85   |   2799 ± 30.85   |      1.967 ± 0.1536       |      4.217 ± 0.183      |
| Bin3   |   1657 ± 23.77   |   1657 ± 23.77   |      1.847 ± 0.1488       |     3.828 ± 0.1744      |
| Bin4   |   950 ± 17.98    |   950 ± 17.98    |      1.643 ± 0.1404       |     3.574 ± 0.1685      |
| Bin5   |  572.6 ± 13.97   |  572.6 ± 13.97   |      1.559 ± 0.1367       |     3.328 ± 0.1626      |
| Bin6   |  361.5 ± 11.08   |  361.5 ± 11.08   |      1.163 ± 0.1181       |     3.407 ± 0.1645      |
| Bin7   |  252.4 ± 9.246   |  252.4 ± 9.246   |      1.115 ± 0.1156       |     3.328 ± 0.1626      |
| Bin8   |  185.1 ± 7.923   |  185.1 ± 7.923   |      0.9233 ± 0.1052      |     3.415 ± 0.1647      |
| Bin9   |  134.1 ± 6.748   |  134.1 ± 6.748   |     0.7554 ± 0.09518      |     3.042 ± 0.1554      |
| Bin10  |  82.43 ± 5.277   |  82.43 ± 5.277   |     0.7554 ± 0.09518      |     3.042 ± 0.1554      |
| Bin11  |  71.96 ± 4.931   |  71.96 ± 4.931   |      0.8514 ± 0.101       |     3.089 ± 0.1566      |
| Bin12  |  43.58 ± 3.837   |  43.58 ± 3.837   |     0.5876 ± 0.08394      |     2.708 ± 0.1467      |
| Bin13  |  42.91 ± 3.807   |  42.91 ± 3.807   |     0.6475 ± 0.08812      |     2.764 ± 0.1482      |
| Bin14  |  30.41 ± 3.205   |  30.41 ± 3.205   |     0.4796 ± 0.07584      |     2.621 ± 0.1443      |
| Bin15  |  21.28 ± 2.682   |  21.28 ± 2.682   |     0.6235 ± 0.08647      |     2.565 ± 0.1427      |
| Bin16  |  19.26 ± 2.551   |  19.26 ± 2.551   |     0.5756 ± 0.08308      |     2.343 ± 0.1364      |
| Bin17  |  15.54 ± 2.291   |  15.54 ± 2.291   |     0.3837 ± 0.06783      |     1.938 ± 0.1241      |
| Bin18  |   7.77 ± 1.62    |   7.77 ± 1.62    |     0.3837 ± 0.06783      |     2.089 ± 0.1288      |
| Bin19  |  11.15 ± 1.941   |  11.15 ± 1.941   |     0.4437 ± 0.07294      |      1.874 ± 0.122      |
| Bin20  |  6.081 ± 1.433   |  6.081 ± 1.433   |     0.3238 ± 0.06231      |     1.708 ± 0.1165      |
| Bin21  |   4.054 ± 1.17   |   4.054 ± 1.17   |     0.2638 ± 0.05624      |     1.374 ± 0.1045      |
| Bin22  |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.2158 ± 0.05087      |     1.445 ± 0.1071      |
| Bin23  |  2.365 ± 1.014   |  2.365 ± 1.014   |     0.09593 ± 0.03392     |     1.088 ± 0.09296     |
| Bin24  |   3.716 ± 1.12   |   3.716 ± 1.12   |     0.1319 ± 0.03977      |     1.048 ± 0.09125     |
| Bin25  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.1079 ± 0.03597      |    0.9689 ± 0.08772     |
| Bin26  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.1199 ± 0.03792      |     0.6989 ± 0.0745     |
| Bin27  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.1079 ± 0.03597      |    0.7227 ± 0.07576     |
| Bin28  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.1439 ± 0.04154      |     0.548 ± 0.06597     |
| Bin29  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.05996 ± 0.02681     |    0.5003 ± 0.06304     |
| Bin30  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.03597 ± 0.02077     |    0.3494 ± 0.05268     |
| Bin31  |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.4197 ± 0.07094      |     2.391 ± 0.1378      |
+--------+------------------+------------------+---------------------------+-------------------------+
