+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |     0 ± 0      |     0.01199 ± 0.01199     |   0.007942 ± 0.007942   |
| Bin2   | 14.19 ± 2.189  | 14.19 ± 2.189  |     0.09593 ± 0.03392     |     0.143 ± 0.03369     |
| Bin3   | 197.6 ± 8.199  | 197.6 ± 8.199  |     0.6475 ± 0.08812      |     1.573 ± 0.1118      |
| Bin4   |  1152 ± 19.81  |  1152 ± 19.81  |      3.525 ± 0.2056       |     9.499 ± 0.2747      |
| Bin5   |  2248 ± 27.67  |  2248 ± 27.67  |      6.739 ± 0.2843       |     18.34 ± 0.3816      |
| Bin6   |  2401 ± 28.59  |  2401 ± 28.59  |      6.835 ± 0.2863       |     18.14 ± 0.3796      |
| Bin7   |  2025 ± 26.27  |  2025 ± 26.27  |      5.432 ± 0.2552       |     14.84 ± 0.3433      |
| Bin8   |  1657 ± 23.8   |  1657 ± 23.8   |      3.789 ± 0.2132       |      11.94 ± 0.308      |
| Bin9   |  1307 ± 21.11  |  1307 ± 21.11  |      2.842 ± 0.1846       |     8.879 ± 0.2656      |
| Bin10  |  1008 ± 18.5   |  1008 ± 18.5   |      2.182 ± 0.1618       |     6.076 ± 0.2197      |
| Bin11  |  699 ± 15.46   |  699 ± 15.46   |      1.427 ± 0.1308       |     4.257 ± 0.1839      |
| Bin12  | 521.3 ± 13.31  | 521.3 ± 13.31  |      1.199 ± 0.1199       |     2.605 ± 0.1438      |
| Bin13  | 365.5 ± 11.14  | 365.5 ± 11.14  |     0.6715 ± 0.08973      |      1.874 ± 0.122      |
| Bin14  | 259.1 ± 9.381  | 259.1 ± 9.381  |     0.3597 ± 0.06568      |     1.231 ± 0.09888     |
| Bin15  | 185.8 ± 7.937  | 185.8 ± 7.937  |     0.3837 ± 0.06783      |    0.6354 ± 0.07104     |
| Bin16  | 120.6 ± 6.401  | 120.6 ± 6.401  |     0.1439 ± 0.04154      |    0.4209 ± 0.05782     |
| Bin17  |  101.7 ± 5.9   |  101.7 ± 5.9   |     0.1439 ± 0.04154      |    0.2541 ± 0.04493     |
| Bin18  | 72.97 ± 4.988  | 72.97 ± 4.988  |     0.09593 ± 0.03392     |    0.2144 ± 0.04127     |
| Bin19  | 54.39 ± 4.287  | 54.39 ± 4.287  |     0.01199 ± 0.01199     |    0.1509 ± 0.03462     |
| Bin20  | 34.12 ± 3.395  | 34.12 ± 3.395  |     0.04796 ± 0.02398     |    0.1191 ± 0.03076     |
| Bin21  |  27.7 ± 3.059  |  27.7 ± 3.059  |     0.02398 ± 0.01696     |    0.03971 ± 0.01776    |
| Bin22  | 20.27 ± 2.617  | 20.27 ± 2.617  |     0.03597 ± 0.02077     |    0.06354 ± 0.02246    |
| Bin23  | 20.61 ± 2.639  | 20.61 ± 2.639  |     0.02398 ± 0.01696     |    0.01588 ± 0.01123    |
| Bin24  | 14.87 ± 2.241  | 14.87 ± 2.241  |     0.03597 ± 0.02077     |    0.06354 ± 0.02246    |
| Bin25  |  13.18 ± 2.11  |  13.18 ± 2.11  |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin26  | 8.108 ± 1.655  | 8.108 ± 1.655  |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin27  |  7.77 ± 1.62   |  7.77 ± 1.62   |     0.01199 ± 0.01199     |    0.01588 ± 0.01123    |
| Bin28  |  9.46 ± 1.85   |  9.46 ± 1.85   |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin29  |  3.716 ± 1.12  |  3.716 ± 1.12  |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin30  | 6.419 ± 1.473  | 6.419 ± 1.473  |           0 ± 0           |          0 ± 0          |
| Bin31  | 37.16 ± 3.543  | 37.16 ± 3.543  |     0.1919 ± 0.04796      |    0.5639 ± 0.06692     |
+--------+----------------+----------------+---------------------------+-------------------------+
