+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   | 61.49 ± 4.558  | 61.49 ± 4.558  |      2.674 ± 0.1791       |     7.648 ± 0.2465      |
| Bin2   | 189.2 ± 7.995  | 189.2 ± 7.995  |      4.053 ± 0.2205       |     35.91 ± 0.5341      |
| Bin3   | 319.9 ± 10.41  | 319.9 ± 10.41  |      3.178 ± 0.1952       |     28.42 ± 0.4751      |
| Bin4   | 433.8 ± 12.13  | 433.8 ± 12.13  |      2.338 ± 0.1674       |     17.04 ± 0.3678      |
| Bin5   |  521 ± 13.29   |  521 ± 13.29   |      1.583 ± 0.1378       |     10.14 ± 0.2838      |
| Bin6   | 595.6 ± 14.19  | 595.6 ± 14.19  |      1.235 ± 0.1217       |     6.099 ± 0.2201      |
| Bin7   |  697 ± 15.35   |  697 ± 15.35   |      1.055 ± 0.1125       |     3.574 ± 0.1685      |
| Bin8   | 751.7 ± 15.98  | 751.7 ± 15.98  |       1.367 ± 0.128       |     2.581 ± 0.1432      |
| Bin9   |  774 ± 16.22   |  774 ± 16.22   |      1.031 ± 0.1112       |     1.708 ± 0.1165      |
| Bin10  | 826.7 ± 16.76  | 826.7 ± 16.76  |      0.9833 ± 0.1086      |     1.358 ± 0.1039      |
| Bin11  | 839.5 ± 16.86  | 839.5 ± 16.86  |      1.007 ± 0.1099       |     1.009 ± 0.0895      |
| Bin12  | 903.1 ± 17.51  | 903.1 ± 17.51  |      1.583 ± 0.1378       |    0.8657 ± 0.08292     |
| Bin13  | 908.1 ± 17.56  | 908.1 ± 17.56  |      1.487 ± 0.1335       |    0.6354 ± 0.07104     |
| Bin14  | 932.1 ± 17.85  | 932.1 ± 17.85  |      1.547 ± 0.1362       |     0.7465 ± 0.077      |
| Bin15  | 907.8 ± 17.62  | 907.8 ± 17.62  |      1.775 ± 0.1459       |    0.7227 ± 0.07576     |
| Bin16  | 891.9 ± 17.44  | 891.9 ± 17.44  |      1.943 ± 0.1526       |    0.5956 ± 0.06878     |
| Bin17  |  873 ± 17.31   |  873 ± 17.31   |       2.23 ± 0.1635       |    0.5798 ± 0.06786     |
| Bin18  | 908.8 ± 17.61  | 908.8 ± 17.61  |      2.027 ± 0.1559       |    0.6354 ± 0.07104     |
| Bin19  | 862.5 ± 17.16  | 862.5 ± 17.16  |      1.919 ± 0.1517       |    0.6195 ± 0.07014     |
| Bin20  | 541.6 ± 13.64  | 541.6 ± 13.64  |      1.223 ± 0.1211       |     0.278 ± 0.04699     |
| Bin21  | 344.6 ± 10.84  | 344.6 ± 10.84  |     0.7075 ± 0.09211      |    0.1668 ± 0.03639     |
| Bin22  | 210.1 ± 8.547  | 210.1 ± 8.547  |     0.5156 ± 0.07863      |    0.1509 ± 0.03462     |
| Bin23  | 135.8 ± 6.857  | 135.8 ± 6.857  |     0.3837 ± 0.06783      |    0.08736 ± 0.02634    |
| Bin24  |  94.6 ± 5.753  |  94.6 ± 5.753  |     0.1439 ± 0.04154      |    0.07942 ± 0.02511    |
| Bin25  | 57.43 ± 4.431  | 57.43 ± 4.431  |     0.1199 ± 0.03792      |    0.05559 ± 0.02101    |
| Bin26  | 36.82 ± 3.559  | 36.82 ± 3.559  |     0.09593 ± 0.03392     |    0.05559 ± 0.02101    |
| Bin27  |  17.91 ± 2.46  |  17.91 ± 2.46  |     0.04796 ± 0.02398     |    0.03177 ± 0.01588    |
| Bin28  | 11.82 ± 2.055  | 11.82 ± 2.055  |     0.04796 ± 0.02398     |          0 ± 0          |
| Bin29  | 6.757 ± 1.511  | 6.757 ± 1.511  |     0.03597 ± 0.02077     |          0 ± 0          |
| Bin30  | 3.041 ± 1.014  | 3.041 ± 1.014  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin31  | 3.378 ± 1.068  | 3.378 ± 1.068  |     0.01199 ± 0.01199     |   0.007942 ± 0.007942   |
+--------+----------------+----------------+---------------------------+-------------------------+
