+--------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |      ttbar       |      Total       | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin4   | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |          0 ± 0          |
| Bin5   |  7.095 ± 1.548   |  7.095 ± 1.548   |     0.04796 ± 0.02398     |   0.007942 ± 0.007942   |
| Bin6   |  25.68 ± 2.945   |  25.68 ± 2.945   |     0.1319 ± 0.03977      |    0.1827 ± 0.03809     |
| Bin7   |  82.43 ± 5.299   |  82.43 ± 5.299   |     0.3477 ± 0.06457      |    0.3494 ± 0.05268     |
| Bin8   |  158.8 ± 7.371   |  158.8 ± 7.371   |     0.4077 ± 0.06992      |    0.5718 ± 0.06739     |
| Bin9   |   301 ± 10.15    |   301 ± 10.15    |     0.5396 ± 0.08044      |     0.8736 ± 0.0833     |
| Bin10  |  501.4 ± 13.07   |  501.4 ± 13.07   |     0.7075 ± 0.09211      |     1.827 ± 0.1204      |
| Bin11  |   799.3 ± 16.5   |   799.3 ± 16.5   |      1.331 ± 0.1263       |     3.923 ± 0.1765      |
| Bin12  |   1052 ± 18.95   |   1052 ± 18.95   |      2.398 ± 0.1696       |      6.91 ± 0.2343      |
| Bin13  |   1316 ± 21.19   |   1316 ± 21.19   |      3.154 ± 0.1945       |     9.618 ± 0.2764      |
| Bin14  |   1493 ± 22.53   |   1493 ± 22.53   |      4.281 ± 0.2266       |      12.98 ± 0.321      |
| Bin15  |   1576 ± 23.1    |   1576 ± 23.1    |      4.629 ± 0.2356       |     13.91 ± 0.3324      |
| Bin16  |   1548 ± 22.93   |   1548 ± 22.93   |        5 ± 0.2449         |     14.37 ± 0.3379      |
| Bin17  |   1469 ± 22.36   |   1469 ± 22.36   |      4.245 ± 0.2256       |      12.3 ± 0.3126      |
| Bin18  |   1368 ± 21.63   |   1368 ± 21.63   |      3.358 ± 0.2007       |     9.792 ± 0.2789      |
| Bin19  |   1024 ± 18.69   |   1024 ± 18.69   |      2.482 ± 0.1725       |     6.504 ± 0.2273      |
| Bin20  |  803.4 ± 16.55   |  803.4 ± 16.55   |      1.739 ± 0.1444       |     3.915 ± 0.1763      |
| Bin21  |  515.5 ± 13.27   |  515.5 ± 13.27   |     0.7794 ± 0.09668      |      1.89 ± 0.1225      |
| Bin22  |   284.5 ± 9.85   |   284.5 ± 9.85   |     0.5396 ± 0.08044      |     0.961 ± 0.08736     |
| Bin23  |  155.7 ± 7.348   |  155.7 ± 7.348   |     0.3477 ± 0.06457      |    0.6195 ± 0.07014     |
| Bin24  |  81.08 ± 5.234   |  81.08 ± 5.234   |     0.3238 ± 0.06231      |    0.3415 ± 0.05208     |
| Bin25  |  22.64 ± 2.765   |  22.64 ± 2.765   |     0.1079 ± 0.03597      |    0.1588 ± 0.03552     |
| Bin26  |  8.784 ± 1.723   |  8.784 ± 1.723   |     0.04796 ± 0.02398     |    0.02383 ± 0.01376    |
| Bin27  |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin28  |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin29  |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin30  |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin31  |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+------------------+------------------+---------------------------+-------------------------+
