+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   | 11.15 ± 1.941  | 11.15 ± 1.941  |     0.1439 ± 0.04154      |    0.3733 ± 0.05445     |
| Bin2   | 69.93 ± 4.861  | 69.93 ± 4.861  |      1.067 ± 0.1131       |     2.954 ± 0.1532      |
| Bin3   | 121.6 ± 6.428  | 121.6 ± 6.428  |      1.619 ± 0.1393       |      5.242 ± 0.204      |
| Bin4   | 183.4 ± 7.873  | 183.4 ± 7.873  |       2.326 ± 0.167       |     6.957 ± 0.2351      |
| Bin5   | 295.9 ± 10.04  | 295.9 ± 10.04  |      2.314 ± 0.1666       |     7.338 ± 0.2414      |
| Bin6   |  297 ± 10.04   |  297 ± 10.04   |      2.206 ± 0.1627       |     5.893 ± 0.2163      |
| Bin7   | 493.9 ± 12.96  | 493.9 ± 12.96  |      1.787 ± 0.1464       |     5.679 ± 0.2124      |
| Bin8   | 593.3 ± 14.19  | 593.3 ± 14.19  |      1.835 ± 0.1483       |     4.535 ± 0.1898      |
| Bin9   |  577 ± 14.01   |  577 ± 14.01   |       1.103 ± 0.115       |     2.867 ± 0.1509      |
| Bin10  | 690.9 ± 15.36  | 690.9 ± 15.36  |      1.007 ± 0.1099       |     2.168 ± 0.1312      |
| Bin11  | 814.9 ± 16.65  | 814.9 ± 16.65  |     0.8154 ± 0.09888      |     1.565 ± 0.1115      |
| Bin12  | 781.8 ± 16.33  | 781.8 ± 16.33  |     0.5756 ± 0.08308      |     1.318 ± 0.1023      |
| Bin13  | 857.8 ± 17.06  | 857.8 ± 17.06  |     0.7075 ± 0.09211      |     1.295 ± 0.1014      |
| Bin14  | 796.6 ± 16.43  | 796.6 ± 16.43  |      0.6355 ± 0.0873      |    0.9451 ± 0.08664     |
| Bin15  | 696.6 ± 15.46  | 696.6 ± 15.46  |     0.6235 ± 0.08647      |     1.144 ± 0.0953      |
| Bin16  | 723.3 ± 15.71  | 723.3 ± 15.71  |     0.4557 ± 0.07392      |    0.9213 ± 0.08554     |
| Bin17  | 794.9 ± 16.45  | 794.9 ± 16.45  |     0.5036 ± 0.07771      |      1.04 ± 0.0909      |
| Bin18  | 864.5 ± 17.16  | 864.5 ± 17.16  |     0.6595 ± 0.08893      |    0.9769 ± 0.08808     |
| Bin19  | 818.6 ± 16.75  | 818.6 ± 16.75  |      0.6355 ± 0.0873      |     1.318 ± 0.1023      |
| Bin20  | 827.4 ± 16.81  | 827.4 ± 16.81  |     0.8154 ± 0.09888      |     1.739 ± 0.1175      |
| Bin21  | 694.6 ± 15.38  | 694.6 ± 15.38  |      0.9353 ± 0.1059      |     2.367 ± 0.1371      |
| Bin22  | 567.6 ± 13.91  | 567.6 ± 13.91  |      1.211 ± 0.1205       |     2.788 ± 0.1488      |
| Bin23  | 584.1 ± 14.14  | 584.1 ± 14.14  |      1.559 ± 0.1367       |     4.352 ± 0.1859      |
| Bin24  | 504.1 ± 13.08  | 504.1 ± 13.08  |      2.194 ± 0.1622       |      5.821 ± 0.215      |
| Bin25  | 310.5 ± 10.29  | 310.5 ± 10.29  |       2.242 ± 0.164       |     5.806 ± 0.2147      |
| Bin26  | 260.8 ± 9.484  | 260.8 ± 9.484  |      2.458 ± 0.1717       |     7.704 ± 0.2474      |
| Bin27  | 175.7 ± 7.704  | 175.7 ± 7.704  |      1.919 ± 0.1517       |     7.378 ± 0.2421      |
| Bin28  |  114.5 ± 6.22  |  114.5 ± 6.22  |      1.511 ± 0.1346       |     5.488 ± 0.2088      |
| Bin29  | 62.16 ± 4.583  | 62.16 ± 4.583  |      1.007 ± 0.1099       |     3.677 ± 0.1709      |
| Bin30  | 8.784 ± 1.723  | 8.784 ± 1.723  |     0.07195 ± 0.02937     |    0.3892 ± 0.05559     |
| Bin31  |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+----------------+----------------+---------------------------+-------------------------+
