+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin3   |     0 ± 0      |     0 ± 0      |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin4   | 5.405 ± 1.351  | 5.405 ± 1.351  |     0.08394 ± 0.03173     |    0.05559 ± 0.02101    |
| Bin5   | 30.07 ± 3.187  | 30.07 ± 3.187  |     0.4796 ± 0.07584      |    0.4765 ± 0.06152     |
| Bin6   | 111.2 ± 6.165  | 111.2 ± 6.165  |      1.151 ± 0.1175       |     1.382 ± 0.1048      |
| Bin7   |  219.3 ± 8.66  |  219.3 ± 8.66  |      1.703 ± 0.1429       |     1.993 ± 0.1258      |
| Bin8   |  415.9 ± 11.9  |  415.9 ± 11.9  |      2.194 ± 0.1622       |      3.066 ± 0.156      |
| Bin9   | 644.3 ± 14.82  | 644.3 ± 14.82  |      1.943 ± 0.1526       |     2.994 ± 0.1542      |
| Bin10  | 784.8 ± 16.36  | 784.8 ± 16.36  |      1.871 ± 0.1498       |      3.812 ± 0.174      |
| Bin11  | 918.6 ± 17.68  | 918.6 ± 17.68  |      1.775 ± 0.1459       |     4.527 ± 0.1896      |
| Bin12  | 967.2 ± 18.15  | 967.2 ± 18.15  |      1.679 ± 0.1419       |     5.845 ± 0.2155      |
| Bin13  |  1007 ± 18.54  |  1007 ± 18.54  |      1.679 ± 0.1419       |     7.878 ± 0.2501      |
| Bin14  |  1096 ± 19.29  |  1096 ± 19.29  |      2.074 ± 0.1577       |      9.046 ± 0.268      |
| Bin15  |  1096 ± 19.33  |  1096 ± 19.33  |       2.05 ± 0.1568       |     10.42 ± 0.2877      |
| Bin16  |  1101 ± 19.35  |  1101 ± 19.35  |       2.003 ± 0.155       |     10.11 ± 0.2834      |
| Bin17  |  1067 ± 19.05  |  1067 ± 19.05  |      1.811 ± 0.1474       |      9.316 ± 0.272      |
| Bin18  |  1032 ± 18.76  |  1032 ± 18.76  |      1.655 ± 0.1409       |      7.934 ± 0.251      |
| Bin19  | 968.6 ± 18.17  | 968.6 ± 18.17  |      1.583 ± 0.1378       |     5.591 ± 0.2107      |
| Bin20  | 932.1 ± 17.82  | 932.1 ± 17.82  |      1.715 ± 0.1434       |     4.312 ± 0.1851      |
| Bin21  | 772.3 ± 16.22  | 772.3 ± 16.22  |      1.919 ± 0.1517       |      3.471 ± 0.166      |
| Bin22  | 645.6 ± 14.86  | 645.6 ± 14.86  |      2.098 ± 0.1586       |     2.978 ± 0.1538      |
| Bin23  | 416.6 ± 11.93  | 416.6 ± 11.93  |      2.206 ± 0.1627       |     2.835 ± 0.1501      |
| Bin24  | 216.9 ± 8.587  | 216.9 ± 8.587  |      1.583 ± 0.1378       |     1.993 ± 0.1258      |
| Bin25  | 111.5 ± 6.137  | 111.5 ± 6.137  |      1.211 ± 0.1205       |      1.43 ± 0.1066      |
| Bin26  | 30.07 ± 3.187  | 30.07 ± 3.187  |     0.3837 ± 0.06783      |    0.5003 ± 0.06304     |
| Bin27  |  4.73 ± 1.264  |  4.73 ± 1.264  |     0.09593 ± 0.03392     |    0.05559 ± 0.02101    |
| Bin28  |     0 ± 0      |     0 ± 0      |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin29  |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin30  |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin31  |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+----------------+----------------+---------------------------+-------------------------+
