+--------+--------------------+--------------------+---------------------------+-------------------------+
| Bin#   |       ttbar        |       Total        | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+--------------------+--------------------+---------------------------+-------------------------+
| Bin0   |   898.7 ± 17.51    |   898.7 ± 17.51    |      2.878 ± 0.1858       |      4.05 ± 0.1794      |
| Bin1   | 2.016e+04 ± 82.84  | 2.016e+04 ± 82.84  |       54.58 ± 0.809       |     125.3 ± 0.9976      |
| Bin2   |    2336 ± 28.24    |    2336 ± 28.24    |      3.465 ± 0.2038       |     11.71 ± 0.3049      |
| Bin3   |    1314 ± 21.16    |    1314 ± 21.16    |      1.763 ± 0.1454       |     6.671 ± 0.2302      |
| Bin4   |   810.8 ± 16.65    |   810.8 ± 16.65    |      1.355 ± 0.1275       |     4.432 ± 0.1876      |
| Bin5   |   542.6 ± 13.59    |   542.6 ± 13.59    |      0.9113 ± 0.1045      |     3.447 ± 0.1655      |
| Bin6   |   429.4 ± 12.12    |   429.4 ± 12.12    |     0.5636 ± 0.08221      |     2.621 ± 0.1443      |
| Bin7   |   321.3 ± 10.52    |   321.3 ± 10.52    |     0.6955 ± 0.09132      |     2.144 ± 0.1305      |
| Bin8   |   282.8 ± 9.797    |   282.8 ± 9.797    |     0.5396 ± 0.08044      |     1.739 ± 0.1175      |
| Bin9   |   232.1 ± 8.945    |   232.1 ± 8.945    |     0.4437 ± 0.07294      |      1.62 ± 0.1134      |
| Bin10  |   219.6 ± 8.666    |   219.6 ± 8.666    |     0.3837 ± 0.06783      |     1.326 ± 0.1026      |
| Bin11  |   208.4 ± 8.473    |   208.4 ± 8.473    |     0.4317 ± 0.07195      |     1.422 ± 0.1063      |
| Bin12  |   181.4 ± 7.887    |   181.4 ± 7.887    |     0.2398 ± 0.05363      |     1.136 ± 0.09497     |
| Bin13  |   167.6 ± 7.554    |   167.6 ± 7.554    |     0.2758 ± 0.05751      |     1.318 ± 0.1023      |
| Bin14  |   170.9 ± 7.615    |   170.9 ± 7.615    |     0.2758 ± 0.05751      |    0.9848 ± 0.08844     |
| Bin15  |   155.4 ± 7.293    |   155.4 ± 7.293    |     0.2878 ± 0.05874      |     1.017 ± 0.08985     |
| Bin16  |   142.9 ± 6.997    |   142.9 ± 6.997    |     0.1799 ± 0.04644      |    0.8816 ± 0.08367     |
| Bin17  |   138.9 ± 6.866    |   138.9 ± 6.866    |     0.2518 ± 0.05495      |    0.9292 ± 0.08591     |
| Bin18  |   136.5 ± 6.841    |   136.5 ± 6.841    |     0.3837 ± 0.06783      |      1.04 ± 0.0909      |
| Bin19  |   138.5 ± 6.891    |   138.5 ± 6.891    |     0.2038 ± 0.04944      |    0.9769 ± 0.08808     |
| Bin20  |   137.8 ± 6.841    |   137.8 ± 6.841    |     0.2878 ± 0.05874      |    0.9213 ± 0.08554     |
| Bin21  |   137.8 ± 6.824    |   137.8 ± 6.824    |     0.2638 ± 0.05624      |     1.001 ± 0.08915     |
| Bin22  |   137.5 ± 6.832    |   137.5 ± 6.832    |     0.2518 ± 0.05495      |    0.9372 ± 0.08627     |
| Bin23  |   136.8 ± 6.816    |   136.8 ± 6.816    |     0.3118 ± 0.06114      |     1.136 ± 0.09497     |
| Bin24  |   146.6 ± 7.038    |   146.6 ± 7.038    |     0.2158 ± 0.05087      |     1.183 ± 0.09694     |
| Bin25  |   138.9 ± 6.882    |   138.9 ± 6.882    |     0.2878 ± 0.05874      |     1.072 ± 0.09228     |
| Bin26  |   143.6 ± 6.997    |   143.6 ± 6.997    |     0.1679 ± 0.04487      |     1.302 ± 0.1017      |
| Bin27  |   140.2 ± 6.899    |   140.2 ± 6.899    |     0.3358 ± 0.06345      |      1.58 ± 0.112       |
| Bin28  |   140.5 ± 6.924    |   140.5 ± 6.924    |     0.3837 ± 0.06783      |     2.136 ± 0.1303      |
| Bin29  |   155.7 ± 7.254    |   155.7 ± 7.254    |     0.3717 ± 0.06676      |     3.272 ± 0.1612      |
| Bin30  |   209.1 ± 8.419    |   209.1 ± 8.419    |      5.756 ± 0.2627       |      30.8 ± 0.4946      |
| Bin31  |       0 ± 0        |       0 ± 0        |           0 ± 0           |          0 ± 0          |
+--------+--------------------+--------------------+---------------------------+-------------------------+
