+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   | 14.53 ± 2.215  | 14.53 ± 2.215  |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin1   |  6456 ± 46.86  |  6456 ± 46.86  |      17.36 ± 0.4563       |     28.51 ± 0.4759      |
| Bin2   |  1676 ± 23.92  |  1676 ± 23.92  |      2.866 ± 0.1854       |     6.647 ± 0.2298      |
| Bin3   |  1029 ± 18.73  |  1029 ± 18.73  |      1.463 ± 0.1324       |     4.289 ± 0.1846      |
| Bin4   |  667.2 ± 15.1  |  667.2 ± 15.1  |      1.175 ± 0.1187       |      2.796 ± 0.149      |
| Bin5   | 461.8 ± 12.52  | 461.8 ± 12.52  |     0.7315 ± 0.09365      |     2.232 ± 0.1331      |
| Bin6   |  374 ± 11.31   |  374 ± 11.31   |     0.5036 ± 0.07771      |     1.803 ± 0.1197      |
| Bin7   | 288.2 ± 9.959  | 288.2 ± 9.959  |     0.6475 ± 0.08812      |     1.445 ± 0.1071      |
| Bin8   | 253.4 ± 9.277  | 253.4 ± 9.277  |     0.5276 ± 0.07954      |     1.231 ± 0.09888     |
| Bin9   |  208.8 ± 8.48  |  208.8 ± 8.48  |     0.3957 ± 0.06888      |     1.175 ± 0.09662     |
| Bin10  |  199 ± 8.241   |  199 ± 8.241   |     0.3597 ± 0.06568      |    0.9689 ± 0.08772     |
| Bin11  |  192.6 ± 8.15  |  192.6 ± 8.15  |     0.3837 ± 0.06783      |    0.9848 ± 0.08844     |
| Bin12  |  170.3 ± 7.63  |  170.3 ± 7.63  |     0.2278 ± 0.05227      |     0.818 ± 0.0806      |
| Bin13  | 156.1 ± 7.293  | 156.1 ± 7.293  |     0.2278 ± 0.05227      |     1.017 ± 0.08985     |
| Bin14  | 161.5 ± 7.386  | 161.5 ± 7.386  |     0.2758 ± 0.05751      |    0.7148 ± 0.07534     |
| Bin15  |  148 ± 7.119   |  148 ± 7.119   |     0.2398 ± 0.05363      |    0.8339 ± 0.08138     |
| Bin16  | 135.8 ± 6.824  | 135.8 ± 6.824  |     0.1799 ± 0.04644      |     0.691 ± 0.07408     |
| Bin17  | 132.8 ± 6.714  | 132.8 ± 6.714  |     0.2398 ± 0.05363      |     0.6989 ± 0.0745     |
| Bin18  |  132.4 ± 6.74  |  132.4 ± 6.74  |     0.3717 ± 0.06676      |     0.818 ± 0.0806      |
| Bin19  | 133.4 ± 6.765  | 133.4 ± 6.765  |     0.1919 ± 0.04796      |    0.7783 ± 0.07862     |
| Bin20  | 133.1 ± 6.723  | 133.1 ± 6.723  |     0.2758 ± 0.05751      |     0.7465 ± 0.077      |
| Bin21  | 136.5 ± 6.791  | 136.5 ± 6.791  |     0.2518 ± 0.05495      |    0.7942 ± 0.07942     |
| Bin22  | 134.5 ± 6.757  | 134.5 ± 6.757  |     0.2518 ± 0.05495      |     0.826 ± 0.08099     |
| Bin23  | 133.1 ± 6.723  | 133.1 ± 6.723  |     0.3118 ± 0.06114      |    0.9213 ± 0.08554     |
| Bin24  | 144.3 ± 6.981  | 144.3 ± 6.981  |     0.2038 ± 0.04944      |      1.04 ± 0.0909      |
| Bin25  | 137.2 ± 6.841  | 137.2 ± 6.841  |     0.2758 ± 0.05751      |     0.9054 ± 0.0848     |
| Bin26  | 140.9 ± 6.932  | 140.9 ± 6.932  |     0.1679 ± 0.04487      |     1.136 ± 0.09497     |
| Bin27  | 139.5 ± 6.882  | 139.5 ± 6.882  |     0.3358 ± 0.06345      |      1.469 ± 0.108      |
| Bin28  | 139.9 ± 6.907  | 139.9 ± 6.907  |     0.3837 ± 0.06783      |     2.001 ± 0.1261      |
| Bin29  | 155.4 ± 7.246  | 155.4 ± 7.246  |     0.3597 ± 0.06568      |     3.042 ± 0.1554      |
| Bin30  | 208.1 ± 8.399  | 208.1 ± 8.399  |      5.756 ± 0.2627       |     30.67 ± 0.4936      |
| Bin31  |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+----------------+----------------+---------------------------+-------------------------+
