+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   | 42.23 ± 3.777  | 42.23 ± 3.777  |     0.6475 ± 0.08812      |    0.2859 ± 0.04765     |
| Bin2   | 106.8 ± 6.006  | 106.8 ± 6.006  |      1.055 ± 0.1125       |    0.8657 ± 0.08292     |
| Bin3   |  216.9 ± 8.56  |  216.9 ± 8.56  |      1.703 ± 0.1429       |     1.318 ± 0.1023      |
| Bin4   | 267.6 ± 9.556  | 267.6 ± 9.556  |      2.206 ± 0.1627       |     1.652 ± 0.1145      |
| Bin5   | 323.7 ± 10.47  | 323.7 ± 10.47  |      1.895 ± 0.1507       |     1.938 ± 0.1241      |
| Bin6   | 392.9 ± 11.52  | 392.9 ± 11.52  |      1.607 ± 0.1388       |      1.525 ± 0.11       |
| Bin7   | 485.1 ± 12.85  | 485.1 ± 12.85  |      1.463 ± 0.1324       |     1.501 ± 0.1092      |
| Bin8   | 554.7 ± 13.73  | 554.7 ± 13.73  |      1.223 ± 0.1211       |     1.279 ± 0.1008      |
| Bin9   | 662.5 ± 14.99  | 662.5 ± 14.99  |      0.8993 ± 0.1038      |     1.549 ± 0.1109      |
| Bin10  | 743.9 ± 15.93  | 743.9 ± 15.93  |     0.7554 ± 0.09518      |     3.161 ± 0.1584      |
| Bin11  |  820.6 ± 16.7  |  820.6 ± 16.7  |      1.583 ± 0.1378       |     68.62 ± 0.7382      |
| Bin12  | 850.3 ± 16.98  | 850.3 ± 16.98  |      0.8754 ± 0.1025      |     31.64 ± 0.5013      |
| Bin13  | 841.6 ± 16.88  | 841.6 ± 16.88  |     0.5396 ± 0.08044      |    0.3494 ± 0.05268     |
| Bin14  | 791.2 ± 16.38  | 791.2 ± 16.38  |     0.5876 ± 0.08394      |    0.1985 ± 0.03971     |
| Bin15  | 713.9 ± 15.58  | 713.9 ± 15.58  |     0.6115 ± 0.08563      |    0.3733 ± 0.05445     |
| Bin16  | 697.3 ± 15.44  | 697.3 ± 15.44  |     0.8154 ± 0.09888      |    0.2621 ± 0.04562     |
| Bin17  | 615.5 ± 14.44  | 615.5 ± 14.44  |     0.4916 ± 0.07678      |    0.1271 ± 0.03177     |
| Bin18  | 580.4 ± 14.04  | 580.4 ± 14.04  |     0.3837 ± 0.06783      |    0.1191 ± 0.03076     |
| Bin19  | 501.4 ± 13.08  | 501.4 ± 13.08  |     0.4677 ± 0.07488      |    0.1032 ± 0.02864     |
| Bin20  | 465.9 ± 12.58  | 465.9 ± 12.58  |     0.3717 ± 0.06676      |    0.08736 ± 0.02634    |
| Bin21  | 425.7 ± 12.06  | 425.7 ± 12.06  |     0.4197 ± 0.07094      |    0.06354 ± 0.02246    |
| Bin22  | 357.8 ± 11.09  | 357.8 ± 11.09  |     0.3957 ± 0.06888      |    0.07942 ± 0.02511    |
| Bin23  | 332.8 ± 10.64  | 332.8 ± 10.64  |     0.3597 ± 0.06568      |    0.1509 ± 0.03462     |
| Bin24  | 302.7 ± 10.19  | 302.7 ± 10.19  |     0.4916 ± 0.07678      |    0.1668 ± 0.03639     |
| Bin25  | 275.3 ± 9.716  | 275.3 ± 9.716  |     0.3957 ± 0.06888      |    0.1112 ± 0.02972     |
| Bin26  | 220.9 ± 8.679  | 220.9 ± 8.679  |     0.3717 ± 0.06676      |     0.135 ± 0.03275     |
| Bin27  | 194.9 ± 8.227  | 194.9 ± 8.227  |     0.5516 ± 0.08133      |    0.07942 ± 0.02511    |
| Bin28  | 167.9 ± 7.637  | 167.9 ± 7.637  |     0.3597 ± 0.06568      |    0.05559 ± 0.02101    |
| Bin29  | 180.1 ± 7.829  | 180.1 ± 7.829  |     0.3477 ± 0.06457      |    0.1112 ± 0.02972     |
| Bin30  | 146.3 ± 7.095  | 146.3 ± 7.095  |     0.4197 ± 0.07094      |    0.1032 ± 0.02864     |
| Bin31  |  1382 ± 21.8   |  1382 ± 21.8   |      14.05 ± 0.4105       |     3.796 ± 0.1736      |
+--------+----------------+----------------+---------------------------+-------------------------+
