+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |  3618 ± 35.13  |  3618 ± 35.13  |      3.178 ± 0.1952       |      5.766 ± 0.214      |
| Bin1   |  2903 ± 31.49  |  2903 ± 31.49  |      4.641 ± 0.2359       |     11.36 ± 0.3003      |
| Bin2   |  1311 ± 21.12  |  1311 ± 21.12  |      1.319 ± 0.1258       |     3.796 ± 0.1736      |
| Bin3   | 656.8 ± 14.97  | 656.8 ± 14.97  |     0.5996 ± 0.08479      |     1.938 ± 0.1241      |
| Bin4   | 510.1 ± 13.16  | 510.1 ± 13.16  |     0.5636 ± 0.08221      |     1.16 ± 0.09596      |
| Bin5   | 435.1 ± 12.19  | 435.1 ± 12.19  |     0.3477 ± 0.06457      |     1.287 ± 0.1011      |
| Bin6   |  423 ± 11.98   |  423 ± 11.98   |     0.4796 ± 0.07584      |     1.048 ± 0.09125     |
| Bin7   | 427.7 ± 12.05  | 427.7 ± 12.05  |     0.3957 ± 0.06888      |     1.271 ± 0.1005      |
| Bin8   | 447.6 ± 12.33  | 447.6 ± 12.33  |     0.6475 ± 0.08812      |     1.342 ± 0.1032      |
| Bin9   | 485.8 ± 12.85  | 485.8 ± 12.85  |     0.7315 ± 0.09365      |     1.644 ± 0.1143      |
| Bin10  | 481.1 ± 12.78  | 481.1 ± 12.78  |      1.031 ± 0.1112       |     2.176 ± 0.1315      |
| Bin11  | 458.1 ± 12.49  | 458.1 ± 12.49  |      1.655 ± 0.1409       |     3.741 ± 0.1724      |
| Bin12  | 442.6 ± 12.27  | 442.6 ± 12.27  |      4.101 ± 0.2218       |     6.957 ± 0.2351      |
| Bin13  | 377.7 ± 11.37  | 377.7 ± 11.37  |      4.533 ± 0.2331       |     8.546 ± 0.2605      |
| Bin14  | 323.7 ± 10.48  | 323.7 ± 10.48  |      3.178 ± 0.1952       |     7.362 ± 0.2418      |
| Bin15  |  262.8 ± 9.46  |  262.8 ± 9.46  |      1.571 ± 0.1372       |     5.123 ± 0.2017      |
| Bin16  |  214.9 ± 8.52  |  214.9 ± 8.52  |      1.199 ± 0.1199       |     5.194 ± 0.2031      |
| Bin17  | 167.9 ± 7.532  | 167.9 ± 7.532  |      1.139 ± 0.1169       |     5.901 ± 0.2165      |
| Bin18  | 127.4 ± 6.594  | 127.4 ± 6.594  |      1.499 ± 0.1341       |     6.767 ± 0.2318      |
| Bin19  | 116.6 ± 6.275  | 116.6 ± 6.275  |      1.391 ± 0.1291       |     7.148 ± 0.2383      |
| Bin20  | 73.65 ± 4.988  | 73.65 ± 4.988  |      1.151 ± 0.1175       |     5.575 ± 0.2104      |
| Bin21  | 75.68 ± 5.101  | 75.68 ± 5.101  |     0.6235 ± 0.08647      |     3.018 ± 0.1548      |
| Bin22  | 54.73 ± 4.326  | 54.73 ± 4.326  |     0.4197 ± 0.07094      |      1.469 ± 0.108      |
| Bin23  | 32.09 ± 3.293  | 32.09 ± 3.293  |     0.05996 ± 0.02681     |    0.5321 ± 0.06501     |
| Bin24  |  27.7 ± 3.096  |  27.7 ± 3.096  |     0.04796 ± 0.02398     |     0.2065 ± 0.0405     |
| Bin25  | 24.66 ± 2.887  | 24.66 ± 2.887  |     0.05996 ± 0.02681     |     0.143 ± 0.03369     |
| Bin26  | 16.55 ± 2.365  | 16.55 ± 2.365  |     0.05996 ± 0.02681     |    0.1271 ± 0.03177     |
| Bin27  | 13.85 ± 2.163  | 13.85 ± 2.163  |     0.02398 ± 0.01696     |    0.1509 ± 0.03462     |
| Bin28  | 12.16 ± 2.083  | 12.16 ± 2.083  |     0.01199 ± 0.01199     |     0.143 ± 0.03369     |
| Bin29  | 11.82 ± 1.999  | 11.82 ± 1.999  |     0.05996 ± 0.02681     |    0.08736 ± 0.02634    |
| Bin30  | 6.419 ± 1.473  | 6.419 ± 1.473  |     0.02398 ± 0.01696     |    0.07942 ± 0.02511    |
| Bin31  | 53.04 ± 4.233  | 53.04 ± 4.233  |     0.2038 ± 0.04944      |    0.9848 ± 0.08844     |
+--------+----------------+----------------+---------------------------+-------------------------+
