+--------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |      ttbar       |      Total       | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |   3366 ± 33.91   |   3366 ± 33.91   |      1.787 ± 0.1464       |     1.422 ± 0.1063      |
| Bin2   |   5986 ± 45.14   |   5986 ± 45.14   |      5.828 ± 0.2644       |     5.019 ± 0.1997      |
| Bin3   |   3055 ± 32.22   |   3055 ± 32.22   |       6.02 ± 0.2687       |     7.775 ± 0.2485      |
| Bin4   |   1295 ± 20.98   |   1295 ± 20.98   |      5.684 ± 0.2611       |     9.379 ± 0.2729      |
| Bin5   |  542.9 ± 13.63   |  542.9 ± 13.63   |      4.485 ± 0.2319       |     9.149 ± 0.2696      |
| Bin6   |   231.8 ± 8.9    |   231.8 ± 8.9    |      3.441 ± 0.2031       |     9.856 ± 0.2798      |
| Bin7   |  97.64 ± 5.743   |  97.64 ± 5.743   |      2.722 ± 0.1807       |     8.879 ± 0.2656      |
| Bin8   |  43.24 ± 3.822   |  43.24 ± 3.822   |      1.883 ± 0.1502       |      8.776 ± 0.264      |
| Bin9   |  19.59 ± 2.573   |  19.59 ± 2.573   |      1.523 ± 0.1351       |     7.958 ± 0.2514      |
| Bin10  |  11.15 ± 1.941   |  11.15 ± 1.941   |      1.235 ± 0.1217       |      7.37 ± 0.2419      |
| Bin11  |  7.095 ± 1.548   |  7.095 ± 1.548   |     0.6955 ± 0.09132      |     6.528 ± 0.2277      |
| Bin12  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |     0.6595 ± 0.08893      |     6.155 ± 0.2211      |
| Bin13  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.6235 ± 0.08647      |     5.528 ± 0.2095      |
| Bin14  |      0 ± 0       |      0 ± 0       |     0.4077 ± 0.06992      |     4.781 ± 0.1949      |
| Bin15  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.3957 ± 0.06888      |     3.876 ± 0.1754      |
| Bin16  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.2638 ± 0.05624      |     3.558 ± 0.1681      |
| Bin17  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.1919 ± 0.04796      |     2.557 ± 0.1425      |
| Bin18  |      0 ± 0       |      0 ± 0       |     0.1559 ± 0.04323      |     2.232 ± 0.1331      |
| Bin19  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.07195 ± 0.02937     |     2.017 ± 0.1266      |
| Bin20  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.05996 ± 0.02681     |      1.66 ± 0.1148      |
| Bin21  |      0 ± 0       |      0 ± 0       |     0.05996 ± 0.02681     |     1.366 ± 0.1042      |
| Bin22  |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |     1.112 ± 0.09397     |
| Bin23  |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |     1.088 ± 0.09296     |
| Bin24  |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |     0.683 ± 0.07365     |
| Bin25  |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |    0.7863 ± 0.07902     |
| Bin26  |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.4765 ± 0.06152     |
| Bin27  |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.4527 ± 0.05996     |
| Bin28  |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |    0.2303 ± 0.04277     |
| Bin29  |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.2303 ± 0.04277     |
| Bin30  |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1588 ± 0.03552     |
| Bin31  |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |     0.7465 ± 0.077      |
+--------+------------------+------------------+---------------------------+-------------------------+
