+--------+-----------------+-----------------+---------------------------+-------------------------+
| Bin#   |      ttbar      |      Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+-----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin3   |  2978 ± 31.85   |  2978 ± 31.85   |      1.751 ± 0.1449       |     2.176 ± 0.1315      |
| Bin4   |  3209 ± 33.08   |  3209 ± 33.08   |      2.566 ± 0.1754       |     3.201 ± 0.1594      |
| Bin5   |  2504 ± 29.16   |  2504 ± 29.16   |       2.53 ± 0.1742       |      3.185 ± 0.159      |
| Bin6   |  1799 ± 24.73   |  1799 ± 24.73   |      2.374 ± 0.1687       |     4.098 ± 0.1804      |
| Bin7   |  1210 ± 20.29   |  1210 ± 20.29   |      2.518 ± 0.1738       |     4.352 ± 0.1859      |
| Bin8   |  848.7 ± 16.97  |  848.7 ± 16.97  |       2.11 ± 0.1591       |      4.13 ± 0.1811      |
| Bin9   |  589.5 ± 14.19  |  589.5 ± 14.19  |      1.991 ± 0.1545       |     4.114 ± 0.1808      |
| Bin10  |  408.5 ± 11.81  |  408.5 ± 11.81  |      1.835 ± 0.1483       |      4.59 ± 0.1909      |
| Bin11  |  286.5 ± 9.976  |  286.5 ± 9.976  |      1.871 ± 0.1498       |      4.17 ± 0.182       |
| Bin12  |  204.4 ± 8.337  |  204.4 ± 8.337  |      1.583 ± 0.1378       |     4.559 ± 0.1903      |
| Bin13  |  157.8 ± 7.363  |  157.8 ± 7.363  |      1.595 ± 0.1383       |     4.511 ± 0.1893      |
| Bin14  |  102.4 ± 5.939  |  102.4 ± 5.939  |      1.391 ± 0.1291       |     4.312 ± 0.1851      |
| Bin15  |  83.78 ± 5.342  |  83.78 ± 5.342  |      1.019 ± 0.1106       |     4.432 ± 0.1876      |
| Bin16  |  65.88 ± 4.79   |  65.88 ± 4.79   |      1.115 ± 0.1156       |     3.828 ± 0.1744      |
| Bin17  |  52.03 ± 4.22   |  52.03 ± 4.22   |      0.9713 ± 0.1079      |     3.629 ± 0.1698      |
| Bin18  |  40.54 ± 3.732  |  40.54 ± 3.732  |      0.8634 ± 0.1017      |     3.669 ± 0.1707      |
| Bin19  |  27.03 ± 3.022  |  27.03 ± 3.022  |     0.6475 ± 0.08812      |     3.693 ± 0.1713      |
| Bin20  |  21.28 ± 2.724  |  21.28 ± 2.724  |     0.7435 ± 0.09442      |      3.264 ± 0.161      |
| Bin21  |  17.23 ± 2.413  |  17.23 ± 2.413  |     0.6475 ± 0.08812      |      2.946 ± 0.153      |
| Bin22  |  13.18 ± 2.11   |  13.18 ± 2.11   |     0.8034 ± 0.09815      |     3.701 ± 0.1714      |
| Bin23  |  11.15 ± 1.941  |  11.15 ± 1.941  |     0.6955 ± 0.09132      |     3.161 ± 0.1584      |
| Bin24  | 2.703 ± 0.9556  | 2.703 ± 0.9556  |      0.6355 ± 0.0873      |     2.764 ± 0.1482      |
| Bin25  |  2.365 ± 1.014  |  2.365 ± 1.014  |     0.4197 ± 0.07094      |      2.43 ± 0.1389      |
| Bin26  |  5.068 ± 1.308  |  5.068 ± 1.308  |     0.5156 ± 0.07863      |     2.565 ± 0.1427      |
| Bin27  |  5.405 ± 1.351  |  5.405 ± 1.351  |     0.3358 ± 0.06345      |      2.24 ± 0.1334      |
| Bin28  |  3.378 ± 1.068  |  3.378 ± 1.068  |     0.2878 ± 0.05874      |     2.136 ± 0.1303      |
| Bin29  |  3.378 ± 1.068  |  3.378 ± 1.068  |     0.3717 ± 0.06676      |     2.208 ± 0.1324      |
| Bin30  | 1.351 ± 0.6757  | 1.351 ± 0.6757  |     0.5396 ± 0.08044      |     2.256 ± 0.1338      |
| Bin31  |  7.095 ± 1.548  |  7.095 ± 1.548  |      3.621 ± 0.2084       |     25.49 ± 0.4499      |
+--------+-----------------+-----------------+---------------------------+-------------------------+
