+--------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |      ttbar       |      Total       | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |   4718 ± 40.08   |   4718 ± 40.08   |       5.6 ± 0.2591        |     10.06 ± 0.2827      |
| Bin3   |   5611 ± 43.72   |   5611 ± 43.72   |      8.226 ± 0.3141       |      16.8 ± 0.3652      |
| Bin4   |   2403 ± 28.6    |   2403 ± 28.6    |       5.24 ± 0.2507       |     13.68 ± 0.3296      |
| Bin5   |   1024 ± 18.72   |   1024 ± 18.72   |       4.221 ± 0.225       |     11.39 ± 0.3007      |
| Bin6   |  453.4 ± 12.39   |  453.4 ± 12.39   |      2.998 ± 0.1896       |     10.25 ± 0.2852      |
| Bin7   |  219.6 ± 8.627   |  219.6 ± 8.627   |      2.398 ± 0.1696       |      8.125 ± 0.254      |
| Bin8   |   103 ± 5.939    |   103 ± 5.939    |      1.655 ± 0.1409       |     6.949 ± 0.2349      |
| Bin9   |   53.72 ± 4.26   |   53.72 ± 4.26   |      1.535 ± 0.1357       |     6.925 ± 0.2345      |
| Bin10  |  31.08 ± 3.275   |  31.08 ± 3.275   |      0.9833 ± 0.1086      |     5.536 ± 0.2097      |
| Bin11  |  13.51 ± 2.189   |  13.51 ± 2.189   |     0.7674 ± 0.09593      |     4.146 ± 0.1815      |
| Bin12  |  14.87 ± 2.241   |  14.87 ± 2.241   |     0.6715 ± 0.08973      |     3.804 ± 0.1738      |
| Bin13  |  6.081 ± 1.433   |  6.081 ± 1.433   |     0.7674 ± 0.09593      |     3.002 ± 0.1544      |
| Bin14  |  5.743 ± 1.393   |  5.743 ± 1.393   |     0.5756 ± 0.08308      |      3.01 ± 0.1546      |
| Bin15  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.3477 ± 0.06457      |     2.851 ± 0.1505      |
| Bin16  |  1.351 ± 0.8275  |  1.351 ± 0.8275  |     0.2398 ± 0.05363      |     2.176 ± 0.1315      |
| Bin17  |      0 ± 0       |      0 ± 0       |     0.2758 ± 0.05751      |     2.184 ± 0.1317      |
| Bin18  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.3957 ± 0.06888      |     1.366 ± 0.1042      |
| Bin19  |      0 ± 0       |      0 ± 0       |     0.2038 ± 0.04944      |     1.437 ± 0.1068      |
| Bin20  |      0 ± 0       |      0 ± 0       |     0.1919 ± 0.04796      |     1.199 ± 0.09759     |
| Bin21  |      0 ± 0       |      0 ± 0       |     0.1559 ± 0.04323      |    0.9213 ± 0.08554     |
| Bin22  |      0 ± 0       |      0 ± 0       |     0.1679 ± 0.04487      |     1.056 ± 0.09159     |
| Bin23  |      0 ± 0       |      0 ± 0       |     0.1559 ± 0.04323      |     0.6989 ± 0.0745     |
| Bin24  |      0 ± 0       |      0 ± 0       |     0.1079 ± 0.03597      |     0.691 ± 0.07408     |
| Bin25  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.08394 ± 0.03173     |    0.5321 ± 0.06501     |
| Bin26  |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |    0.4448 ± 0.05943     |
| Bin27  |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |    0.3733 ± 0.05445     |
| Bin28  |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |    0.2541 ± 0.04493     |
| Bin29  |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |     0.27 ± 0.04631      |
| Bin30  |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |    0.2303 ± 0.04277     |
| Bin31  |      0 ± 0       |      0 ± 0       |     0.2038 ± 0.04944      |     1.453 ± 0.1074      |
+--------+------------------+------------------+---------------------------+-------------------------+
