+--------+-----------------+-----------------+---------------------------+-------------------------+
| Bin#   |      ttbar      |      Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+-----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |  412.2 ± 11.86  |  412.2 ± 11.86  |      1.151 ± 0.1175       |     2.565 ± 0.1427      |
| Bin3   |  2520 ± 29.29   |  2520 ± 29.29   |      7.195 ± 0.2937       |     18.29 ± 0.3811      |
| Bin4   |  2461 ± 28.94   |  2461 ± 28.94   |        7.506 ± 0.3        |      20.3 ± 0.4015      |
| Bin5   |  2169 ± 27.17   |  2169 ± 27.17   |       5.552 ± 0.258       |     17.07 ± 0.3682      |
| Bin6   |  1787 ± 24.71   |  1787 ± 24.71   |       4.844 ± 0.241       |     13.35 ± 0.3256      |
| Bin7   |  1463 ± 22.31   |  1463 ± 22.31   |      3.405 ± 0.2021       |     10.55 ± 0.2894      |
| Bin8   |  1127 ± 19.59   |  1127 ± 19.59   |       2.95 ± 0.1881       |     7.728 ± 0.2477      |
| Bin9   |  895.6 ± 17.47  |  895.6 ± 17.47  |      1.895 ± 0.1507       |     5.964 ± 0.2176      |
| Bin10  |  519.9 ± 13.3   |  519.9 ± 13.3   |      1.307 ± 0.1252       |     3.645 ± 0.1702      |
| Bin11  |  232.1 ± 8.881  |  232.1 ± 8.881  |     0.2278 ± 0.05227      |    0.7386 ± 0.07659     |
| Bin12  |  177.7 ± 7.778  |  177.7 ± 7.778  |     0.1319 ± 0.03977      |    0.2144 ± 0.04127     |
| Bin13  |  156.4 ± 7.285  |  156.4 ± 7.285  |     0.1079 ± 0.03597      |    0.1588 ± 0.03552     |
| Bin14  |   126 ± 6.542   |   126 ± 6.542   |     0.09593 ± 0.03392     |     0.135 ± 0.03275     |
| Bin15  |  105.4 ± 6.044  |  105.4 ± 6.044  |     0.08394 ± 0.03173     |     0.143 ± 0.03369     |
| Bin16  |  86.49 ± 5.405  |  86.49 ± 5.405  |     0.02398 ± 0.01696     |    0.08736 ± 0.02634    |
| Bin17  |  75.34 ± 5.068  |  75.34 ± 5.068  |     0.04796 ± 0.02398     |    0.05559 ± 0.02101    |
| Bin18  |   52.7 ± 4.3    |   52.7 ± 4.3    |     0.01199 ± 0.01199     |    0.07942 ± 0.02511    |
| Bin19  |  42.57 ± 3.792  |  42.57 ± 3.792  |     0.02398 ± 0.01696     |    0.08736 ± 0.02634    |
| Bin20  |  42.57 ± 3.822  |  42.57 ± 3.822  |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin21  |  28.72 ± 3.151  |  28.72 ± 3.151  |     0.05996 ± 0.02681     |    0.04765 ± 0.01945    |
| Bin22  |  16.55 ± 2.365  |  16.55 ± 2.365  |     0.02398 ± 0.01696     |    0.04765 ± 0.01945    |
| Bin23  |  24.32 ± 2.867  |  24.32 ± 2.867  |     0.04796 ± 0.02398     |    0.03177 ± 0.01588    |
| Bin24  |  14.53 ± 2.215  |  14.53 ± 2.215  |     0.02398 ± 0.01696     |    0.06354 ± 0.02246    |
| Bin25  |  13.85 ± 2.163  |  13.85 ± 2.163  |     0.03597 ± 0.02077     |    0.03177 ± 0.01588    |
| Bin26  |  9.122 ± 1.755  |  9.122 ± 1.755  |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin27  |  9.46 ± 1.788   |  9.46 ± 1.788   |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin28  |  5.405 ± 1.351  |  5.405 ± 1.351  |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin29  |  3.378 ± 1.068  |  3.378 ± 1.068  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin30  | 2.365 ± 0.8938  | 2.365 ± 0.8938  |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin31  |  14.19 ± 2.241  |  14.19 ± 2.241  |     0.1799 ± 0.04644      |    0.4527 ± 0.05996     |
+--------+-----------------+-----------------+---------------------------+-------------------------+
