+--------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |      ttbar       |      Total       | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |   1915 ± 25.52   |   1915 ± 25.52   |      4.005 ± 0.2191       |     12.88 ± 0.3199      |
| Bin3   |   5297 ± 42.47   |   5297 ± 42.47   |      13.92 ± 0.4086       |     39.96 ± 0.5634      |
| Bin4   |   2627 ± 29.92   |   2627 ± 29.92   |       7.53 ± 0.3005       |     21.41 ± 0.4124      |
| Bin5   |   1570 ± 23.13   |   1570 ± 23.13   |       4.221 ± 0.225       |      11.94 ± 0.308      |
| Bin6   |   1047 ± 18.88   |   1047 ± 18.88   |        3.01 ± 0.19        |     6.234 ± 0.2225      |
| Bin7   |  705.4 ± 15.51   |  705.4 ± 15.51   |      1.451 ± 0.1319       |     4.162 ± 0.1818      |
| Bin8   |  493.6 ± 13.02   |  493.6 ± 13.02   |      1.379 ± 0.1286       |      2.43 ± 0.1389      |
| Bin9   |  343.2 ± 10.82   |  343.2 ± 10.82   |     0.8034 ± 0.09815      |      1.525 ± 0.11       |
| Bin10  |  192.2 ± 8.073   |  192.2 ± 8.073   |     0.3837 ± 0.06783      |    0.9292 ± 0.08591     |
| Bin11  |   77.7 ± 5.124   |   77.7 ± 5.124   |     0.02398 ± 0.01696     |    0.1985 ± 0.03971     |
| Bin12  |  61.15 ± 4.545   |  61.15 ± 4.545   |     0.01199 ± 0.01199     |    0.05559 ± 0.02101    |
| Bin13  |  46.96 ± 4.012   |  46.96 ± 4.012   |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin14  |  40.54 ± 3.732   |  40.54 ± 3.732   |     0.02398 ± 0.01696     |    0.01588 ± 0.01123    |
| Bin15  |  32.77 ± 3.395   |  32.77 ± 3.395   |     0.02398 ± 0.01696     |    0.03177 ± 0.01588    |
| Bin16  |  28.72 ± 3.115   |  28.72 ± 3.115   |     0.01199 ± 0.01199     |          0 ± 0          |
| Bin17  |  26.01 ± 2.965   |  26.01 ± 2.965   |     0.02398 ± 0.01696     |    0.01588 ± 0.01123    |
| Bin18  |  21.28 ± 2.682   |  21.28 ± 2.682   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin19  |   11.49 ± 1.97   |   11.49 ± 1.97   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin20  |  14.53 ± 2.266   |  14.53 ± 2.266   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin21  |  9.122 ± 1.755   |  9.122 ± 1.755   |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin22  |  4.392 ± 1.218   |  4.392 ± 1.218   |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin23  |  6.081 ± 1.433   |  6.081 ± 1.433   |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin24  |   3.716 ± 1.12   |   3.716 ± 1.12   |     0.01199 ± 0.01199     |   0.007942 ± 0.007942   |
| Bin25  |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin26  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |           0 ± 0           |          0 ± 0          |
| Bin27  |  3.041 ± 1.014   |  3.041 ± 1.014   |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin28  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin29  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |          0 ± 0          |
| Bin30  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin31  |  6.081 ± 1.433   |  6.081 ± 1.433   |     0.02398 ± 0.01696     |    0.1112 ± 0.02972     |
+--------+------------------+------------------+---------------------------+-------------------------+
