+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin3   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin4   |  2135 ± 26.97  |  2135 ± 26.97  |      6.403 ± 0.2771       |     17.28 ± 0.3705      |
| Bin5   |  1815 ± 24.84  |  1815 ± 24.84  |      5.312 ± 0.2524       |      14.64 ± 0.341      |
| Bin6   |  1596 ± 23.33  |  1596 ± 23.33  |      4.856 ± 0.2413       |     13.29 ± 0.3249      |
| Bin7   |  1397 ± 21.81  |  1397 ± 21.81  |      4.125 ± 0.2224       |       11 ± 0.2956       |
| Bin8   |  1217 ± 20.36  |  1217 ± 20.36  |      2.926 ± 0.1873       |     8.808 ± 0.2645      |
| Bin9   |  1033 ± 18.78  |  1033 ± 18.78  |      2.386 ± 0.1692       |     7.545 ± 0.2448      |
| Bin10  | 903.1 ± 17.57  | 903.1 ± 17.57  |       2.326 ± 0.167       |     5.893 ± 0.2163      |
| Bin11  | 779.4 ± 16.28  | 779.4 ± 16.28  |      1.967 ± 0.1536       |     5.131 ± 0.2019      |
| Bin12  | 664.2 ± 15.03  | 664.2 ± 15.03  |      1.343 ± 0.1269       |     4.487 ± 0.1888      |
| Bin13  | 580.4 ± 14.05  | 580.4 ± 14.05  |      1.511 ± 0.1346       |     3.582 ± 0.1687      |
| Bin14  | 501.7 ± 13.08  | 501.7 ± 13.08  |      0.9593 ± 0.1073      |     2.772 ± 0.1484      |
| Bin15  | 438.5 ± 12.24  | 438.5 ± 12.24  |     0.7554 ± 0.09518      |     2.486 ± 0.1405      |
| Bin16  |  299.3 ± 10.1  |  299.3 ± 10.1  |     0.6475 ± 0.08812      |     1.962 ± 0.1248      |
| Bin17  | 164.9 ± 7.478  | 164.9 ± 7.478  |     0.3358 ± 0.06345      |    0.8498 ± 0.08215     |
| Bin18  | 119.3 ± 6.347  | 119.3 ± 6.347  |     0.07195 ± 0.02937     |    0.3971 ± 0.05616     |
| Bin19  | 111.2 ± 6.146  | 111.2 ± 6.146  |     0.1799 ± 0.04644      |    0.1827 ± 0.03809     |
| Bin20  | 96.96 ± 5.743  | 96.96 ± 5.743  |     0.08394 ± 0.03173     |    0.1747 ± 0.03725     |
| Bin21  | 88.51 ± 5.489  | 88.51 ± 5.489  |     0.04796 ± 0.02398     |    0.03177 ± 0.01588    |
| Bin22  |  82.1 ± 5.266  |  82.1 ± 5.266  |     0.03597 ± 0.02077     |    0.08736 ± 0.02634    |
| Bin23  | 57.43 ± 4.405  | 57.43 ± 4.405  |     0.1079 ± 0.03597      |    0.08736 ± 0.02634    |
| Bin24  | 58.11 ± 4.482  | 58.11 ± 4.482  |     0.05996 ± 0.02681     |    0.07148 ± 0.02383    |
| Bin25  |  48.65 ± 4.11  |  48.65 ± 4.11  |     0.02398 ± 0.01696     |    0.07942 ± 0.02511    |
| Bin26  |  48.31 ± 4.04  |  48.31 ± 4.04  |     0.02398 ± 0.01696     |    0.05559 ± 0.02101    |
| Bin27  | 49.66 ± 4.096  | 49.66 ± 4.096  |     0.03597 ± 0.02077     |    0.02383 ± 0.01376    |
| Bin28  | 38.18 ± 3.623  | 38.18 ± 3.623  |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin29  | 34.46 ± 3.412  | 34.46 ± 3.412  |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin30  |  27.7 ± 3.133  |  27.7 ± 3.133  |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin31  | 207.8 ± 8.405  | 207.8 ± 8.405  |     0.3717 ± 0.06676      |    0.9927 ± 0.08879     |
+--------+----------------+----------------+---------------------------+-------------------------+
