+--------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |      ttbar       |      Total       | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |   1684 ± 23.98   |   1684 ± 23.98   |       3.25 ± 0.1974       |     4.551 ± 0.1901      |
| Bin4   |   5563 ± 43.57   |   5563 ± 43.57   |      12.06 ± 0.3803       |      20.6 ± 0.4045      |
| Bin5   |   2871 ± 31.26   |   2871 ± 31.26   |      6.247 ± 0.2737       |     12.41 ± 0.3139      |
| Bin6   |   1698 ± 24.04   |   1698 ± 24.04   |      3.621 ± 0.2084       |     9.832 ± 0.2794      |
| Bin7   |   1014 ± 18.55   |   1014 ± 18.55   |       2.134 ± 0.16        |      7.72 ± 0.2476      |
| Bin8   |  660.5 ± 14.98   |  660.5 ± 14.98   |      1.811 ± 0.1474       |     6.711 ± 0.2309      |
| Bin9   |  390.5 ± 11.51   |  390.5 ± 11.51   |      1.607 ± 0.1388       |     6.163 ± 0.2212      |
| Bin10  |  242.2 ± 9.084   |  242.2 ± 9.084   |      1.211 ± 0.1205       |     5.266 ± 0.2045      |
| Bin11  |  147.6 ± 7.062   |  147.6 ± 7.062   |      0.9473 ± 0.1066      |     4.551 ± 0.1901      |
| Bin12  |   102 ± 5.871    |   102 ± 5.871    |     0.7435 ± 0.09442      |     4.003 ± 0.1783      |
| Bin13  |  77.03 ± 5.124   |  77.03 ± 5.124   |     0.5876 ± 0.08394      |     3.256 ± 0.1608      |
| Bin14  |  51.01 ± 4.151   |  51.01 ± 4.151   |     0.3477 ± 0.06457      |     2.724 ± 0.1471      |
| Bin15  |  29.39 ± 3.187   |  29.39 ± 3.187   |     0.4437 ± 0.07294      |      2.2 ± 0.1322       |
| Bin16  |  18.92 ± 2.528   |  18.92 ± 2.528   |     0.3597 ± 0.06568      |     1.962 ± 0.1248      |
| Bin17  |  15.88 ± 2.316   |  15.88 ± 2.316   |     0.3957 ± 0.06888      |      1.636 ± 0.114      |
| Bin18  |  9.122 ± 1.755   |  9.122 ± 1.755   |     0.2158 ± 0.05087      |     1.422 ± 0.1063      |
| Bin19  |  6.419 ± 1.473   |  6.419 ± 1.473   |     0.1799 ± 0.04644      |     1.263 ± 0.1001      |
| Bin20  |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.1439 ± 0.04154      |     0.9054 ± 0.0848     |
| Bin21  |  5.068 ± 1.308   |  5.068 ± 1.308   |     0.1199 ± 0.03792      |    0.8021 ± 0.07982     |
| Bin22  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.08394 ± 0.03173     |    0.7545 ± 0.07741     |
| Bin23  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.1079 ± 0.03597      |    0.5956 ± 0.06878     |
| Bin24  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.08394 ± 0.03173     |     0.4368 ± 0.0589     |
| Bin25  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.05996 ± 0.02681     |    0.3971 ± 0.05616     |
| Bin26  |      0 ± 0       |      0 ± 0       |     0.08394 ± 0.03173     |    0.3574 ± 0.05328     |
| Bin27  |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.3097 ± 0.0496     |
| Bin28  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |    0.2462 ± 0.04422     |
| Bin29  |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.2303 ± 0.04277     |
| Bin30  |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1827 ± 0.03809     |
| Bin31  |      0 ± 0       |      0 ± 0       |     0.07195 ± 0.02937     |    0.5559 ± 0.06645     |
+--------+------------------+------------------+---------------------------+-------------------------+
