+--------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |      ttbar       |      Total       | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |   6259 ± 46.21   |   6259 ± 46.21   |      17.03 ± 0.4519       |     34.21 ± 0.5213      |
| Bin2   |  534.1 ± 13.52   |  534.1 ± 13.52   |     0.5756 ± 0.08308      |    0.8418 ± 0.08177     |
| Bin3   |  591.9 ± 14.21   |  591.9 ± 14.21   |     0.4557 ± 0.07392      |    0.9213 ± 0.08554     |
| Bin4   |  634.1 ± 14.68   |  634.1 ± 14.68   |     0.4557 ± 0.07392      |     0.9054 ± 0.0848     |
| Bin5   |  678.4 ± 15.16   |  678.4 ± 15.16   |     0.3717 ± 0.06676      |    0.8895 ± 0.08405     |
| Bin6   |  664.9 ± 15.03   |  664.9 ± 15.03   |     0.5156 ± 0.07863      |     1.056 ± 0.09159     |
| Bin7   |  642.6 ± 14.77   |  642.6 ± 14.77   |     0.5396 ± 0.08044      |     1.112 ± 0.09397     |
| Bin8   |  622.6 ± 14.57   |  622.6 ± 14.57   |     0.4677 ± 0.07488      |     1.223 ± 0.09856     |
| Bin9   |  586.8 ± 14.12   |  586.8 ± 14.12   |     0.7315 ± 0.09365      |     1.549 ± 0.1109      |
| Bin10  |  556.1 ± 13.78   |  556.1 ± 13.78   |      0.9113 ± 0.1045      |     1.501 ± 0.1092      |
| Bin11  |  517.6 ± 13.29   |  517.6 ± 13.29   |      1.091 ± 0.1144       |     1.803 ± 0.1197      |
| Bin12  |  458.1 ± 12.49   |  458.1 ± 12.49   |      1.043 ± 0.1118       |     2.152 ± 0.1307      |
| Bin13  |  407.4 ± 11.75   |  407.4 ± 11.75   |      0.8394 ± 0.1003      |      2.51 ± 0.1412      |
| Bin14  |  355.7 ± 11.01   |  355.7 ± 11.01   |      1.067 ± 0.1131       |     2.597 ± 0.1436      |
| Bin15  |  258.1 ± 9.363   |  258.1 ± 9.363   |      1.211 ± 0.1205       |     3.097 ± 0.1568      |
| Bin16  |  231.1 ± 8.849   |  231.1 ± 8.849   |      1.043 ± 0.1118       |     3.844 ± 0.1747      |
| Bin17  |  169.6 ± 7.585   |  169.6 ± 7.585   |      1.223 ± 0.1211       |     4.646 ± 0.1921      |
| Bin18  |  138.2 ± 6.832   |  138.2 ± 6.832   |      1.271 ± 0.1235       |     4.773 ± 0.1947      |
| Bin19  |  109.1 ± 6.072   |  109.1 ± 6.072   |      1.187 ± 0.1193       |     5.615 ± 0.2112      |
| Bin20  |   59.8 ± 4.495   |   59.8 ± 4.495   |      1.199 ± 0.1199       |      5.25 ± 0.2042      |
| Bin21  |  51.01 ± 4.151   |  51.01 ± 4.151   |      0.9953 ± 0.1092      |     5.631 ± 0.2115      |
| Bin22  |  29.73 ± 3.169   |  29.73 ± 3.169   |      0.8394 ± 0.1003      |     5.131 ± 0.2019      |
| Bin23  |  15.54 ± 2.291   |  15.54 ± 2.291   |     0.8274 ± 0.09961      |     4.154 ± 0.1816      |
| Bin24  |  11.15 ± 1.999   |  11.15 ± 1.999   |     0.5156 ± 0.07863      |     3.113 ± 0.1572      |
| Bin25  |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.2998 ± 0.05996      |     1.922 ± 0.1235      |
| Bin26  |   4.054 ± 1.17   |   4.054 ± 1.17   |     0.1559 ± 0.04323      |     1.017 ± 0.08985     |
| Bin27  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.04796 ± 0.02398     |    0.4527 ± 0.05996     |
| Bin28  |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |    0.1112 ± 0.02972     |
| Bin29  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin30  |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin31  |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+------------------+------------------+---------------------------+-------------------------+
