+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |  7985 ± 52.2   |  7985 ± 52.2   |      18.44 ± 0.4703       |     28.34 ± 0.4745      |
| Bin1   |  3365 ± 33.88  |  3365 ± 33.88  |      8.826 ± 0.3253       |     20.95 ± 0.4079      |
| Bin2   |  3981 ± 36.86  |  3981 ± 36.86  |      5.624 ± 0.2597       |     13.99 ± 0.3333      |
| Bin3   |  2013 ± 26.17  |  2013 ± 26.17  |      1.955 ± 0.1531       |     6.234 ± 0.2225      |
| Bin4   |  1212 ± 20.32  |  1212 ± 20.32  |      1.535 ± 0.1357       |     4.392 ± 0.1868      |
| Bin5   | 905.8 ± 17.58  | 905.8 ± 17.58  |      1.163 ± 0.1181       |      3.026 ± 0.155      |
| Bin6   | 738.2 ± 15.84  | 738.2 ± 15.84  |     0.8274 ± 0.09961      |     2.263 ± 0.1341      |
| Bin7   | 609.8 ± 14.39  | 609.8 ± 14.39  |      0.8754 ± 0.1025      |     1.771 ± 0.1186      |
| Bin8   | 553.7 ± 13.74  | 553.7 ± 13.74  |     0.5036 ± 0.07771      |      1.469 ± 0.108      |
| Bin9   | 511.5 ± 13.19  | 511.5 ± 13.19  |     0.4796 ± 0.07584      |     1.406 ± 0.1057      |
| Bin10  | 455.4 ± 12.45  | 455.4 ± 12.45  |     0.5396 ± 0.08044      |     1.453 ± 0.1074      |
| Bin11  | 433.8 ± 12.12  | 433.8 ± 12.12  |     0.5036 ± 0.07771      |     1.199 ± 0.09759     |
| Bin12  | 395.3 ± 11.59  | 395.3 ± 11.59  |     0.5636 ± 0.08221      |     1.318 ± 0.1023      |
| Bin13  | 390.9 ± 11.51  | 390.9 ± 11.51  |     0.4796 ± 0.07584      |     1.406 ± 0.1057      |
| Bin14  | 383.5 ± 11.41  | 383.5 ± 11.41  |     0.5876 ± 0.08394      |     1.255 ± 0.09983     |
| Bin15  | 381.4 ± 11.38  | 381.4 ± 11.38  |     0.5396 ± 0.08044      |     1.247 ± 0.09951     |
| Bin16  | 375.7 ± 11.29  | 375.7 ± 11.29  |     0.5876 ± 0.08394      |     1.628 ± 0.1137      |
| Bin17  | 393.9 ± 11.56  | 393.9 ± 11.56  |     0.5516 ± 0.08133      |      1.723 ± 0.117      |
| Bin18  |  402 ± 11.68   |  402 ± 11.68   |     0.5036 ± 0.07771      |      1.843 ± 0.121      |
| Bin19  | 385.8 ± 11.45  | 385.8 ± 11.45  |     0.7914 ± 0.09742      |     2.263 ± 0.1341      |
| Bin20  | 361.5 ± 11.09  | 361.5 ± 11.09  |      0.9113 ± 0.1045      |     2.692 ± 0.1462      |
| Bin21  | 362.5 ± 11.12  | 362.5 ± 11.12  |      1.151 ± 0.1175       |     3.852 ± 0.1749      |
| Bin22  | 339.5 ± 10.73  | 339.5 ± 10.73  |      1.583 ± 0.1378       |      5.48 ± 0.2086      |
| Bin23  | 337.5 ± 10.73  | 337.5 ± 10.73  |       2.77 ± 0.1823       |      7.64 ± 0.2463      |
| Bin24  |  323.7 ± 10.5  |  323.7 ± 10.5  |      3.382 ± 0.2014       |      9.872 ± 0.28       |
| Bin25  | 294.6 ± 10.03  | 294.6 ± 10.03  |      3.837 ± 0.2145       |     11.06 ± 0.2963      |
| Bin26  |  264.5 ± 9.49  |  264.5 ± 9.49  |      3.214 ± 0.1963       |      10.37 ± 0.287      |
| Bin27  | 252.7 ± 9.252  | 252.7 ± 9.252  |       2.854 ± 0.185       |     9.006 ± 0.2674      |
| Bin28  | 222.3 ± 8.692  | 222.3 ± 8.692  |      1.799 ± 0.1469       |     6.965 ± 0.2352      |
| Bin29  | 195.9 ± 8.164  | 195.9 ± 8.164  |       1.367 ± 0.128       |     4.765 ± 0.1945      |
| Bin30  | 181.4 ± 7.843  | 181.4 ± 7.843  |     0.8034 ± 0.09815      |     4.027 ± 0.1788      |
| Bin31  |  1607 ± 23.36  |  1607 ± 23.36  |      9.197 ± 0.3321       |      45.2 ± 0.5991      |
+--------+----------------+----------------+---------------------------+-------------------------+
