+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |  4347 ± 38.5   |  4347 ± 38.5   |      4.545 ± 0.2334       |     7.958 ± 0.2514      |
| Bin1   |  1322 ± 21.2   |  1322 ± 21.2   |      3.058 ± 0.1915       |     11.52 ± 0.3024      |
| Bin2   |  1968 ± 25.87  |  1968 ± 25.87  |      2.374 ± 0.1687       |     8.133 ± 0.2541      |
| Bin3   |  1824 ± 24.91  |  1824 ± 24.91  |       2.05 ± 0.1568       |     7.045 ± 0.2365      |
| Bin4   |  1641 ± 23.62  |  1641 ± 23.62  |      2.194 ± 0.1622       |     6.211 ± 0.2221      |
| Bin5   |  1489 ± 22.52  |  1489 ± 22.52  |      1.919 ± 0.1517       |     5.702 ± 0.2128      |
| Bin6   |  1344 ± 21.4   |  1344 ± 21.4   |      1.643 ± 0.1404       |     5.639 ± 0.2116      |
| Bin7   |  1218 ± 20.38  |  1218 ± 20.38  |      1.931 ± 0.1522       |     4.908 ± 0.1974      |
| Bin8   |  1138 ± 19.68  |  1138 ± 19.68  |      1.739 ± 0.1444       |     4.956 ± 0.1984      |
| Bin9   |  1055 ± 18.96  |  1055 ± 18.96  |      1.655 ± 0.1409       |     4.741 ± 0.1941      |
| Bin10  | 966.2 ± 18.16  | 966.2 ± 18.16  |      1.739 ± 0.1444       |     5.107 ± 0.2014      |
| Bin11  |  878.1 ± 17.3  |  878.1 ± 17.3  |      1.679 ± 0.1419       |     4.575 ± 0.1906      |
| Bin12  |  847 ± 16.96   |  847 ± 16.96   |      1.379 ± 0.1286       |     4.495 ± 0.1889      |
| Bin13  | 756.4 ± 16.04  | 756.4 ± 16.04  |      1.799 ± 0.1469       |     5.051 ± 0.2003      |
| Bin14  |  728 ± 15.73   |  728 ± 15.73   |      1.703 ± 0.1429       |     4.853 ± 0.1963      |
| Bin15  |  670.6 ± 15.1  |  670.6 ± 15.1  |      1.787 ± 0.1464       |     4.773 ± 0.1947      |
| Bin16  | 629.4 ± 14.67  | 629.4 ± 14.67  |      1.451 ± 0.1319       |     4.972 ± 0.1987      |
| Bin17  | 585.8 ± 14.15  | 585.8 ± 14.15  |       1.367 ± 0.128       |     4.868 ± 0.1966      |
| Bin18  | 532.4 ± 13.44  | 532.4 ± 13.44  |      1.643 ± 0.1404       |      4.837 ± 0.196      |
| Bin19  |  498 ± 13.04   |  498 ± 13.04   |      1.607 ± 0.1388       |     4.948 ± 0.1982      |
| Bin20  |  427 ± 12.06   |  427 ± 12.06   |      1.595 ± 0.1383       |      5.289 ± 0.205      |
| Bin21  | 406.1 ± 11.77  | 406.1 ± 11.77  |      1.847 ± 0.1488       |     5.567 ± 0.2103      |
| Bin22  | 360.1 ± 11.06  | 360.1 ± 11.06  |      1.607 ± 0.1388       |     5.615 ± 0.2112      |
| Bin23  |   357.8 ± 11   |   357.8 ± 11   |      2.266 ± 0.1649       |     6.242 ± 0.2227      |
| Bin24  | 282.4 ± 9.826  | 282.4 ± 9.826  |      1.955 ± 0.1531       |     6.584 ± 0.2287      |
| Bin25  | 260.1 ± 9.423  | 260.1 ± 9.423  |      1.835 ± 0.1483       |      7.18 ± 0.2388      |
| Bin26  | 219.6 ± 8.627  | 219.6 ± 8.627  |      2.422 ± 0.1704       |      7.315 ± 0.241      |
| Bin27  | 185.8 ± 7.923  | 185.8 ± 7.923  |      2.398 ± 0.1696       |     8.593 ± 0.2612      |
| Bin28  | 143.9 ± 6.973  | 143.9 ± 6.973  |       3.106 ± 0.193       |     9.403 ± 0.2733      |
| Bin29  | 92.91 ± 5.643  | 92.91 ± 5.643  |      3.633 ± 0.2087       |     10.34 ± 0.2866      |
| Bin30  |  1664 ± 23.83  |  1664 ± 23.83  |      14.38 ± 0.4152       |      27.46 ± 0.467      |
| Bin31  |  1780 ± 24.65  |  1780 ± 24.65  |      2.446 ± 0.1713       |     5.226 ± 0.2037      |
+--------+----------------+----------------+---------------------------+-------------------------+
